Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
2949 patients in Cohort 1 and 158450 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,81877,100%,10.913345,4.788884,12,7,0,17,2297157,100%,5.6699038,5.475361,4,10,0,17,0,1.0194134,81876,100%,10.913271,4.7888665,12,7,0,17,81876,100%,10.913149,4.7888565,12,7,0,17,0.9958827,0.000025504165
Age,Current Age,,81877,100%,21.555468,5.746169,22,8,5,37,2297157,100%,16.596582,6.524097,16,10,6,37,0,0.8066572,81876,100%,21.555351,5.7461095,22,8,5,37,81876,100%,22.144732,5.8334846,23,8,6,37,0,0.10179325
2186-5,Not Hispanic or Latino,,61504,75.118%,,,,,,,1503692,65.459%,,,,,,,0,0.21254599,61504,75.118%,,,,,,,61515,75.132%,,,,,,,0.94986045,0.00031078738
2106-3,White,,53589,65.451%,,,,,,,1207528,52.566%,,,,,,,0,0.26425225,53589,65.451%,,,,,,,53590,65.453%,,,,,,,0.9958536,0.000025684467
M,Male,,46530,56.829%,,,,,,,1148319,49.989%,,,,,,,0,0.1374514,46529,56.829%,,,,,,,46405,56.677%,,,,,,,0.5362306,0.0030569832
F,Female,,35292,43.104%,,,,,,,1145501,49.866%,,,,,,,0,0.1358951,35292,43.104%,,,,,,,35292,43.104%,,,,,,,1,0
2054-5,Black or African American,,12114,14.795%,,,,,,,489779,21.321%,,,,,,,0,0.17025773,12114,14.796%,,,,,,,12113,14.794%,,,,,,,0.99444664,0.00003439966
UN,Unknown Ethnicity,,11047,13.492%,,,,,,,401845,17.493%,,,,,,,0,0.11074348,11047,13.492%,,,,,,,11044,13.489%,,,,,,,0.9826864,0.00010725521
2135-2,Hispanic or Latino,,9326,11.39%,,,,,,,391620,17.048%,,,,,,,0,0.16253355,9325,11.389%,,,,,,,9317,11.379%,,,,,,,0.95036954,0.00030762743
UNK,Unknown Race,,7315,8.934%,,,,,,,291563,12.692%,,,,,,,0,0.121240936,7315,8.934%,,,,,,,7318,8.938%,,,,,,,0.9792665,0.00012844526
2131-1,Other Race,,3784,4.622%,,,,,,,168642,7.341%,,,,,,,0,0.11487809,3784,4.622%,,,,,,,3787,4.625%,,,,,,,0.97183734,0.00017448598
2028-9,Asian,,3465,4.232%,,,,,,,106553,4.638%,,,,,,,5.2522793e-8,0.01974656,3465,4.232%,,,,,,,3465,4.232%,,,,,,,1,0
1002-5,American Indian or Alaska Native,,385,0.47%,,,,,,,11384,0.496%,,,,,,,0.30963552,0.0036570514,385,0.47%,,,,,,,383,0.468%,,,,,,,0.94233245,0.0003575254
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,3424,4.182%,,,,,,,74007,3.222%,,,,,,,0,0.050873287,3424,4.182%,,,,,,,4915,6.003%,,,,,,,0,0.08290482
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,2101,2.566%,,,,,,,33722,1.468%,,,,,,,0,0.07816742,2101,2.566%,,,,,,,2518,3.075%,,,,,,,4.843859e-10,0.030765453
F01-F09,Mental disorders due to known physiological conditions,,1979,2.417%,,,,,,,1112,0.048%,,,,,,,0,0.21591078,1979,2.417%,,,,,,,84,0.103%,,,,,,,0,0.20864105
F30-F39,Mood [affective] disorders,,1309,1.599%,,,,,,,18600,0.81%,,,,,,,0,0.07238744,1309,1.599%,,,,,,,1303,1.591%,,,,,,,0.90579295,0.00058491534
F80-F89,Pervasive and specific developmental disorders,,1273,1.555%,,,,,,,62403,2.717%,,,,,,,0,0.08042481,1273,1.555%,,,,,,,2345,2.864%,,,,,,,0,0.089162014
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,479,0.585%,,,,,,,3782,0.165%,,,,,,,0,0.068833925,478,0.584%,,,,,,,471,0.575%,,,,,,,0.81973106,0.0011263252
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,,,0,0%,,,,,,,,,0,0%,,,,,,,0,0%,,,,,,,,
9083,BMI,,22706,27.732%,22.410942,5.603536,21.455965,6.159644,0.11,66.87934,625262,27.219%,19.181913,5.4482493,17.49,5.67,0.1,69.68,0,0.5842876,22706,27.732%,22.410942,5.603536,21.455965,6.159644,0.11,66.87934,22727,27.758%,22.452957,6.073471,21.158466,6.742508,6.5,67.15,0.4435013,0.007190378
9083,BMI,,22733,27.765%,,,,,,,625650,27.236%,,,,,,,0.0008366858,0.011847001,22733,27.765%,,,,,,,22734,27.766%,,,,,,,0.9955973,0.000027272
