Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,CX1 V12
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,33,19
1801.0,37,29
1802.0,31,28
1803.0,31,18
1804.0,47,20
1805.0,41,29
1806.0,37,23
1807.0,30,18
1808.0,37,16
1809.0,23,16
1810.0,39,18
1811.0,28,20
1812.0,37,23
1813.0,33,27
1814.0,47,23
1815.0,53,20
1816.0,29,21
1817.0,36,11
1818.0,25,14
1819.0,40,30
1820.0,38,43
1821.0,41,27
1822.0,41,16
1823.0,32,16
1824.0,29,24
1825.0,80981,81327
