Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,CX1 V12
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,33,518
1801.0,37,542
1802.0,31,504
1803.0,31,493
1804.0,47,452
1805.0,41,534
1806.0,37,682
1807.0,30,596
1808.0,37,505
1809.0,23,485
1810.0,39,463
1811.0,28,481
1812.0,37,616
1813.0,33,643
1814.0,47,614
1815.0,53,513
1816.0,29,461
1817.0,36,471
1818.0,25,435
1819.0,40,640
1820.0,38,712
1821.0,41,603
1822.0,41,521
1823.0,32,519
1824.0,29,564
1825.0,80982,2283590
