Outcome 3 Result 3b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9999145048610099,0.999820673287044,0.9999592406551561,0.9998778640871555,0.9997730165594604,0.9999342823428867
2,0.9998778640871555,0.9997730165594604,0.9999342823428867,0.9998534369045868,0.9997419397381496,0.99991676276202
3,0.9998656504958723,0.999757417490977,0.9999255949926801,0.9998167961307353,0.9996961300685908,0.9998895486196067
4,0.9998290097220192,0.9997113051503634,0.999898727069507,0.9998045825394496,0.9996810394888102,0.9998802764962649
5,0.9998167961307353,0.9996961300685908,0.9998895486196067,0.9997801553568807,0.9996510863320508,0.9998614828898871
6,0.9998045825394496,0.9996810394888102,0.9998802764962649,,,
7,0.9997801553568807,0.9996510863320508,0.9998614828898871,,,
8,0.9997679417655977,0.999636212812632,0.9998519746124256,0.9997679417655977,0.999636212812632,0.9998519746124256
10,0.9997557281743132,0.9996214017048906,0.9998423994422527,0.9997557281743132,0.9996214017048906,0.9998423994422527
12,,,,0.9997435145830276,0.9996066489128744,0.9998327621193474
13,0.9997435145830276,0.9996066489128744,0.9998327621193474,0.9997190874004601,0.9995773039267202,0.9998133173776464
14,,,,0.9997068738091749,0.9995627054174091,0.9998035170697191
15,0.9997313009917445,0.9995919507586356,0.9998230668479203,,,
16,0.9997068738091749,0.9995627054174091,0.9998035170697191,,,
17,0.9996824466266055,0.9995336427149882,0.9997837757590012,0.9996824466266055,0.9995336427149882,0.9997837757590012
18,0.9996580194440371,0.9995047436061,0.9997638638755091,0.9996702330353217,0.9995191737738583,0.9997738399789552
20,0.9996458058527521,0.9994903503023251,0.9997538495191038,,,
21,0.9996335922614685,0.9994759921031968,0.999743798808568,0.9996458058527521,0.9994903503023251,0.9997538495191038
22,0.9996213786701846,0.9994616673836191,0.9997337134904101,0.9996335922614685,0.9994759921031968,0.999743798808568
23,0.9995969514876164,0.9994331124731575,0.9997134453529798,,,
24,0.9995847378963304,0.9994188795879267,0.9997032654035559,0.9996213786701846,0.9994616673836191,0.9997337134904101
27,0.9995603107137624,0.9993904969015526,0.9996828201645932,0.9995969514876164,0.9994331124731575,0.9997134453529798
28,,,,0.9995847378963304,0.9994188795879267,0.9997032654035559
29,0.9995480971224788,0.9993763449154975,0.9996725571823317,,,
30,0.9995358835311937,0.9993622178265391,0.9996622687033473,,,
31,0.9995114563486253,0.9993340346839501,0.9996416190916446,,,
33,0.9994870291660559,0.9993059406942802,0.9996208784268138,,,
