Outcome 4 Result 4b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
2116 patients in Cohort 1 and 1936 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9995480971224788,0.9993763449154975,0.9996725571823317,0.9995114563486253,0.9993340346839501,0.9996416190916446
2,0.9990717670623871,0.9988378942161377,0.9992585906570062,0.999279398114221,0.9990700343559582,0.9994416408475839
3,0.9989129903756904,0.9986621542189463,0.9991168174114675,0.9991694757926626,0.9989467602351436,0.9993451118896713
4,0.9987175729151408,0.9984474602487966,0.9989407159976815,0.9990229126972491,0.9987836778869228,0.9992151116077246
5,0.9984733010894529,0.9981810379808005,0.9987186347449146,0.9988763496018374,0.9986217761134244,0.9990839220665295
6,0.9981801748986271,0.9978635440680997,0.9984499162982986,0.9986809321412875,0.9984073711608639,0.9989075300996814
7,0.997789339977527,0.9974430870347166,0.9980887488493833,0.9984244467243141,0.9981279702504902,0.9986740009168068
8,0.9975572817431235,0.9971946728195484,0.9978730708246691,0.9982534564463327,0.9979427224069228,0.9985172916599442
9,0.9974473594215649,0.9970772748271374,0.9977706351497477,0.9981679613073423,0.9978503592543061,0.9984386754623704
10,0.9972397283697294,0.9968559504463717,0.9975767174551587,0.9980580389857832,0.9977318371512591,0.9983373663366588
11,0.9971053788656014,0.9967130143435756,0.9974509670954472,0.9979359030729402,0.9976004259479077,0.9982245199096025
12,0.9969466021789052,0.9965443437244562,0.9973020988176463,0.9977649127949583,0.9974168989740633,0.9980660851725324
13,0.9967511847183551,0.9963370973214934,0.9971185276741368,0.9975572817431235,0.9971946728195484,0.9978730708246691
14,0.9963969905711071,0.9959623412496581,0.9967849259432479,0.9972153011871617,0.9968299467285434,0.99755386911106
15,0.9962626410669799,0.9958204602997995,0.9966581191753794,0.9970565245004642,0.9966610873076706,0.9974051898932804
16,0.9960672236064295,0.9956143274233856,0.9964734333300399,0.9968733206311987,0.9964665829659254,0.9972333030492262
17,0.9958473789633109,0.9953827440055846,0.9962653454115364,0.9968000390834929,0.9963888746326925,0.9971644547909659
18,0.9957374566417514,0.9952670698979741,0.9961611837555113,0.9966412623967952,0.9962206781021583,0.9970151118386598
19,0.9956275343201912,0.9951514701921556,0.9960569476404504,0.9965191264839517,0.9960914475889604,0.9969000810428899
20,0.9954321168596415,0.9949461348144737,0.995871463652552,0.9963481362059694,0.9959107320738614,0.9967388305099993
21,0.9952244858078066,0.9947281982149674,0.9956741545153515,0.9961893595192731,0.9957431281223733,0.9965888943614606
22,0.9950290683472578,0.9945232865307305,0.9954882465496332,0.9960061556500078,0.9955499662015012,0.9964156636524357
23,0.9948458644779905,0.994331351982025,0.9953137875726826,0.9958962333284482,0.9954341793663729,0.9963116148150062
24,0.9946993013825791,0.99417791693513,0.9951741077339081,0.9958107381894575,0.9953441775247612,0.9962306333111199
25,0.9945771654697352,0.9940501276252828,0.9950576345984897,0.9957374566417514,0.9952670698979741,0.9961611837555113
26,0.9944550295568908,0.9939224025203289,0.99494109722393,0.995651961502761,0.9951771527302538,0.9960801175117179
27,0.9941985441399185,0.9936543796168041,0.9946961688186621,0.9956153207289076,0.995138630251289,0.9960453613756525
28,0.9940397674532221,0.9934885901325532,0.9945444169536485,0.9952611265816607,0.9947666409037076,0.9957089904971357
29,0.9939298451316629,0.9933738682540455,0.9944393024877181,0.995090136303679,0.9945873008118373,0.9955463634220291
30,0.9938321364013883,0.9932719302053002,0.9943458304359094,0.9950046411646877,0.9944976859515778,0.9954649946642449
31,0.993734427671113,0.9931700260869365,0.9942523244388511,0.9948580780692752,0.9943441426790331,0.9953254231136208
32,0.9935756509844159,0.9930045022542794,0.9941003068039979,0.9947847965215695,0.9942674088337202,0.9952555995253329
33,0.9934046607064344,0.9928263400547009,0.9939365012305676,0.9946748742000093,0.994152353832372,0.9951508183504644
34,0.99330695197616,0.9927245755507615,0.9938428555616131,0.994564951878451,0.9940373522610009,0.9950459837163235
35,0.9930260393766188,0.9924321677745472,0.993573459027755,0.9943817480091852,0.9938457974006716,0.9948711448403754
36,0.9928550490986378,0.9922542957618161,0.9934093631573498,0.9942107577312026,0.9936671366685957,0.9947078380225988
37,0.9927451267770778,0.9921399937573416,0.9933038286499644,0.994137476183497,0.9935906030315488,0.9946378141211193
38,0.9925985636816659,0.9919876434378763,0.9931630636024498,0.9941008354096437,0.993552343954942,0.9946027944247847
39,0.9924275734036833,0.9918099748729727,0.9929987642149098,0.9940397674532221,0.9934885901325532,0.9945444169536485
40,0.9922687967169865,0.9916450655741602,0.9928461318216271,0.9939298451316629,0.9933738682540455,0.9944393024877181
41,0.992110020030289,0.9914802203283619,0.9926934353554931,0.9938321364013883,0.9932719302053002,0.9943458304359094
42,0.991939029752308,0.9913027641292818,0.9925289235362852,0.9936245053495532,0.9930554235366496,0.9941470905923735
43,0.9918779617958858,0.991239403949548,0.9924701522759363,0.9934901558454247,0.9929154091669582,0.9940184160096494
44,0.9916947579266203,0.991049375854224,0.9922937860360859,0.9933924471151503,0.9928136178259201,0.9939247971883901
45,0.9915970491963458,0.9909480590473997,0.9921996925220393,0.9933191655674428,0.9927372944570405,0.9938545629275888
46,0.9914871268747861,0.9908341032399712,0.9920938117115259,0.993233670428453,0.9926482719281441,0.9937726015469065
47,0.9914260589183651,0.9907708059876449,0.9920349775063586,0.9930993209243242,0.9925084249569567,0.9936437595000601
48,0.99130392300552,0.9906442357736128,0.9919172847990159,0.9929893986027648,0.9923940451615184,0.9935383028112486
49,0.9911329327275396,0.9904670907971133,0.9917524616718809,0.9928306219160682,0.9922288923614873,0.9933859140005095
50,0.9910230104059792,0.9903532439966924,0.9916464718261832,0.9928061947335,0.9922034906567675,0.9933624631474729
51,0.9909253016757044,0.9902520674996219,0.9915522379660763,0.9926962724119399,0.9920892037411998,0.9932569135459935
52,0.9908031657628609,0.9901256237315269,0.9914344187812286,0.9926474180468025,0.9920384203230508,0.9932099918418008
53,0.9907665249890079,0.990087696338886,0.9913990672866243,0.9926107772729492,0.9920003370502182,0.9931747962714401
54,0.9906810298500174,0.9899992092536836,0.9913165702992075,0.9925252821339595,0.9919114902198303,0.9930926591297012
55,0.9905711075284586,0.9898854607972644,0.9912104820860572,0.9924153598123993,0.9917972872232312,0.9929870255813775
56,0.9904611852068979,0.9897717352047893,0.9911043710037636,0.992281010308271,0.9916577486058442,0.9928578750746705
57,0.9903146221114855,0.9896201359757365,0.9909628546586913,0.9921955151692807,0.9915689753113446,0.9927756643736355
58,0.9902413405637801,0.9895443510640608,0.9908920817800906,0.992110020030289,0.9914802203283619,0.9926934353554931
59,0.990180272607357,0.9894812043520385,0.9908330969986223,0.9920978064390054,0.9914675425226627,0.9926816868748738
60,0.9901192046509358,0.9894180642841524,0.9907741055716056,0.9920733792564367,0.991442188010974,0.9926581888135936
61,0.9899726415555237,0.989266554867479,0.9906324993948901,0.9920245248912983,0.9913914833630241,0.9926111883143025
62,0.989923787190386,0.9892160600133585,0.9905852890494966,0.991939029752308,0.9913027641292818,0.9925289235362852
63,0.9897772240949728,0.9890645998909809,0.990443633568357,0.9918291074307486,0.9911887221502527,0.9924231289213452
64,0.9896795153646978,0.9889636465546816,0.9903491764982869,0.9917802530656121,0.9911380459363435,0.9923760999797824
65,0.9896062338169921,0.9888879419335335,0.9902783233126119,0.991706971517905,0.9910620419806241,0.9923055461993749
66,0.989532952269286,0.9888122461072957,0.9902074613303128,0.9915604084224932,0.9909100707902193,0.9921644019073792
67,0.989410816356442,0.9886861056944604,0.9900893387252121,0.9914626996922173,0.9908087833584985,0.9920702790102603
68,0.9892886804435979,0.9885599890475002,0.9899711923497426,0.9913772045532276,0.9907201740400727,0.9919879042863899
69,0.9892031853046067,0.9884717213204612,0.9898884759584907,0.99130392300552,0.9906442357736128,0.9919172847990159
70,0.9890444086179103,0.9883078254608699,0.9897348298786529,0.9911451463188236,0.9904797419791955,0.9917642367834284
71,0.9889466998876342,0.9882069855050539,0.9896402594067839,0.9910840783624009,0.9904164891543887,0.9917053581393109
72,0.9888734183399286,0.9881313649153701,0.9895693221740502,0.9910107968146958,0.9903405958783857,0.9916346936501023
73,0.9887512824270843,0.9880053482291645,0.9894510758198191,0.9909008744931368,0.9902267763749034,0.9915286765007759
74,0.9886780008793784,0.9879297486707388,0.9893801175521865,0.9908642337192825,0.9901888419180805,0.9914933320720288
75,0.9885680785578188,0.9878163638379687,0.9892736656434096,0.9907909521715772,0.9901129809751945,0.9914226352418828
76,0.9885192241926816,0.9877659761100159,0.9892263481519706,0.9906566026674484,0.9899739298226673,0.9912929971374439
77,0.9884215154624073,0.987665210753051,0.9891317030684801,0.9904733987981831,0.9897843702648605,0.9911161622411412
78,0.9883238067321314,0.9875644587215202,0.9890370446573707,0.9903879036591926,0.9896959306524492,0.9910336177701315
79,0.9881894572280038,0.9874259461340987,0.9889068678827064,0.9903390492940539,0.9896453997775512,0.9909864434531652
80,0.9880673213151594,0.9873000468404852,0.9887885041165074,0.9903146221114855,0.9896201359757365,0.9909628546586913
81,0.9879818261761698,0.9872119292010936,0.9887056376121808,0.9902169133812111,0.9895190915780263,0.990868488668901
82,0.9878963310371778,0.987123821216402,0.9886227614516617,0.9901436318335048,0.9894433195179226,0.9907977029359658
83,0.9877497679417664,0.986972801129635,0.988480665857565,0.9900214959206612,0.9893170538439549,0.9906797056170781
84,0.9876276320289227,0.9868469721476633,0.9883622317689964,0.9898993600078165,0.9891908141229195,0.9905616823398626
85,0.9875543504812149,0.9867714838360552,0.9882911622369411,0.9898382920513947,0.9891277038492587,0.9905026611124389
86,0.9874932825247928,0.9867085820575819,0.9882319324782814,0.9897772240949728,0.9890645998909809,0.990443633568357
87,0.9874566417509397,0.9866708432216955,0.988196392391566,0.9897161561385518,0.9890015021922534,0.990384599763475
88,0.9873833602032345,0.9865953705364561,0.9881253072308891,0.9896184474082766,0.9889005587571508,0.9902901327902522
89,0.9872490106991058,0.986457021050993,0.9879949673297419,0.9895207386780015,0.9887996309848976,0.990195650151124
90,0.9871024476036929,0.9863061192398236,0.987852753442951,0.989423029947726,0.9886987186595732,0.9901011520620969
91,0.9870047388734178,0.9862055322585477,0.9877579299569659,0.989252039669744,0.988522158627602,0.989935743862058
92,0.9868826029605746,0.986079814314563,0.9876393848147419,0.9891787581220389,0.9884465040539063,0.9898648406194389
93,0.9867971078215831,0.9859918220682381,0.9875563928993417,0.9890932629830469,0.9883582508502285,0.9897821097021673
94,0.9866993990913098,0.9858912697838444,0.987461534711843,0.9890566222091951,0.9883204314683189,0.9897466501744845
95,0.9866016903610335,0.9857907283538879,0.9873666656684884,0.988995554252773,0.9882574036870612,0.9896875464389397
96,0.986565049587181,0.9857530280921631,0.9873310870023662,0.9889711270702046,0.9882321941485572,0.9896639033704435
97,0.9864795544481904,0.985665066652795,0.9872480642760091,0.988897845522497,0.988156570891365,0.9895929688056834
98,0.9863696321266304,0.985551985281974,0.9871413088608189,0.9888001367922226,0.9880557522762722,0.9894983769893417
99,0.986308564170208,0.9854891680333212,0.9870819945609693,0.9887512824270843,0.9880053482291645,0.9894510758198191
100,0.9862352826225022,0.9854137926948977,0.9870108120405284,0.9887268552445166,0.9879801475108464,0.9894274239296008
101,0.9861864282573649,0.9853635456964568,0.9869633537993296,0.9886291465142416,0.9878793532742665,0.9893328077305552
102,0.9861497874835121,0.9853258621323043,0.9869277584335467,0.9885070106013977,0.9877533797059451,0.9892145182511065
103,0.9861009331183734,0.9852756196156197,0.9868802957100429,0.9884703698275433,0.9877155917554218,0.989179027286611
104,0.9860276515706676,0.9852002606041066,0.9868090968607027,0.9883970882798371,0.9876400215024013,0.9891080397086696
105,0.9858200205188337,0.9849867740889962,0.9866073360997404,0.9882993795495633,0.987539272776358,0.9890133779915403
106,0.9857345253798426,0.9848988808930715,0.9865242451216364,0.9882627387757097,0.9875014953952992,0.9889778764558604
107,0.9856246030582826,0.9847858863572398,0.9864174028610185,0.9882016708192874,0.9874385371703717,0.9889187031522386
108,0.9855757486931459,0.98473567050316,0.9863699134717838,0.9881650300454344,0.9874007646677793,0.9888831967373155
109,0.985551321510577,0.9847105634795761,0.9863461678736071,0.9881406028628656,0.9873755840077086,0.9888595247855496
110,0.9854658263715866,0.9846226936146015,0.9862630535618885,0.9881039620890133,0.9873378145239491,0.9888240153513189
111,0.9854169720064497,0.984572485540293,0.9862155563920063,0.9880428941325913,0.9872748693809696,0.9887648289636864
112,0.9852948360936045,0.9844469756917567,0.9860968031289138,0.9878230494894722,0.9870483076946163,0.9885517171335403
113,0.9852581953197518,0.9844093255968313,0.9860611742900379,0.987725340759197,0.9869476338099448,0.988456980563372
114,0.9851360594069087,0.9842838347234734,0.9859424020496965,0.9876520592114907,0.986872136425226,0.9883859201057649
115,0.9850383506766333,0.9841834523961508,0.9858473738849413,0.9876276320289227,0.9868469721476633,0.9883622317689964
116,0.9849650691289276,0.984108171642339,0.9857760967690589,0.9875787776637839,0.986796645855271,0.988314852832389
117,0.9849284283550733,0.9840705331782401,0.9857404562981061,0.9875177097073633,0.9867337422098288,0.988255624940972
118,0.984867360398651,0.9840078052227417,0.9856810526948924,0.9874200009770872,0.9866331060503756,0.9881608506400463
119,0.9847818652596603,0.9839199919676843,0.9855978817671415,0.9872978650642429,0.98650732740956,0.9880423662030268
120,0.9846841565293852,0.9838196422994777,0.9855028209398506,0.9872612242903905,0.986469597369222,0.9880068173195149
121,0.9845986613903945,0.9837318435723105,0.9854196354827196,0.987224583516537,0.9864318689558258,0.9879712668088311
122,0.9845498070252575,0.9836816758793819,0.9853720979271745,0.9872123699252536,0.9864192931783781,0.9879594162782043
123,0.984488739068835,0.9836189693207865,0.9853126729248688,0.9871513019688317,0.9863564169823341,0.9879001609334918
124,0.9843788167472762,0.983506106017029,0.9852056994181613,0.9871024476036929,0.9863061192398236,0.987852753442951
125,0.9842566808344327,0.9833807150482797,0.9850868272629211,0.9870169524647027,0.9862181050143116,0.9877697835096945
126,0.9841833992867264,0.9833054868237494,0.985015497612439,0.9869803116908491,0.9861803872733402,0.9877342223251193
127,0.9840368361913131,0.9831550445258657,0.9848728241589386,0.9869436709169968,0.9861426711076829,0.98769865956502
128,0.9839147002784705,0.9830296902060738,0.9847539153512294,0.9869070301431433,0.9861049565108062,0.9876630952359272
129,0.9838780595046159,0.9829920864147372,0.9847182402040774,0.9868826029605746,0.986079814314563,0.9876393848147419
130,0.9838292051394785,0.9829419498130928,0.9846706715542418,0.9868703893692897,0.9860672434762259,0.9876275293443291
131,0.9837681371830567,0.9828792819199134,0.9846112078828069,0.9868215350041527,0.9860169618492336,0.9875801057360971
132,0.9836704284527826,0.9827790198565879,0.9845160594421494,0.9866993990913098,0.9858912697838444,0.987461534711843
133,0.983584933313791,0.9826912971314202,0.9844327979757306,0.986565049587181,0.9857530280921631,0.9873310870023662
134,0.9834505838096633,0.9825534594256369,0.9843019462364928,0.9865039816307588,0.9856901976615932,0.9872717858860945
135,0.9833773022619571,0.9824782814990836,0.984230566283386,0.9864429136743367,0.9856273713805852,0.9872124806197341
136,0.9833406614881033,0.9824406941852603,0.9841948746572328,0.9864184864917674,0.9856022420238687,0.9871887573573567
137,0.9832795935316822,0.982378051093557,0.9841353861820997,0.9863452049440612,0.9855268578933142,0.9871175836301381
138,0.983206311983976,0.9823028833750991,0.9840639960200058,0.9862352826225022,0.9854137926948977,0.9870108120405284
139,0.983145244027554,0.9822402469170479,0.9840045009106447,0.9861742146660799,0.9853509843483088,0.9869514888375172
140,0.9830108945234265,0.9821024572102466,0.9838736011682447,0.9860887195270895,0.9852630593842666,0.9868684296313022
141,0.9829742537495734,0.9820648806883773,0.9838378987492118,0.986052078753236,0.9852253796416688,0.9868328304435005
142,0.9829131857931512,0.9820022555066277,0.9837783923625929,0.9860032243880998,0.985175142197308,0.986785362647067
143,0.9828765450192974,0.9819646818049452,0.9837426871231356,0.9859543700229613,0.9851249072695037,0.9867378923337715
144,0.982803263471591,0.9818895375526651,0.9836712734928773,0.9859299428403927,0.9850997907452712,0.9867141562373442
145,0.9827299819238843,0.9818143974798899,0.9835998556827691,0.9859055156578237,0.9850746748453427,0.9866904195165379
146,0.9826078460110413,0.9816891732423342,0.9834808167814368,0.9858810884752545,0.9850495595681216,0.9866666821729505
147,0.9825467780546195,0.981626565412786,0.9834212930411937,0.9857711661536952,0.984936548484152,0.986559856462388
148,0.9824368557330596,0.9815138784662486,0.983314143161534,0.9857345253798426,0.9848988808930715,0.9865242451216364
149,0.9823147198202152,0.9813886814365246,0.9831950770501934,0.9857100981972732,0.9848737699306528,0.9865005034627432
150,0.9822292246812254,0.981301050151247,0.9831117241362096,0.9856612438321358,0.9848235498348016,0.9864530183157632
151,0.9821315159509496,0.9812009067458947,0.9830164570276038,0.9856368166495684,0.9847984406983027,0.9864292748307445
152,0.9820704479945284,0.9811383206873963,0.9829569115146071,0.9855757486931459,0.98473567050316,0.9863699134717838
153,0.981984952855537,0.9810507047880538,0.9828735432135052,0.985551321510577,0.9847105634795761,0.9863461678736071
154,0.9819116713078322,0.9809756096755511,0.9828020804395982,0.9854658263715866,0.9846226936146015,0.9862630535618885
155,0.9818139625775564,0.9808754888902633,0.9827067907092174,0.9854169720064497,0.984572485540293,0.9862155563920063
156,0.9817528946211336,0.9808129168779197,0.9826472311490099,0.9853803312325956,0.9845348310396088,0.9861799319593716
157,0.9817284674385662,0.9807878888185007,0.9826234065793573,0.9853070496848887,0.9844595260156144,0.9861086791162912
158,0.9817040402559969,0.9807628611838327,0.9825995815849184,0.9852581953197518,0.9844093255968313,0.9860611742900379
159,0.9816185451170055,0.980675267795414,0.9825161907712232,0.9851849137720461,0.9843340293358528,0.9859899126829851
160,0.9815330499780158,0.980587679564558,0.9824327947995956,0.9851482729981929,0.9842963831602389,0.9859542799243709
161,0.981435341247741,0.9804875849996996,0.9823374788468788,0.9849894963114963,0.9841332646590515,0.9857998563756384
162,0.9813620597000344,0.980412518435633,0.9822659875224535,0.9849406419463573,0.984083079191702,0.9857523365963414
163,0.9812643509697592,0.9803124354553095,0.9821706599843827,0.9849162147637893,0.9840579873057899,0.9857285758588442
164,0.9812399237871907,0.9802874157356279,0.9821468270743949,0.9848551468073671,0.9839952600528311,0.9856691715530177
165,0.9811300014656315,0.9801748320420991,0.9820395739340597,0.9848307196247987,0.9839701701328619,0.9856454088493716
166,0.9810567199179244,0.9800997808081041,0.9819680672784971,0.9847574380770926,0.9838949037198346,0.9855741173912044
167,0.9809712247789348,0.9800122256154699,0.9818846382663399,0.9846841565293852,0.9838196422994777,0.9855028209398506
168,0.9808368752748059,0.9798746487752351,0.9817535256412314,0.9845742342078269,0.9837067594533234,0.985395866977499
169,0.9807513801358155,0.9797871061221024,0.9816700840887318,0.9845131662514046,0.983644051537657,0.9853364433324006
170,0.9807269529532465,0.9797620948221115,0.9816462427584828,0.984488739068835,0.9836189693207865,0.9853126729248688
171,0.9806780985881094,0.9797120733995224,0.9815985589205167,0.9844154575211288,0.9835437259089047,0.9852413584632261
172,0.980543749083981,0.9795745225395206,0.9814674203134651,0.9843910303385613,0.9835186458470272,0.9852175859004917
173,0.9805315354926969,0.9795620184986079,0.9814554980391541,0.9843177487908541,0.9834434088702957,0.9851462650030617
174,0.9804582539449903,0.9794869962813989,0.9813839623648865,0.9842444672431486,0.9833681766811676,0.9850749393175636
175,0.9803361180321459,0.9793619669393747,0.9812647285539604,0.9841833992867264,0.9833054868237494,0.985015497612439
176,0.9803239044408621,0.9793494645308941,0.9812528046471141,0.9841711856954426,0.9832929492468436,0.9850036088767996
177,0.9802628364844392,0.9792869539153078,0.9811931836859683,0.9841101177390199,0.9832302633269814,0.9849441632337395
178,0.9801773413454492,0.9791994430328824,0.9811097103607247,0.984061263373882,0.9831801169397986,0.9848966043703605
179,0.980128486980311,0.9791494388887383,0.9810620092432131,0.9840246226000292,0.9831425085133012,0.9848609338588082
180,0.9800552054326058,0.9790744354867813,0.9809904547525179,0.9840124090087453,0.9831299726301431,0.9848490434292595
181,0.9799941374761832,0.9790119352199609,0.9809308234419681,0.9839147002784705,0.9830296902060738,0.9847539153512294
182,0.9799208559284766,0.9789369379659141,0.9808592628029856,0.9838169915481944,0.982929415980806,0.9846587790736295
183,0.979859787972055,0.9788744427971612,0.9807996263940625,0.9837681371830567,0.9828792819199134,0.9846112078828069
