Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
2949 patients in Cohort 1 and 158450 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.66,3,6,3,3
0.7,3,5,3,3
0.72,79,233,79,79
0.74,6,9,5,5
0.76,81,231,81,81
0.78,1250,7105,1250,1250
0.8,1438,7878,1438,1438
0.82,2571,16531,2571,2571
0.84,3030,20037,3030,3030
0.86,6135,42114,6135,6135
0.88,7113,58454,7113,7113
0.9,10451,94894,10451,10451
0.92,11580,149201,11580,11580
0.94,12605,235555,12605,12605
0.96,13188,406358,13188,13188
0.98,12344,1258546,12344,12344
