Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
268 patients in Cohort 1 and 2949 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,25807,100%,12.4649515,3.9863367,14,6,0,17,87739,100%,10.95074,4.772763,12,7,0,17,0,0.34436065,25807,100%,12.4649515,3.9863367,14,6,0,17,25807,100%,12.458519,3.990375,14,6,0,17,0.8546402,0.0016127855
Age,Current Age,,25807,100%,21.832062,4.9534225,22,6,5,37,87739,100%,21.56211,5.7260756,22,8,5,37,7.0975474e-12,0.050423153,25807,100%,21.832062,4.9534225,22,6,5,37,25807,100%,22.923664,5.113255,23,6,5,37,0,0.21684721
2186-5,Not Hispanic or Latino,,18944,73.406%,,,,,,,61504,70.099%,,,,,,,8.854416e-25,0.07351932,18944,73.406%,,,,,,,18983,73.558%,,,,,,,0.697362,0.0034234726
2106-3,White,,17924,69.454%,,,,,,,58050,66.162%,,,,,,,5.1134267e-23,0.070501775,17924,69.454%,,,,,,,17944,69.532%,,,,,,,0.84837335,0.0016831446
M,Male,,14816,57.411%,,,,,,,49837,56.801%,,,,,,,0.082241975,0.012312365,14816,57.411%,,,,,,,14823,57.438%,,,,,,,0.9503128,0.0005485697
F,Female,,10977,42.535%,,,,,,,37847,43.136%,,,,,,,0.08651813,0.012143952,10977,42.535%,,,,,,,10963,42.481%,,,,,,,0.90079767,0.0010973666
UN,Unknown Ethnicity,,4458,17.274%,,,,,,,16678,19.009%,,,,,,,3.1318018e-10,0.045015022,4458,17.274%,,,,,,,4442,17.212%,,,,,,,0.85210496,0.001641232
2054-5,Black or African American,,3570,13.833%,,,,,,,13136,14.972%,,,,,,,0.0000056932163,0.032421526,3570,13.833%,,,,,,,3554,13.771%,,,,,,,0.8382138,0.0017974507
2135-2,Hispanic or Latino,,2405,9.319%,,,,,,,9557,10.893%,,,,,,,4.584336e-13,0.05221832,2405,9.319%,,,,,,,2382,9.23%,,,,,,,0.72708553,0.003072405
UNK,Unknown Race,,1989,7.707%,,,,,,,7579,8.638%,,,,,,,0.0000022193626,0.033986144,1989,7.707%,,,,,,,2010,7.789%,,,,,,,0.7295346,0.0030437026
2028-9,Asian,,964,3.735%,,,,,,,3517,4.008%,,,,,,,0.047646035,0.014153946,964,3.735%,,,,,,,949,3.677%,,,,,,,0.72672135,0.0030766756
2131-1,Other Race,,922,3.573%,,,,,,,3784,4.313%,,,,,,,1.574551e-7,0.03803779,922,3.573%,,,,,,,911,3.53%,,,,,,,0.7936179,0.0023030848
1002-5,American Indian or Alaska Native,,124,0.48%,,,,,,,440,0.501%,,,,,,,0.6731927,0.0030040196,124,0.48%,,,,,,,126,0.488%,,,,,,,0.8990998,0.0011162478
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,1610,6.239%,,,,,,,3699,4.216%,,,,,,,1.0441e-41,0.090970844,1610,6.239%,,,,,,,1355,5.251%,,,,,,,0.0000014096375,0.04247357
F01-F09,Mental disorders due to known physiological conditions,,1525,5.909%,,,,,,,2139,2.438%,,,,,,,0,0.17423747,1525,5.909%,,,,,,,768,2.976%,,,,,,,0,0.1427286
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,1485,5.754%,,,,,,,2254,2.569%,,,,,,,0,0.16000398,1485,5.754%,,,,,,,948,3.673%,,,,,,,6.929988e-29,0.09830113
F30-F39,Mood [affective] disorders,,809,3.135%,,,,,,,1429,1.629%,,,,,,,0,0.098895036,809,3.135%,,,,,,,767,2.972%,,,,,,,0.28260025,0.009459236
F80-F89,Pervasive and specific developmental disorders,,479,1.856%,,,,,,,1338,1.525%,,,,,,,0.00019442652,0.025685988,479,1.856%,,,,,,,322,1.248%,,,,,,,2.2592898e-8,0.04923314
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,173,0.67%,,,,,,,495,0.564%,,,,,,,0.049903356,0.0135578625,173,0.67%,,,,,,,146,0.566%,,,,,,,0.12941745,0.013349672
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,,,0,0%,,,,,,,,,0,0%,,,,,,,0,0%,,,,,,,,
9083,BMI,,11124,43.105%,22.889723,5.481007,21.92,5.957118,0.1,60.4,24582,28.017%,22.34478,5.6118836,21.36766,6.21,0.11,66.87934,1.17737e-17,0.098244056,11124,43.105%,22.889723,5.481007,21.92,5.957118,0.1,60.4,11141,43.17%,22.88328,5.643752,21.83,6.002362,0.11,65.62,0.9311505,0.0011580557
9083,BMI,,11135,43.147%,,,,,,,24610,28.049%,,,,,,,0,0.31931964,11135,43.147%,,,,,,,11153,43.217%,,,,,,,0.87291753,0.0014081232
