Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,CX2 V13
2,CX1 V13
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,165,0
10,21,0
20,16,0
30,13,0
40,10,0
50,4,0
60,5,0
70,8,0
80,13,0
90,7,0
100,7,0
110,9,0
120,9,0
130,3,0
140,9,0
150,8,0
160,10,0
170,9,0
180,8,0
190,3,0
200,9,0
210,7,0
220,9,0
230,7,0
240,8,0
250,5,0
260,8,0
270,7,0
280,6,0
290,11,0
300,10,0
310,10,0
320,13,0
330,2,0
340,8,0
350,6,0
360,5,0
370,15,0
380,4,0
390,7,0
400,10,0
410,9,0
420,11,0
430,7,0
440,10,0
450,3,0
460,14,0
470,8,0
480,11,0
490,8,0
500,11,0
510,7,0
520,15,0
530,12,0
540,10,0
550,9,0
560,12,0
570,11,0
580,9,0
590,9,0
600,9,0
610,11,0
620,9,0
630,4,0
640,10,0
650,9,0
660,6,0
670,13,0
680,8,0
690,14,0
700,13,0
710,12,0
720,14,0
730,11,0
740,16,0
750,10,0
760,13,0
770,10,0
780,16,0
790,15,0
800,12,0
810,11,0
820,12,0
830,14,0
840,14,0
850,11,0
860,13,0
870,14,0
880,16,0
890,7,0
900,20,0
910,10,0
920,9,0
930,12,0
940,19,0
950,10,0
960,10,0
970,14,0
980,11,0
990,14,0
1000,19,0
1010,17,0
1020,19,0
1030,7,0
1040,16,0
1050,17,0
1060,15,0
1070,14,0
1080,19,0
1090,14,0
1100,11,0
1110,10,0
1120,10,0
1130,11,0
1140,22,0
1150,7,0
1160,16,0
1170,11,0
1180,19,0
1190,5,0
1200,15,0
1210,15,0
1220,15,0
1230,13,0
1240,18,0
1250,13,0
1260,10,0
1270,13,0
1280,10,0
1290,10,0
1300,20,0
1310,10,0
1320,14,0
1330,15,0
1340,14,0
1350,10,0
1360,20,0
1370,16,0
1380,19,0
1390,13,0
1400,21,0
1410,20,0
1420,18,0
1430,16,0
1440,28,0
1450,14,0
1460,28,0
1470,18,0
1480,13,0
1490,14,0
1500,18,0
1510,17,0
1520,14,0
1530,12,0
1540,14,0
1550,16,0
1560,18,0
1570,24,0
1580,25,0
1590,17,0
1600,20,0
1610,11,0
1620,13,0
1630,22,0
1640,23,0
1650,19,0
1660,22,0
1670,12,0
1680,12,0
1690,20,0
1700,27,0
1710,18,0
1720,21,0
1730,23,0
1740,25,0
1750,22,0
1760,26,0
1770,27,0
1780,43,0
1790,48,0
1800,136,0
1800.0,0,10
1801.0,0,14
1802.0,0,15
1803.0,0,10
1804.0,0,15
1805.0,0,19
1806.0,0,11
1807.0,0,7
1808.0,0,8
1809.0,0,9
1810,106,0
1810.0,0,15
1811.0,0,7
1812.0,0,8
1813.0,0,14
1814.0,0,16
1815.0,0,18
1816.0,0,9
1817.0,0,8
1818.0,0,12
1819.0,0,15
1820,23018,0
1820.0,0,16
1821.0,0,14
1822.0,0,19
1823.0,0,12
1824.0,0,7
1825.0,0,25499
