Outcome 1 Result 1a Measures of Association Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Risk
1,CX2 V13,25807,1479,0.057310032161816564
2,CX1 V13,25807,1724,0.06680358042391599
" "
" "
Risk Difference
Risk Difference,95 % CI Lower,95 % CI Upper,z,p
-0.009493548262099423,-0.013655539978202284,-0.005331556545996562,-4.469915846603039,0.000007825037915301006
" "
" "
Risk Ratio
Risk Ratio,95 % CI Lower,95 % CI Upper
0.8578886310904873,0.8020602516495025,0.9176030127920213
" "
" "
Odds Ratio
Odds Ratio,95 % CI Lower,95 % CI Upper
0.8492490916866247,0.7904771144704956,0.9123907656879757
