Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9999612508234201,0.9997249493329552,0.9999945415647359,0.9999225016468386,0.9996901636287298,0.999980617280515
2,0.99992229635319,0.9996893414412485,0.9999805660294506,,,
3,0.9998833115079185,0.999638242070513,0.9999623641320233,,,
4,0.9998443251425928,0.9995852710133619,0.9999415697943747,0.9998837524702601,0.999639610484449,0.9999625062054968
5,0.9998443251425928,0.9995852710133619,0.9999415697943747,,,
6,0.9998443251425928,0.9995852710133619,0.9999415697943747,0.9998450032936801,0.9995870787620607,0.9999418241518353
7,0.9998443251425928,0.9995852710133619,0.9999415697943747,,,
8,0.9998443251425928,0.9995852710133619,0.9999415697943747,,,
10,0.9998443251425928,0.9995852710133619,0.9999415697943747,0.9998062541170996,0.9995345828559355,0.9999193530140068
11,0.999766285466887,0.9994798529665415,0.9998949947417443,,,
13,0.999766285466887,0.9994798529665415,0.9998949947417443,,,
14,0.999766285466887,0.9994798529665415,0.9998949947417443,,,
15,0.999766285466887,0.9994798529665415,0.9998949947417443,,,
16,0.999766285466887,0.9994798529665415,0.9998949947417443,,,
17,0.999766285466887,0.9994798529665415,0.9998949947417443,,,
18,0.9997272488698984,0.9994279599643353,0.9998699612834391,,,
19,0.9997272488698984,0.9994279599643353,0.9998699612834391,,,
22,0.9997272488698984,0.9994279599643353,0.9998699612834391,0.9997675049405195,0.999482567847618,0.999895542420089
23,0.9996882031251355,0.9993766239491322,0.9998440592682026,,,
24,0.9996882031251355,0.9993766239491322,0.9998440592682026,,,
25,0.9996882031251355,0.9993766239491322,0.9998440592682026,,,
26,0.9996882031251355,0.9993766239491322,0.9998440592682026,,,
28,0.9996882031251355,0.9993766239491322,0.9998440592682026,,,
29,0.9996491451761964,0.9993257951988023,0.9998174300195629,,,
30,0.9996491451761964,0.9993257951988023,0.9998174300195629,,,
31,0.9996491451761964,0.9993257951988023,0.9998174300195629,,,
32,0.9996491451761964,0.9993257951988023,0.9998174300195629,0.9997287557639389,0.9994311211224693,0.9998706794931764
