Outcome 3 Result 3b Kaplan-Meier Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Median Survival (Days),Survival Probability at End of Time Window
1,CX2 V13,25807,689,,0.9719307881519825
2,CX1 V13,25807,757,,0.970664693619921
" "
" "
Log-Rank Test
χ²,df,p
0.7778255908267158,1,0.37780697741720237
" "
" "
Hazard Ratio
Hazard Ratio,95 % CI Lower,95 % CI Upper
0.9546249,0.8610136,1.058414
" "
" "
Proportionality
χ²,df,p
1.815102,1,0.1778974
