Outcome 5 Result 5b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
2574 patients in Cohort 1 and 1667 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9998278311023111,0.9995413374899835,0.999935378463097,0.9997928748964386,0.9995024479064631,0.9999137835585713
2,0.9996980282853948,0.9993666855923367,0.9998560288415317,0.9995443247721624,0.9991773357775713,0.999747621326318
3,0.9996547269457529,0.9993097059786353,0.9998273153265976,0.9993371996686008,0.9989183367228717,0.9995938952280049
4,0.9993949076534989,0.998978530874135,0.9996415891186156,0.9991300745650377,0.9986660836591842,0.999432716208064
5,0.9990917588753404,0.99860734392218,0.999407727169405,0.999088649544325,0.998616243989304,0.9993998272901219
6,0.9989185159832177,0.9983998961217706,0.9992691041821009,0.999005799502901,0.9985170772216468,0.9993335088426282
7,0.9987452580669949,0.9981949079629109,0.9991278865691141,0.9987986743993382,0.9982717349925566,0.9991650197893781
8,0.9986586253517187,0.9980931880398881,0.9990564697155062,0.9986329743164882,0.9980776560123978,0.9990279528184997
9,0.9985286537289677,0.9979414215047793,0.9989484597373328,0.9985501242750628,0.9979812320549264,0.9989587853342334
10,0.998355358231965,0.9977404547367267,0.9988030247563476,0.9984672742336372,0.9978851744436978,0.9988892418639246
11,0.9981386918492587,0.9974910919974928,0.9986192487876397,,,
12,0.9980086750859606,0.9973423347289916,0.9985080729125896,0.9983429991715003,0.997741715042775,0.998784284741129
13,0.9979653361648606,0.9972928821316506,0.998470879199066,0.9982187241093631,0.9975989378283796,0.9986786308868854
14,0.9976619637171622,0.9969483825828874,0.9982088330678652,0.9981358740679368,0.9975040983820859,0.9986078429808897
15,0.9974886005017815,0.996752687184274,0.998057901978151,0.9980115990057996,0.9973623140309925,0.9985011780082004
16,0.9973585667903346,0.9966063945787044,0.9979441965247717,0.9978458989229503,0.9971740769694526,0.9983581365067672
17,0.99731521845207,0.9965577135195441,0.9979062030010023,0.9977216238608122,0.9970334499571057,0.9982502967477467
18,0.9970984673396532,0.9963149114688763,0.9977156077071625,0.9974730737365375,0.9967534570820221,0.9980333402072772
19,0.9969684110178259,0.9961696833323583,0.9976007823374097,0.9974316487158242,0.9967069418162484,0.9979970288454478
20,0.9966215790780033,0.995783897829684,0.9972930508953629,0.9973073736536869,0.9965676336408763,0.9978878546367413
21,0.9962313931457031,0.995352195229233,0.9969445336817012,0.9971830985915497,0.9964286635237749,0.9977783390048468
22,0.996144685160748,0.9952565565124634,0.99686678871926,0.9970588235294128,0.9962900099269503,0.9976685039151176
23,0.9960579658532547,0.9951610035117316,0.9967889344521882,0.9969759734879868,0.9961977404074054,0.9975951128574988
24,0.9960146043119273,0.9951132610681389,0.9967499692504544,0.9966859983430004,0.9958757640523728,0.9973372694151763
25,0.9958411505952981,0.9949225157351247,0.9965938676406276,0.9966445733222863,0.9958298825930555,0.9973003186094155
26,0.9957110489774004,0.9947796783710124,0.9964765457906514,0.9964788732394374,0.9956466241633266,0.9971522461211939
27,0.9955375725979457,0.994589516487837,0.9963198122889406,0.9963960231980115,0.9955551489430804,0.997078054857704
