Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
268 patients in Cohort 1 and 2949 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.5,1,1,1,1
0.52,16,33,16,16
0.54,31,53,31,31
0.56,169,284,169,169
0.58,105,167,105,105
0.6,650,1089,650,652
0.62,859,1566,859,857
0.64,1559,3095,1559,1559
0.66,2832,5753,2832,2832
0.68,1614,3269,1614,1614
0.7,1633,3728,1633,1634
0.72,1174,3182,1174,1173
0.74,2330,7201,2330,2330
0.76,3128,10645,3128,3128
0.78,2946,10611,2946,2946
0.8,2341,9956,2341,2341
0.82,1611,7521,1611,1611
0.84,1313,7464,1313,1313
0.86,791,5543,791,791
0.88,649,5727,649,649
0.9,55,851,55,55
