Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
43 patients in Cohort 1 and 268 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,11054,100%,13.458205,3.187755,14,4,0,17,25807,100%,12.4649515,3.9863367,14,6,0,17,0,0.27520046,11038,100%,13.453072,3.1872094,14,4,0,17,11038,100%,13.454431,3.1921148,14,4,0,17,0.9747507,0.0004260456
Age,Current Age,,11054,100%,22.17894,4.4359393,22,6,7,37,25807,100%,21.832062,4.9534225,22,6,5,37,2.1500457e-10,0.073775634,11038,100%,22.174398,4.4348984,22,6,7,37,11038,100%,22.743704,4.484113,23,6,6,37,2.6917566e-21,0.12765929
2186-5,Not Hispanic or Latino,,8285,74.95%,,,,,,,18944,73.406%,,,,,,,0.0019933467,0.035280045,8269,74.914%,,,,,,,8294,75.14%,,,,,,,0.6974834,0.005232485
2106-3,White,,7878,71.268%,,,,,,,17924,69.454%,,,,,,,0.0004960976,0.03973714,7866,71.263%,,,,,,,7895,71.526%,,,,,,,0.66581666,0.005813682
M,Male,,6240,56.45%,,,,,,,14816,57.411%,,,,,,,0.08771413,0.0194007,6225,56.396%,,,,,,,6211,56.269%,,,,,,,0.8493243,0.0025572872
F,Female,,4807,43.487%,,,,,,,10977,42.535%,,,,,,,0.09069785,0.019220581,4806,43.54%,,,,,,,4820,43.667%,,,,,,,0.84929985,0.002557707
UN,Unknown Ethnicity,,1834,16.591%,,,,,,,4458,17.274%,,,,,,,0.1102175,0.018214833,1834,16.615%,,,,,,,1840,16.67%,,,,,,,0.91366255,0.0014594166
2054-5,Black or African American,,1466,13.262%,,,,,,,3570,13.833%,,,,,,,0.14337878,0.016693525,1464,13.263%,,,,,,,1456,13.191%,,,,,,,0.87372386,0.0021393232
2135-2,Hispanic or Latino,,935,8.458%,,,,,,,2405,9.319%,,,,,,,0.008346003,0.030247789,935,8.471%,,,,,,,904,8.19%,,,,,,,0.4502375,0.010163268
UNK,Unknown Race,,785,7.102%,,,,,,,1989,7.707%,,,,,,,0.043394268,0.023134202,784,7.103%,,,,,,,791,7.166%,,,,,,,0.8547718,0.0024637722
2131-1,Other Race,,376,3.401%,,,,,,,922,3.573%,,,,,,,0.41389295,0.009331698,376,3.406%,,,,,,,367,3.325%,,,,,,,0.73696244,0.004521195
2028-9,Asian,,356,3.221%,,,,,,,964,3.735%,,,,,,,0.014786764,0.028103521,356,3.225%,,,,,,,350,3.171%,,,,,,,0.8184704,0.0030894214
1002-5,American Indian or Alaska Native,,38,0.344%,,,,,,,124,0.48%,,,,,,,0.06901643,0.021342548,38,0.344%,,,,,,,36,0.326%,,,,,,,0.81584996,0.0031348271
F01-F09,Mental disorders due to known physiological conditions,,1128,10.204%,,,,,,,1525,5.909%,,,,,,,0,0.15830602,1124,10.183%,,,,,,,680,6.161%,,,,,,,1.0463937e-27,0.14723806
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,867,7.843%,,,,,,,1485,5.754%,,,,,,,5.5062264e-14,0.083061375,861,7.8%,,,,,,,717,6.496%,,,,,,,0.00016859129,0.050655022
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,856,7.744%,,,,,,,1610,6.239%,,,,,,,1.1594151e-7,0.05905289,852,7.719%,,,,,,,722,6.541%,,,,,,,0.00067339273,0.045781143
F30-F39,Mood [affective] disorders,,500,4.523%,,,,,,,809,3.135%,,,,,,,4.1142187e-11,0.07240116,484,4.385%,,,,,,,451,4.086%,,,,,,,0.27010432,0.014845244
F80-F89,Pervasive and specific developmental disorders,,193,1.746%,,,,,,,479,1.856%,,,,,,,0.46903273,0.008279831,193,1.749%,,,,,,,169,1.531%,,,,,,,0.20341462,0.017121151
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,80,0.724%,,,,,,,173,0.67%,,,,,,,0.56965786,0.00641359,80,0.725%,,,,,,,62,0.562%,,,,,,,0.12966909,0.020399617
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,,,0,0%,,,,,,,,,0,0%,,,,,,,0,0%,,,,,,,,
9083,BMI,,5357,48.462%,23.157904,5.2767897,22.135654,5.494558,0.15,59.448406,11124,43.105%,22.889723,5.481007,21.92,5.957118,0.1,60.4,0.0029077176,0.049849115,5342,48.396%,23.154364,5.279392,22.13218,5.477853,0.15,59.448406,5360,48.56%,23.27556,5.496413,22.112202,5.844833,1.02,60.4,0.24475653,0.022489697
9083,BMI,,5363,48.516%,,,,,,,11135,43.147%,,,,,,,2.117169e-21,0.10791516,5348,48.451%,,,,,,,5365,48.605%,,,,,,,0.81892157,0.0030816079
