Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,CX3 V13
2,CX2 V13
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,116,81
10,15,9
20,12,9
30,12,9
40,8,5
50,2,3
60,8,3
70,4,5
80,11,9
90,2,4
100,7,6
110,5,4
120,4,4
130,3,1
140,8,6
150,3,5
160,3,8
170,5,3
180,5,2
190,5,2
200,7,4
210,6,4
220,6,4
230,4,4
240,8,4
250,3,2
260,5,5
270,8,4
280,3,4
290,8,8
300,8,7
310,11,4
320,1,7
330,3,0
340,5,3
350,3,3
360,9,1
370,7,5
380,5,1
390,5,3
400,5,4
410,6,3
420,4,7
430,5,2
440,13,7
450,11,2
460,12,4
470,4,4
480,3,8
490,8,4
500,5,6
510,8,5
520,10,5
530,2,5
540,14,4
550,10,5
560,6,7
570,2,3
580,6,2
590,6,6
600,9,3
610,7,6
620,3,4
630,5,2
640,7,4
650,6,1
660,9,4
670,6,8
680,3,4
690,10,6
700,6,5
710,8,8
720,12,4
730,7,6
740,13,8
750,10,6
760,11,5
770,7,7
780,8,5
790,8,8
800,11,4
810,9,4
820,5,9
830,8,6
840,16,6
850,6,4
860,17,10
870,6,3
880,18,6
890,15,2
900,15,7
910,6,6
920,14,5
930,13,4
940,11,9
950,12,6
960,9,6
970,7,9
980,11,2
990,12,6
1000,7,7
1010,11,8
1020,7,10
1030,14,2
1040,10,7
1050,3,5
1060,19,4
1070,7,6
1080,13,11
1090,6,7
1100,10,5
1110,8,7
1120,17,4
1130,7,3
1140,11,9
1150,8,1
1160,12,7
1170,10,7
1180,6,13
1190,8,2
1200,20,8
1210,13,5
1220,11,6
1230,8,5
1240,9,8
1250,9,3
1260,12,7
1270,10,3
1280,9,3
1290,4,6
1300,13,10
1310,6,3
1320,8,5
1330,8,4
1340,12,6
1350,5,4
1360,13,6
1370,8,10
1380,6,11
1390,7,4
1400,15,9
1410,11,2
1420,12,7
1430,13,5
1440,15,15
1450,13,8
1460,8,14
1470,15,6
1480,19,6
1490,13,8
1500,12,11
1510,12,7
1520,16,8
1530,10,3
1540,21,5
1550,8,12
1560,18,10
1570,16,7
1580,13,13
1590,16,11
1600,13,8
1610,15,7
1620,12,7
1630,10,16
1640,16,5
1650,11,9
1660,12,12
1670,9,8
1680,7,2
1690,15,9
1700,13,12
1710,16,5
1720,12,9
1730,12,10
1740,16,13
1750,11,9
1760,16,10
1770,27,8
1780,29,18
1790,38,22
1800,53,53
1810,45,44
1820,9100,9767
