Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,CX3 V13
2,CX2 V13
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,117,165
10,15,21
20,12,16
30,12,13
40,8,10
50,2,4
60,8,5
70,4,8
80,11,13
90,2,7
100,7,7
110,5,9
120,4,9
130,3,3
140,8,9
150,3,8
160,3,10
170,5,9
180,5,8
190,5,3
200,7,9
210,6,7
220,6,9
230,4,7
240,8,8
250,3,5
260,5,8
270,8,7
280,3,6
290,8,11
300,8,10
310,11,10
320,1,13
330,3,2
340,5,8
350,3,6
360,9,5
370,7,15
380,5,4
390,5,7
400,5,10
410,6,9
420,4,11
430,5,7
440,13,10
450,12,3
460,12,14
470,4,8
480,3,11
490,8,8
500,5,11
510,8,7
520,10,15
530,2,12
540,14,10
550,10,9
560,7,12
570,2,11
580,6,9
590,6,9
600,9,9
610,7,11
620,3,9
630,5,4
640,8,10
650,6,9
660,9,6
670,6,13
680,3,8
690,10,14
700,6,13
710,8,12
720,12,14
730,7,11
740,13,16
750,10,10
760,11,13
770,7,10
780,8,16
790,8,15
800,11,12
810,9,11
820,5,12
830,8,14
840,16,14
850,6,11
860,17,13
870,6,14
880,18,16
890,15,7
900,15,20
910,6,10
920,14,9
930,13,12
940,11,19
950,12,10
960,9,10
970,7,14
980,11,11
990,12,14
1000,7,19
1010,11,17
1020,7,19
1030,14,7
1040,10,16
1050,3,17
1060,19,15
1070,7,14
1080,13,19
1090,6,14
1100,10,11
1110,8,10
1120,17,10
1130,7,11
1140,11,22
1150,8,7
1160,12,16
1170,10,11
1180,6,19
1190,8,5
1200,20,15
1210,13,15
1220,11,15
1230,8,13
1240,9,18
1250,9,13
1260,12,10
1270,10,13
1280,9,10
1290,4,10
1300,13,20
1310,6,10
1320,8,14
1330,8,15
1340,12,14
1350,5,10
1360,13,20
1370,8,16
1380,6,19
1390,7,13
1400,15,21
1410,11,20
1420,12,18
1430,13,16
1440,15,28
1450,13,14
1460,8,28
1470,15,18
1480,19,13
1490,13,14
1500,12,18
1510,12,17
1520,16,14
1530,10,12
1540,21,14
1550,8,16
1560,18,18
1570,16,24
1580,13,25
1590,16,17
1600,13,20
1610,15,11
1620,12,13
1630,10,22
1640,16,23
1650,11,19
1660,12,22
1670,9,12
1680,7,12
1690,15,20
1700,13,27
1710,16,18
1720,12,21
1730,12,23
1740,16,25
1750,11,22
1760,16,26
1770,27,27
1780,29,43
1790,38,48
1800,53,136
1810,45,106
1820,9112,23018
