Outcome 1 Result 1a Measures of Association Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Risk
1,CX3 V13,11038,709,0.06423265084254394
2,CX2 V13,11038,739,0.06695053451712267
" "
" "
Risk Difference
Risk Difference,95 % CI Lower,95 % CI Upper,z,p
-0.0027178836745787305,-0.0092493664851202,0.0038135991359627393,-0.8155838269472826,0.41473820257983685
" "
" "
Risk Ratio
Risk Ratio,95 % CI Lower,95 % CI Upper
0.9594046008119079,0.8684503844480859,1.0598845996758026
" "
" "
Odds Ratio
Odds Ratio,95 % CI Lower,95 % CI Upper
0.9566180640683358,0.8598975103962689,1.0642176648239559
