Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,1,,,1,,
2,0.9997257017463658,0.9991497642489804,0.9999115247175014,0.9999088506061449,0.9993531037814863,0.9999871598751439
3,0.9995426855995924,0.9989016404264596,0.9998096276353645,0.9997264187779006,0.9991519860978735,0.9999117560265719
4,0.9995426855995924,0.9989016404264596,0.9998096276353645,0.9995439703028981,0.9989047250332135,0.9998101624994735
5,0.9995426855995924,0.9989016404264596,0.9998096276353645,0.9994527377389784,0.998782268862322,0.9997540995330069
6,0.9994511356192288,0.9987787050150178,0.9997533795701061,0.9992702559537422,0.9985413289662601,0.9996349901618521
7,0.9994511356192288,0.9987787050150178,0.9997533795701061,0.9992702559537422,0.9985413289662601,0.9996349901618521
8,0.9994511356192288,0.9987787050150178,0.9997533795701061,0.9992702559537422,0.9985413289662601,0.9996349901618521
9,0.9994511356192288,0.9987787050150178,0.9997533795701061,,,
10,0.9992679181791525,0.9985366573915566,0.9996338207074684,0.9991789733871975,0.9984226548563874,0.9995727236198487
11,0.9991763094591146,0.9984175385286606,0.9995713370918958,0.998905050612806,0.9980727684852904,0.9993780205686645
12,0.9990846839378432,0.9982995098541687,0.9995074058954729,0.9988137346743645,0.997957901615842,0.9993110162382753
13,0.9989930416076342,0.9981824666260426,0.999442221156314,0.9988137346743645,0.997957901615842,0.9993110162382753
14,0.9989013908698722,0.9980663291992871,0.999375941318399,0.9988137346743645,0.997957901615842,0.9993110162382753
15,0.9989013908698722,0.9980663291992871,0.999375941318399,0.9988137346743645,0.997957901615842,0.9993110162382753
16,0.998718022096882,0.9978363739612145,0.9992405473211827,0.9988137346743645,0.997957901615842,0.9993110162382753
17,0.9986263208736623,0.9977224483636938,0.9991716300908238,0.9988137346743645,0.997957901615842,0.9993110162382753
18,0.9986263208736623,0.9977224483636938,0.9991716300908238,0.9988137346743645,0.997957901615842,0.9993110162382753
19,0.9986263208736623,0.9977224483636938,0.9991716300908238,,,
21,0.9985345943814365,0.9976091233086799,0.9991019912470994,,,
22,0.9985345943814365,0.9976091233086799,0.9991019912470994,0.9988137346743645,0.997957901615842,0.9993110162382753
