Outcome 2 Result 2b Kaplan-Meier Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Median Survival (Days),Survival Probability at End of Time Window
1,CX3 V13,11038,141,,0.9859453939877179
2,CX2 V13,11038,139,,0.9867020658427835
" "
" "
Log-Rank Test
χ²,df,p
0.1430003988483156,1,0.705316243223721
" "
" "
Hazard Ratio
Hazard Ratio,95 % CI Lower,95 % CI Upper
1.046235,0.8277191,1.322438
" "
" "
Proportionality
χ²,df,p
2.446386,1,0.1177958
