Outcome 5 Result 5b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
1497 patients in Cohort 1 and 1261 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,1,,,0.9997954382734993,0.9991823233952575,0.9999488356678738
2,0.9998941686950996,0.9992489384406337,0.9999850915548429,0.9995896767097464,0.9989070996180557,0.999845979292077
3,0.999470574469852,0.9987285111626765,0.9997796043205521,0.9994867217528286,0.9987672719492465,0.9997863282150444
4,0.999470574469852,0.9987285111626765,0.9997796043205521,0.9990748595001226,0.9982227133342463,0.999518530198238
5,0.9993646534678953,0.998586346027815,0.9997145138404764,0.9985599786201506,0.9975697691492683,0.999146894875103
6,0.9992587100083951,0.9984456979983711,0.9996465333793669,0.9983540050272008,0.9973146340926208,0.9989912908242512
7,0.9990468006223262,0.9981688379416724,0.9995039229071395,0.9983540050272008,0.9973146340926208,0.9989912908242512
8,0.9990468006223262,0.9981688379416724,0.9995039229071395,0.9981479676719173,0.9970620591684042,0.9988327424493653
9,0.9990468006223262,0.9981688379416724,0.9995039229071395,0.9980449489942746,0.9969366504659846,0.998752523664207
10,0.9988347788055559,0.9978969410148821,0.999354532590523,0.9979419303166335,0.996811773563584,0.9986717380143182
11,0.9988347788055559,0.9978969410148821,0.999354532590523,0.9975297279497121,0.9963167429781001,0.9983435798677787
12,0.9987287453895465,0.9977626019465022,0.9992778439435982,0.9974266667111595,0.9961940026544064,0.9982604512985532
13,0.9984105775827956,0.9973649351815569,0.9990414891067729,,,
14,0.9981984431777005,0.9971036128839521,0.9988796616006914,0.9971174829955017,0.9958279117265703,0.998008852801684
15,0.9980923647033981,0.9969739070469459,0.9987976845679837,0.9970144111035231,0.9957065166658886,0.9979243058504877
16,0.9979862523958598,0.9968447351391901,0.998715055660391,0.9968082460061062,0.9954645802961611,0.9977542856250644
17,0.9977740052132998,0.996587964129487,0.9985480726370272,0.9967051421329165,0.9953439974893077,0.9976688331055544
18,0.9975617354536547,0.9963330807431013,0.9983790463434346,0.9964989130532279,0.9951035742261073,0.9974971209631126
19,0.9974555892804852,0.9962062717296538,0.9982938447150026,0.9962926626314018,0.9948640811684413,0.9973244113513059
20,0.9972432743402375,0.995953800023622,0.9981221963578718,0.9961895374204895,0.9947446709478689,0.9972377131041781
21,0.9970309593999916,0.9957027653247893,0.9979490565224678,0.9957770365768368,0.9942690801313067,0.9968888306331459
22,0.9969248019298679,0.9955777419217341,0.9978619757662436,0.9956739113659235,0.9941506586516905,0.9968011253474207
23,0.9969248019298679,0.9955777419217341,0.9978619757662436,,,
24,0.9969248019298679,0.9955777419217341,0.9978619757662436,0.9955707754728875,0.9940324002026156,0.9967132318070027
25,0.9968185879087815,0.9954529458638643,0.9977745375201138,0.995261335737453,0.9936785898321924,0.996448504143893
26,0.9967123738876937,0.9953284446484283,0.9976867961048862,0.9951581677747987,0.9935609430507837,0.9963599225938057
27,0.996287517803342,0.9948331359684983,0.9973330653060659,0.9950549998121431,0.9934434475192584,0.9962711878656906
28,0.9958626164203347,0.9943415716120969,0.9969754103070819,0.9947454959241757,0.993091824210986,0.9960041099620524
29,0.9955439403830816,0.9939750639936012,0.996704962932214,0.9944359599333275,0.992741369706488,0.9957357831547697
30,0.9954376923638305,0.9938532385603039,0.9966144163885787,0.994229581193068,0.9925083304081448,0.9955562509449118
31,0.9954376923638305,0.9938532385603039,0.9966144163885787,0.9940231596045301,0.9922757057857601,0.9953762111778861
32,0.9954376923638305,0.9938532385603039,0.9966144163885787,0.9940231596045301,0.9922757057857601,0.9953762111778861
33,0.9952251282612544,0.9936100216723005,0.996432739509663,0.9939199273727705,0.992159534898572,0.995286004183187
34,0.9948000000561023,0.9931255406684733,0.996067407443587,0.9937134414628559,0.9919274903479524,0.9951052462625607
35,0.9943748718509497,0.9926434129670115,0.9956996944592732,0.9936101985078988,0.9918116253690358,0.9950147088839423
36,0.9940559916141181,0.992283163197603,0.9954224786617839,,,
37,,,,0.9934037125979839,0.9915801978114631,0.9948333296579993
38,0.993843404789564,0.9920436075106486,0.9952370515860981,0.993300458912026,0.9914646169595671,0.994742484054923
39,0.9934181856624749,0.9915657964472013,0.9948647916394165,0.9931971944917228,0.9913491173179695,0.994651534563503
40,0.9932055760989298,0.9913275279954964,0.9946780195906784,0.9930939193337223,0.9912336968653936,0.9945604832529052
41,0.9930992599379268,0.9912085300252939,0.9945844727700281,0.9926808187017196,0.990772904479691,0.9941953837951684
42,0.9925676791329067,0.9906149617417147,0.9941153075270901,,,
44,0.9924613629719033,0.9904965184074865,0.994021202430575,,,
45,0.9922487306498955,0.9902598873057313,0.9938327351347741,0.9922677180697166,0.9903134487736549,0.9938289409125973
46,0.992142414488891,0.990141696128643,0.9937383763866341,0.9920611677537162,0.9900841894237958,0.9936452487673666
47,,,,0.9919578818434871,0.989969658236112,0.9935532816775564
48,0.9918234318242807,0.989787558098605,0.9934547919114399,0.9918545851776698,0.9898551864234763,0.9934612328801218
49,0.9917170928694374,0.9896696522905826,0.9933600993896083,0.9916479918460348,0.9896264558924478,0.9932769213659235
50,0.9915044149597515,0.9894340638095767,0.993170490135924,,,
51,0.9912917370500647,0.9891987638401667,0.9929805910248874,0.9915446736555941,0.9895121678962346,0.9931846438994169
52,0.9910790591403775,0.9889637421423462,0.992790412392822,0.9913380372747137,0.989283793924388,0.9929998862814773
53,0.9909727201855338,0.988846332609412,0.9926952213198941,,,
54,0.9907600422758479,0.9886117104082992,0.9925046414782465,0.9911314008938329,0.9890556815272387,0.9928148662545593
55,0.9906537033210044,0.9884944955310376,0.9924092549375417,,,
56,0.9904410025795505,0.9882602248856097,0.9922182753734076,0.9909247645129514,0.9888278218266838,0.9926295927536835
57,0.9902282789965218,0.9880261691908796,0.9920270333341911,0.990614809941631,0.9884864878683072,0.9923512255645917
58,0.9899091936219804,0.9876755246690007,0.9917397297676109,,,
59,0.9894837464559231,0.9872087807721517,0.9913558736896355,,,
61,0.9892710228728958,0.9869757291042465,0.991163624385322,0.990614809941631,0.9884864878683072,0.9923512255645917
62,0.9889518688704642,0.9866264515765916,0.9908748095835325,0.9905114701951316,0.988372801015303,0.992258301032047
63,0.9888454842029861,0.9865101250947731,0.9907784383725536,0.9902014509556334,0.9880320805121066,0.9919791865632309
64,0.9886327148680315,0.9862776170309002,0.990585550697459,0.9900981112091347,0.9879186174335087,0.991886037726879
65,0.9886327148680315,0.9862776170309002,0.990585550697459,0.9899947714626361,0.9878052081579152,0.991792834965367
66,0.9885263187514944,0.9861614203132243,0.9904890260774235,0.9898914209279808,0.987691838733594,0.9916995702407977
67,0.9883135036129042,0.9859291384190958,0.9902958183977857,0.9896847198586708,0.987465255786267,0.9915128845753399
68,0.9881006655589324,0.9856970104674099,0.990102409818234,,,
69,0.9879942465319469,0.9855810130968222,0.990005638806577,0.9895813585302247,0.9873520276289833,0.9914194562827722
70,0.9877814084779768,0.9853491486996384,0.9898119662162285,0.9893746358733364,0.9871257205575454,0.9912324501912303
71,0.9875685704240063,0.9851174544153775,0.9896181232283634,0.9889611905595567,0.9866736838556507,0.9908578595831122
72,0.9873557323700352,0.9848859259916173,0.9894241141098636,0.9888578292311123,0.9865607911003484,0.9907640953192364
73,0.9872493133430507,0.9847702226969421,0.989327048536367,,,
74,0.9871428943160655,0.9846545593519127,0.989229942950685,0.9888578292311123,0.9865607911003484,0.9907640953192364
75,0.9869300562620947,0.9844233505857489,0.989035613673969,0.9888578292311123,0.9865607911003484,0.9907640953192364
76,0.986823614280186,0.9843077768840628,0.9889383716605956,,,
77,0.9865042538872146,0.9839612417270821,0.9886463894933456,0.9886510633494116,0.9863350888188773,0.9905763954130433
78,0.9863978004228909,0.9838458042163072,0.9885489878221697,0.9885476695967096,0.986222291173152,0.990482469890381
79,0.9863978004228909,0.9838458042163072,0.9885489878221697,0.9884442758440054,0.9861095371043134,0.9903885007444226
80,0.9862913239763869,0.9837303758188949,0.9884515303684297,0.9882374883385995,0.9858841574254353,0.9902004338594081
81,0.9861848475298809,0.9836149834394088,0.9883540368729081,0.9880307008331927,0.9856589453610564,0.9900121991885877
82,0.9860783710833764,0.9834996266714184,0.9882565077425993,,,
83,0.9858654181903657,0.9832690183823478,0.9880613441673319,0.987927307080489,0.9855464008543754,0.9899180202661936
84,0.9858654181903657,0.9832690183823478,0.9880613441673319,0.9878239133277861,0.985433896677914,0.989823800973998
85,0.9858654181903657,0.9832690183823478,0.9880613441673319,0.9875136996001637,0.9850965824020288,0.9895408786662493
86,0.9858654181903657,0.9832690183823478,0.9880613441673319,0.9874102950242892,0.9849842217506406,0.9894464937285836
88,,,,0.9873068796184433,0.9848718861306428,0.9893520617385517
89,0.9857588957248679,0.9831537116357125,0.987963671621577,0.9871000488067492,0.9846473269713396,0.9891630856093081
90,0.9854393283283706,0.9828079947025211,0.9876704506708394,,,
91,0.9853328058628732,0.9826928222785836,0.9875726437979985,0.986996611727338,0.9845350767694321,0.989068524138976
92,0.9849067160008776,0.9822324560184876,0.9871810928611228,0.9867897375685201,0.9843106846618992,0.9888792928701912
93,0.984800193535379,0.9821174436314891,0.9870831259465689,0.9867897375685201,0.9843106846618992,0.9888792928701912
94,0.9845871255575473,0.9818874845094977,0.9868870797739738,0.9865828417225054,0.9840864084662125,0.9886899016467647
95,0.984480591568632,0.9817725507159175,0.9867890109254842,0.9861690066378903,0.9836382171970859,0.9883106700196664
96,0.9842675005314969,0.9815427460756103,0.9865927635900317,0.9858586303244286,0.9833024229853854,0.9880258970627365
97,,,,0.9857551715532754,0.9831905561883894,0.9879309081375313
98,0.9839478639757926,0.9811982598093769,0.9862981719477005,0.9856517127821208,0.983078721120666,0.9878358874833886
99,,,,0.9854447952398137,0.9828551448378344,0.9876457523235094
100,0.9838413184572252,0.9810834887566947,0.986199917045009,0.9852378776975068,0.9826316915249371,0.9874554941950612
101,0.9836282274200883,0.9808540315379372,0.9860033223734662,0.9852378776975068,0.9826316915249371,0.9874554941950612
102,,,,0.9852378776975068,0.9826316915249371,0.9874554941950612
103,0.9830953843933171,0.980280736578687,0.9855112541435542,,,
104,0.9829888042345589,0.980166144903121,0.9854127498450137,0.9850309166896934,0.982408307567119,0.9872650786580386
105,,,,0.9848239556818797,0.982185041738951,0.9870745450249754
106,0.9828822240758004,0.9800515795927631,0.9853142191976367,,,
107,0.9827756439170404,0.9799370404072467,0.9852156624414937,0.9847204534269466,0.9820734268575152,0.9869792161350807
108,0.9826690521986106,0.9798225136481111,0.9851170698907858,0.984513427156911,0.9818502573516846,0.986788454081207
109,0.9825624604801825,0.9797080125571056,0.9850184516908894,,,
110,0.9823492770433231,0.9794790864639829,0.9848211392576837,0.984306400886875,0.9816272003940356,0.9865975795547349
111,0.9822426853248949,0.9793646610126917,0.9847224454729081,0.9842028877518568,0.9815157134388783,0.9865021007952665
112,0.9819229101696061,0.979021532414431,0.9844262164676248,0.9839958614818206,0.9812928212506983,0.9863110616073325
113,0.9819229101696061,0.979021532414431,0.9844262164676248,0.9837888352117846,0.9810700363078224,0.9861199152427376
114,,,,0.9831677564016752,0.9804023052193289,0.985545852796016
115,0.9818162953042234,0.9789071778992859,0.9843274050173716,0.983064243266657,0.9802911051862834,0.9854500872933111
116,0.9816030424164512,0.9786785136613602,0.9841296905797983,,,
117,0.9814964159725658,0.9785642169734113,0.984030797967692,0.9829607192309293,0.9801799171448197,0.9853542877655027
118,0.9811765018865248,0.9782214260367613,0.9837339509107067,0.982857195195203,0.9800687535703918,0.9852584637881118
119,0.9810698638578452,0.9781072082198946,0.9836349561161194,0.9827536711594754,0.9799576142465762,0.9851626155772513
120,0.980963225829164,0.977993013002006,0.9835359387483682,0.9826501253085486,0.9798464736129515,0.9850667245780591
121,0.9808565762068724,0.9778788267970511,0.9834368889663304,0.9824430336066923,0.9796242636909454,0.9848748713019696
122,0.9807499149871887,0.9777646494344836,0.983337806936659,0.9822359419048361,0.9794021475290785,0.984682924353232
123,,,,0.9819253043520504,0.9790691456015945,0.9843948317724263
124,0.9806432537675058,0.9776504941449489,0.9832387028641141,0.9817182126501951,0.9788472569444019,0.9842026575251129
125,0.9804299313281395,0.9774222490752816,0.9830404292981603,0.9816146667992659,0.9787363458420988,0.984106537204468
126,0.9803232701084569,0.9773081589463065,0.9829412601526549,,,
127,0.9802166088887729,0.9771940901925847,0.9828420696601695,0.981511120948338,0.978625456646975,0.9840103949957592
128,0.9798965904072555,0.9768519704008956,0.9825443415498573,0.9814075750974091,0.9785145891794363,0.9839142310782658
129,0.9796832447529096,0.9766239944356523,0.9823457523933463,0.9813040292464812,0.978403743262372,0.9838180456287997
131,0.9795765603093994,0.9765100237773018,0.9822464170762422,,,
132,0.9792565069788685,0.9761682327527755,0.9819482903541931,0.9810969375446245,0.9781821153833188,0.9836256108291088
133,0.9791498109114268,0.9760543288677435,0.9818488649144548,,,
134,0.9790431148439865,0.9759404446490532,0.9817494198392602,0.9809933916936964,0.9780713330790746,0.9835293618205674
135,0.9788297227091021,0.9757127346268095,0.9815504713645454,,,
136,0.9786163305742204,0.9754851015365024,0.9813514460760338,0.9808898458427688,0.9779605716407024,0.9834330919635068
137,0.9785096345067779,0.9753713134893909,0.9812519049769567,,,
138,0.9782962191012137,0.9751437670454431,0.9810527462495896,0.9807862999918407,0.977849830902789,0.9833368014230671
139,0.9782962191012137,0.9751437670454431,0.9810527462495896,0.9805791864241081,0.9776283856839264,0.9831441399717424
140,0.9779760610716179,0.9748025462423819,0.9807538390509775,0.9804756187026852,0.9775176808971199,0.9830477693616623
141,0.9778693300816513,0.9746888291629283,0.9806541566909965,0.980268483259841,0.9772963314086377,0.9828549681186327
143,,,,0.9800613478169972,0.977075061010327,0.9826620878663473
144,0.9777625990916836,0.9745751301342275,0.9805544563125116,0.9799577800955753,0.9769644550936638,0.9825656184872942
145,0.9776558681017168,0.9744614490296589,0.980454738041694,,,
146,0.9776558681017168,0.9744614490296589,0.980454738041694,0.9796470769313095,0.9766327527133084,0.9822760950953208
