Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
43 patients in Cohort 1 and 268 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.54,2,1,1,1
0.56,84,103,69,69
0.58,107,157,107,106
0.6,159,275,159,160
0.62,1334,2333,1334,1334
0.64,1848,3606,1848,1848
0.66,1843,4017,1843,1843
0.68,1602,3401,1602,1602
0.7,1397,3244,1397,1397
0.72,938,2183,938,938
0.74,599,1525,599,599
0.76,508,1663,508,508
0.78,280,1098,280,280
0.8,147,760,147,147
0.82,115,673,115,115
0.84,79,656,79,79
0.86,12,110,12,12
0.88,,2,,
