Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
2961 patients in Cohort 1 and 5802 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,86313,100%,10.995922,4.7793765,12,7,0,17,53110,100%,8.829449,4.1449637,9,6,0,17,0,0.484298,48652,100%,8.855361,4.425293,9,7,0,17,48652,100%,9.028529,4.216633,9,6,0,17,4.1529152e-10,0.04006472
Age,Current Age,,86313,100%,21.620173,5.72567,22,8,5,37,53110,100%,20.872358,5.5556216,21,8,6,37,0,0.13256086,48652,100%,19.593275,5.472352,20,7,5,37,48652,100%,21.070583,5.6166177,21,8,6,37,0,0.26642388
2186-5,Not Hispanic or Latino,,60528,70.126%,,,,,,,33353,62.8%,,,,,,,0,0.15564853,32309,66.408%,,,,,,,30693,63.087%,,,,,,,2.141e-27,0.069566
2106-3,White,,57232,66.308%,,,,,,,33876,63.785%,,,,,,,7.020587e-22,0.0529292,30670,63.04%,,,,,,,31002,63.722%,,,,,,,0.02715922,0.014164944
M,Male,,48655,56.37%,,,,,,,29906,56.31%,,,,,,,0.82388,0.0012273684,30597,62.89%,,,,,,,27609,56.748%,,,,,,,0,0.12551713
F,Female,,37602,43.565%,,,,,,,23170,43.626%,,,,,,,0.8213982,0.0012449579,18019,37.037%,,,,,,,21013,43.19%,,,,,,,0,0.1258053
UN,Unknown Ethnicity,,16373,18.969%,,,,,,,11889,22.386%,,,,,,,0,0.08442933,9940,20.431%,,,,,,,10867,22.336%,,,,,,,4.2297264e-13,0.046483632
2054-5,Black or African American,,12895,14.94%,,,,,,,6359,11.973%,,,,,,,0,0.087011844,7099,14.591%,,,,,,,6015,12.363%,,,,,,,2.5258003e-24,0.06528188
2135-2,Hispanic or Latino,,9412,10.904%,,,,,,,7868,14.815%,,,,,,,0,0.11700394,6403,13.161%,,,,,,,7092,14.577%,,,,,,,1.6505873e-10,0.040983457
UNK,Unknown Race,,7433,8.612%,,,,,,,5947,11.198%,,,,,,,0,0.08664391,4878,10.026%,,,,,,,5340,10.976%,,,,,,,0.0000013574911,0.030978968
2131-1,Other Race,,3724,4.315%,,,,,,,3411,6.423%,,,,,,,0,0.09362645,2739,5.63%,,,,,,,3088,6.347%,,,,,,,0.0000024131652,0.030236157
2028-9,Asian,,3411,3.952%,,,,,,,2373,4.468%,,,,,,,0.0000026821924,0.025706563,2281,4.688%,,,,,,,2167,4.454%,,,,,,,0.08015672,0.011219004
1002-5,American Indian or Alaska Native,,435,0.504%,,,,,,,323,0.608%,,,,,,,0.010191278,0.014011641,269,0.553%,,,,,,,288,0.592%,,,,,,,0.41945335,0.0051765298
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,,,0,0%,,,,,,,,,0,0%,,,,,,,0,0%,,,,,,,,
F30-F39,Mood [affective] disorders,,1757,2.036%,,,,,,,0,0%,,,,,,,0,0.20385842,0,0%,,,,,,,0,0%,,,,,,,,
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,654,0.758%,,,,,,,0,0%,,,,,,,0,0.12357123,0,0%,,,,,,,0,0%,,,,,,,,
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,2683,3.108%,,,,,,,0,0%,,,,,,,0,0.25330532,0,0%,,,,,,,0,0%,,,,,,,,
F01-F09,Mental disorders due to known physiological conditions,,1364,1.58%,,,,,,,0,0%,,,,,,,0,0.17920208,0,0%,,,,,,,0,0%,,,,,,,,
F80-F89,Pervasive and specific developmental disorders,,1252,1.451%,,,,,,,0,0%,,,,,,,0,0.17157418,0,0%,,,,,,,0,0%,,,,,,,,
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,3704,4.291%,,,,,,,0,0%,,,,,,,0,0.29945862,0,0%,,,,,,,0,0%,,,,,,,,
9083,BMI,,24317,28.173%,22.415722,5.654387,21.43402,6.236181,0.11,66.87934,8660,16.306%,20.48023,5.257528,19.33,6.098524,0.17,68.68,0,0.35451388,8468,17.405%,20.610743,5.338009,19.519836,6.242818,0.11,66.87934,8371,17.206%,20.601137,5.272624,19.5,6.03,0.17,68.68,0.9064984,0.0018104133
9083,BMI,,24346,28.207%,,,,,,,8677,16.338%,,,,,,,0,0.28820527,8485,17.44%,,,,,,,8388,17.241%,,,,,,,0.41144595,0.0052661756
