Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,CX1 V14
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,23,15
1801.0,21,12
1802.0,15,15
1803.0,20,18
1804.0,30,7
1805.0,29,11
1806.0,25,15
1807.0,21,19
1808.0,24,10
1809.0,16,16
1810.0,22,9
1811.0,15,14
1812.0,24,17
1813.0,27,9
1814.0,23,11
1815.0,37,13
1816.0,17,13
1817.0,22,13
1818.0,15,14
1819.0,27,12
1820.0,20,15
1821.0,20,20
1822.0,25,10
1823.0,20,11
1824.0,18,11
1825.0,48096,48322
