Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,CX1 V14
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,30,16
1801.0,37,12
1802.0,32,15
1803.0,34,21
1804.0,47,9
1805.0,47,11
1806.0,41,17
1807.0,31,20
1808.0,40,11
1809.0,28,17
1810.0,39,11
1811.0,35,14
1812.0,35,17
1813.0,39,10
1814.0,47,12
1815.0,54,13
1816.0,32,14
1817.0,36,13
1818.0,30,17
1819.0,47,12
1820.0,40,16
1821.0,39,21
1822.0,43,10
1823.0,34,12
1824.0,32,13
1825.0,85364,52756
