Outcome 6 Result 6b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9998561210227743,0.9996982224062645,0.9999314054283839,0.9999794458603957,0.9998540938414476,0.9999971046465128
2,0.9998150127435661,0.9996445008022715,0.99990374412788,0.9999383375811887,0.9998088237800138,0.9999801121338684
3,0.999753350324755,0.9995657293130374,0.9998599177941585,0.9999177834415853,0.9997809565103809,0.9999691418650207
4,0.9996505796267361,0.9994379839211692,0.9997827647818676,,,
5,0.9995478089287178,0.9993133303973885,0.999702231505376,0.9998766751623768,0.9997255145691825,0.9999445931160307
6,0.9994655923703029,0.9992152115380754,0.9996361056342375,0.9998355668831709,0.9996712249994082,0.9999177640057287
7,0.9993628216722849,0.999094094455566,0.9995518517046147,0.9998150127435661,0.9996445008022715,0.99990374412788
8,0.9992806051138691,0.9989981901420023,0.9994834265433906,0.9997327961851512,0.9995398689083032,0.9998448377188645
9,0.999239496834663,0.9989505182210208,0.9994489260868684,,,
10,0.9991778344158507,0.9988793210761705,0.9993968572709608,0.9997122420455476,0.9995141776426976,0.9998295646658498
11,0.9991161719970396,0.9988084619816228,0.9993444431871309,0.9996916879059439,0.9994886411823138,0.9998141177770665
12,0.9990339554386249,0.9987144522098027,0.9992740798890182,,,
13,0.9989722930198142,0.9986442610100716,0.9992209859904371,0.9996711337663395,0.999463246959762,0.9997985132164467
14,0.9989106306010034,0.9985743149527545,0.9991676432686781,0.9996505796267361,0.9994379839211692,0.9997827647818676
15,0.998869522321796,0.9985278105272455,0.9991319534280642,0.999630025487133,0.999412842305654,0.9997668843641453
16,0.9987873057633808,0.9984350814118943,0.9990602904598749,,,
17,0.9986434267861547,0.9982736116169874,0.9989340649634599,,,
18,0.9985817643673428,0.9982046917148392,0.9988796840448658,0.999568363068321,0.9993380640454189,0.9997185483414014
19,0.9985201019485328,0.9981359252140418,0.9988251483297629,0.9995478089287178,0.9993133303973885,0.999702231505376
20,0.9984789936693248,0.9980901614909896,0.9987887098843972,,,
21,0.99839677711091,0.9979988162634778,0.9987156493080351,,,
22,0.9982734522732877,0.997862220736041,0.9986056329868246,0.9994861465099069,0.9992396280947282,0.9996527556470355
23,0.9981912357148726,0.9977714157368887,0.9985320283254872,0.9994450382306994,0.9991908637527743,0.999619383927045
24,0.9981706815752689,0.9977487448162636,0.9985135966380695,0.9994244840910963,0.9991665812419391,0.9996025943369534
25,,,,0.9994039299514913,0.999142360791894,0.9995857403486591
26,0.9980884650168548,0.997658176550849,0.998439753774419,,,
27,0.9980679108772508,0.9976355624208129,0.9984212649591008,,,
28,0.9979856943188361,0.9975452124907684,0.9983472025153748,,,
29,0.9979240319000243,0.9974775575104942,0.9982915476426787,0.9993628216722849,0.999094094455566,0.9995518517046147
