Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
2961 patients in Cohort 1 and 5802 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0,8340,,,
0.02,6,,,
0.16,322,47,47,47
0.18,558,100,100,100
0.2,2122,354,354,354
0.22,4615,900,900,900
0.24,3387,859,859,859
0.26,5086,1353,1353,1353
0.28,5312,1671,1671,1671
0.3,5886,2137,2137,2137
0.32,5875,2469,2469,2469
0.34,5196,2847,2856,2847
0.36,4876,3391,3381,3391
0.38,4542,3635,3647,3635
0.4,3932,3793,3917,3793
0.42,3483,3877,3483,3603
0.44,2742,3230,2742,2694
0.46,2888,3748,2888,2927
0.48,2742,3690,2742,2743
0.5,2410,3297,2410,2385
0.52,2136,2619,2136,2118
0.54,2108,2391,2108,2082
0.56,1895,2057,1895,1924
0.58,1797,1727,1663,1713
0.6,1285,1115,1103,1115
0.62,913,748,735,748
0.64,911,667,679,667
0.66,764,225,228,225
0.68,111,125,111,114
0.7,73,38,38,38
