Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
268 patients in Cohort 1 and 2961 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,25559,100%,12.507609,3.9799082,14,6,0,17,86313,100%,10.995922,4.7793765,12,7,0,17,0,0.3437337,25559,100%,12.507609,3.9799082,14,6,0,17,25559,100%,12.500411,3.9896462,14,6,0,17,0.838172,0.0018066316
Age,Current Age,,25559,100%,21.879768,4.9435325,22,6,5,37,86313,100%,21.620173,5.72567,22,8,5,37,5.389946e-11,0.048532315,25559,100%,21.879768,4.9435325,22,6,5,37,25559,100%,22.962128,5.1260247,23,6,5,37,0,0.21494108
2186-5,Not Hispanic or Latino,,18816,73.618%,,,,,,,60528,70.126%,,,,,,,3.5340938e-27,0.07771768,18816,73.618%,,,,,,,18854,73.767%,,,,,,,0.70266974,0.0033766618
2106-3,White,,17776,69.549%,,,,,,,57232,66.308%,,,,,,,3.5336372e-22,0.06948722,17776,69.549%,,,,,,,17798,69.635%,,,,,,,0.83247757,0.001871135
M,Male,,14598,57.115%,,,,,,,48655,56.37%,,,,,,,0.0349403,0.015027515,14598,57.115%,,,,,,,14594,57.099%,,,,,,,0.97148436,0.000316212
F,Female,,10947,42.83%,,,,,,,37602,43.565%,,,,,,,0.03745479,0.014825984,10947,42.83%,,,,,,,10940,42.803%,,,,,,,0.95010847,0.0005534942
UN,Unknown Ethnicity,,4372,17.106%,,,,,,,16373,18.969%,,,,,,,1.6471888e-11,0.04848804,4372,17.106%,,,,,,,4358,17.051%,,,,,,,0.8693016,0.0014555581
2054-5,Black or African American,,3529,13.807%,,,,,,,12895,14.94%,,,,,,,0.0000070001897,0.03228682,3529,13.807%,,,,,,,3529,13.807%,,,,,,,1,0
2135-2,Hispanic or Latino,,2371,9.277%,,,,,,,9412,10.904%,,,,,,,9.546031e-14,0.054067045,2371,9.277%,,,,,,,2347,9.183%,,,,,,,0.71381176,0.0032441719
UNK,Unknown Race,,1955,7.649%,,,,,,,7433,8.612%,,,,,,,0.0000010832815,0.035230886,1955,7.649%,,,,,,,1952,7.637%,,,,,,,0.9601687,0.00044178194
2028-9,Asian,,950,3.717%,,,,,,,3411,3.952%,,,,,,,0.088190615,0.0122385025,950,3.717%,,,,,,,951,3.721%,,,,,,,0.98135173,0.00020676707
2131-1,Other Race,,921,3.603%,,,,,,,3724,4.315%,,,,,,,5.5682466e-7,0.03647408,921,3.603%,,,,,,,911,3.564%,,,,,,,0.81192976,0.0021047753
1002-5,American Indian or Alaska Native,,122,0.477%,,,,,,,435,0.504%,,,,,,,0.5948987,0.0038143736,122,0.477%,,,,,,,116,0.454%,,,,,,,0.69666165,0.0034484176
