Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,CX1 V14
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,162,0
10,22,0
20,16,0
30,11,0
40,10,0
50,3,0
60,4,0
70,9,0
80,12,0
90,7,0
100,7,0
110,9,0
120,9,0
130,3,0
140,9,0
150,8,0
160,9,0
170,8,0
180,8,0
190,3,0
200,9,0
210,6,0
220,9,0
230,7,0
240,9,0
250,5,0
260,7,0
270,7,0
280,6,0
290,12,0
300,8,0
310,10,0
320,13,0
330,2,0
340,8,0
350,6,0
360,6,0
370,15,0
380,4,0
390,7,0
400,10,0
410,9,0
420,11,0
430,7,0
440,9,0
450,3,0
460,13,0
470,8,0
480,11,0
490,10,0
500,11,0
510,6,0
520,14,0
530,11,0
540,10,0
550,9,0
560,11,0
570,9,0
580,8,0
590,9,0
600,9,0
610,11,0
620,9,0
630,4,0
640,11,0
650,10,0
660,6,0
670,12,0
680,7,0
690,14,0
700,12,0
710,12,0
720,14,0
730,11,0
740,15,0
750,10,0
760,12,0
770,10,0
780,17,0
790,16,0
800,12,0
810,10,0
820,12,0
830,14,0
840,14,0
850,11,0
860,13,0
870,13,0
880,15,0
890,7,0
900,20,0
910,10,0
920,9,0
930,11,0
940,19,0
950,10,0
960,11,0
970,14,0
980,13,0
990,15,0
1000,19,0
1010,16,0
1020,19,0
1030,7,0
1040,16,0
1050,15,0
1060,15,0
1070,15,0
1080,19,0
1090,13,0
1100,9,0
1110,10,0
1120,10,0
1130,10,0
1140,22,0
1150,6,0
1160,16,0
1170,12,0
1180,19,0
1190,6,0
1200,14,0
1210,14,0
1220,15,0
1230,13,0
1240,19,0
1250,13,0
1260,9,0
1270,15,0
1280,10,0
1290,11,0
1300,20,0
1310,10,0
1320,14,0
1330,13,0
1340,15,0
1350,9,0
1360,20,0
1370,17,0
1380,19,0
1390,12,0
1400,21,0
1410,20,0
1420,18,0
1430,17,0
1440,28,0
1450,14,0
1460,25,0
1470,18,0
1480,11,0
1490,14,0
1500,17,0
1510,17,0
1520,14,0
1530,12,0
1540,14,0
1550,16,0
1560,18,0
1570,24,0
1580,25,0
1590,16,0
1600,20,0
1610,12,0
1620,12,0
1630,22,0
1640,21,0
1650,19,0
1660,22,0
1670,12,0
1680,12,0
1690,19,0
1700,24,0
1710,16,0
1720,20,0
1730,22,0
1740,23,0
1750,20,0
1760,25,0
1770,27,0
1780,43,0
1790,48,0
1800,127,0
1800.0,0,30
1801.0,0,37
1802.0,0,32
1803.0,0,34
1804.0,0,47
1805.0,0,47
1806.0,0,41
1807.0,0,31
1808.0,0,40
1809.0,0,28
1810,101,0
1810.0,0,39
1811.0,0,35
1812.0,0,35
1813.0,0,39
1814.0,0,47
1815.0,0,54
1816.0,0,32
1817.0,0,36
1818.0,0,30
1819.0,0,47
1820,22828,0
1820.0,0,40
1821.0,0,39
1822.0,0,43
1823.0,0,34
1824.0,0,32
1825.0,0,85364
