Outcome 6 Result 6b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9992174967721751,0.998787373329059,0.9994950923010543,0.9988262451582609,0.9983216785746178,0.9991791823959364
2,0.998548860777483,0.9979977120867494,0.9989483805063227,0.9979654916076526,0.9973309183755227,0.9984493125678378
3,0.9979977635231413,0.997366273460957,0.9984779564030841,0.9973394890253919,0.9966268682794338,0.9979017172806672
4,0.9972498163194905,0.9965250982220561,0.9978235538311568,0.996791736765914,0.9960180023355463,0.9974153234276566
5,0.9965412347581388,0.9957392576719902,0.9971924727716912,0.99636135999061,0.9955431670333325,0.9970295718320892
6,0.9960294409742401,0.9951764814900436,0.9967318164106519,0.9956962322469578,0.9948142033585051,0.9964285101739456
7,0.9949269415930226,0.9939743126485815,0.9957292886695354,0.9947963535349592,0.9938353740015938,0.9956078608676511
8,0.9943756482667223,0.9933772853136016,0.995223871676923,0.9943659767596541,0.9933696762523899,0.9952129298279554
9,0.9938636113726614,0.9928247488649309,0.994752460779329,0.9940529754685237,0.9930318345136283,0.9949248572046135
10,0.9935091242921582,0.9924432187399953,0.9944251033493005,0.9938573496615677,0.992821017620744,0.9947444767101952
11,0.9932333465195341,0.9921469110448766,0.9941699209707362,0.9933878477248721,0.9923160262943616,0.9943105918717956
12,0.9926029223072084,0.9914710913501992,0.9935850395976825,0.9928009703040029,0.9916865375281748,0.9937664814400811
13,0.9918936950683427,0.9907130911968368,0.9929247503049181,0.9922923432059154,0.9911423875983517,0.9932935092076496
14,0.9910661975474286,0.9898313626038252,0.9921516745435823,0.9917054657850463,0.9905159745576753,0.9927463171272074
15,0.9904356981772199,0.9891612486235327,0.9915609343905023,0.9911577135255679,0.9899325911630446,0.9922343336769817
16,0.9899627860182938,0.9886594936117635,0.9911169728841394,0.9906099612660897,0.9893503195088352,0.9917212368512089
17,0.9894504237196141,0.9881166581135395,0.9906351999723443,0.9899839586838299,0.9886861068096394,0.9911335982027147
18,0.9890956972292748,0.9877412777827148,0.9903012075891053,0.9896318322313087,0.9883130250193665,0.9908025129484914
19,0.9888592034784424,0.9874912057426035,0.9900783455291452,0.9891232051332214,0.9877747651680299,0.990323641899443
20,0.9883073627302968,0.9869082478223119,0.9895577463440067,0.9884580773895696,0.9870719444918835,0.9896963672007217
