Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
268 patients in Cohort 1 and 2961 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.52,3,3,3,3
0.54,21,45,21,21
0.56,38,69,38,38
0.58,185,331,185,185
0.6,698,1171,698,698
0.62,926,1616,926,927
0.64,2676,5241,2676,2675
0.66,1706,3558,1706,1706
0.68,1864,3797,1864,1864
0.7,1353,3080,1353,1353
0.72,1312,3544,1312,1312
0.74,2274,7044,2274,2274
0.76,2790,9507,2790,2790
0.78,2976,10717,2976,2976
0.8,2345,9722,2345,2345
0.82,1641,7762,1641,1641
0.84,1295,7319,1295,1295
0.86,787,5488,787,787
0.88,612,5437,612,612
0.9,57,861,57,57
0.92,,1,,
