Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
43 patients in Cohort 1 and 268 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,10952,100%,13.4916,3.17086,14,4,0,17,25559,100%,12.507609,3.9799082,14,6,0,17,0,0.2734676,10943,100%,13.488714,3.1705663,14,4,0,17,10943,100%,13.488714,3.1803517,14,4,0,17,1,0
Age,Current Age,,10952,100%,22.222881,4.429471,22,6,7,37,25559,100%,21.879768,4.9435325,22,6,5,37,3.7617282e-10,0.07310323,10943,100%,22.218952,4.4278307,22,6,7,37,10943,100%,22.776386,4.463502,23,6,6,37,1.93918e-20,0.12538716
2186-5,Not Hispanic or Latino,,8228,75.128%,,,,,,,18816,73.618%,,,,,,,0.0025546853,0.034591038,8219,75.107%,,,,,,,8230,75.208%,,,,,,,0.86337584,0.002326342
2106-3,White,,7834,71.53%,,,,,,,17776,69.549%,,,,,,,0.0001499529,0.04347553,7826,71.516%,,,,,,,7848,71.717%,,,,,,,0.7415226,0.004459109
M,Male,,6146,56.118%,,,,,,,14598,57.115%,,,,,,,0.07791003,0.020124104,6138,56.091%,,,,,,,6115,55.88%,,,,,,,0.75413567,0.004234058
F,Female,,4800,43.828%,,,,,,,10947,42.83%,,,,,,,0.07786737,0.0201269,4799,43.855%,,,,,,,4821,44.056%,,,,,,,0.7644691,0.004050555
UN,Unknown Ethnicity,,1812,16.545%,,,,,,,4372,17.106%,,,,,,,0.19064425,0.014986042,1812,16.559%,,,,,,,1820,16.632%,,,,,,,0.8844329,0.0019650257
2054-5,Black or African American,,1440,13.148%,,,,,,,3529,13.807%,,,,,,,0.092417486,0.019298496,1440,13.159%,,,,,,,1445,13.205%,,,,,,,0.92041886,0.001350638
2135-2,Hispanic or Latino,,912,8.327%,,,,,,,2371,9.277%,,,,,,,0.0036636037,0.033511713,912,8.334%,,,,,,,893,8.16%,,,,,,,0.64058554,0.0063118185
UNK,Unknown Race,,771,7.04%,,,,,,,1955,7.649%,,,,,,,0.042432494,0.023353208,770,7.036%,,,,,,,767,7.009%,,,,,,,0.93674713,0.0010728595
2131-1,Other Race,,378,3.451%,,,,,,,921,3.603%,,,,,,,0.47244304,0.008239956,378,3.454%,,,,,,,377,3.445%,,,,,,,0.9704546,0.0005007218
2028-9,Asian,,344,3.141%,,,,,,,950,3.717%,,,,,,,0.006384275,0.03165243,344,3.144%,,,,,,,332,3.034%,,,,,,,0.63918704,0.0063382555
1002-5,American Indian or Alaska Native,,37,0.338%,,,,,,,122,0.477%,,,,,,,0.063618034,0.02189503,37,0.338%,,,,,,,30,0.274%,,,,,,,0.39172232,0.011579252
F01-F09,Mental disorders due to known physiological conditions,,1098,10.026%,,,,,,,1418,5.548%,,,,,,,0,0.16768461,1097,10.025%,,,,,,,627,5.73%,,,,,,,4.2125118e-32,0.15994726
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,917,8.373%,,,,,,,1610,6.299%,,,,,,,8.430648e-13,0.07960017,916,8.371%,,,,,,,759,6.936%,,,,,,,0.000065541215,0.053986665
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,874,7.98%,,,,,,,1673,6.546%,,,,,,,8.1743315e-7,0.05529997,870,7.95%,,,,,,,740,6.762%,,,,,,,0.000762488,0.045517847
F30-F39,Mood [affective] disorders,,539,4.921%,,,,,,,912,3.568%,,,,,,,1.314781e-9,0.06716055,530,4.843%,,,,,,,486,4.441%,,,,,,,0.15747818,0.019111484
F80-F89,Pervasive and specific developmental disorders,,198,1.808%,,,,,,,487,1.905%,,,,,,,0.5291893,0.0072233947,198,1.809%,,,,,,,168,1.535%,,,,,,,0.11378574,0.02138033
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,94,0.858%,,,,,,,221,0.865%,,,,,,,0.951869,0.0006898588,94,0.859%,,,,,,,82,0.749%,,,,,,,0.3637762,0.012278157
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,,,0,0%,,,,,,,,,0,0%,,,,,,,0,0%,,,,,,,,
9083,BMI,,5364,48.977%,23.196068,5.2851715,22.150948,5.489687,0.15,59.448406,11127,43.535%,22.912588,5.4708405,21.930014,5.981881,0.1,60.4,0.0016262068,0.052703187,5355,48.935%,23.194613,5.2858934,22.150948,5.4875,0.15,59.448406,5372,49.091%,23.269203,5.473515,22.08649,5.938507,0.12,60.4,0.4728418,0.013863098
9083,BMI,,5371,49.041%,,,,,,,11138,43.578%,,,,,,,7.1094927e-22,0.10973702,5362,48.999%,,,,,,,5377,49.136%,,,,,,,0.8392747,0.0027419575
