Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,112,81
10,14,12
20,12,6
30,13,7
40,8,6
50,2,1
60,7,1
70,4,2
80,10,6
90,1,6
100,7,2
110,6,6
120,4,5
130,3,3
140,8,5
150,3,2
160,3,3
170,4,6
180,4,1
190,5,2
200,7,4
210,5,2
220,6,5
230,4,4
240,8,4
250,3,3
260,5,5
270,7,4
280,3,3
290,8,5
300,8,3
310,10,5
320,1,6
330,3,1
340,6,3
350,3,1
360,9,1
370,7,11
380,6,2
390,5,3
400,5,4
410,6,3
420,4,6
430,5,6
440,13,3
450,12,3
460,12,6
470,4,1
480,3,5
490,8,4
500,4,4
510,8,3
520,10,6
530,2,6
540,14,3
550,9,5
560,6,5
570,2,4
580,5,2
590,5,4
600,9,4
610,7,4
620,3,5
630,5,1
640,7,3
650,6,6
660,9,1
670,5,6
680,3,4
690,10,5
700,6,8
710,8,4
720,13,7
730,7,7
740,12,7
750,10,5
760,12,7
770,6,5
780,8,6
790,8,5
800,11,8
810,9,4
820,5,4
830,8,6
840,15,4
850,6,5
860,17,6
870,6,5
880,17,7
890,13,3
900,15,8
910,6,4
920,13,4
930,14,3
940,11,9
950,12,5
960,9,6
970,7,9
980,11,3
990,14,8
1000,6,10
1010,11,8
1020,6,12
1030,14,4
1040,10,5
1050,3,8
1060,19,5
1070,7,5
1080,12,9
1090,6,7
1100,9,2
1110,8,4
1120,15,7
1130,7,6
1140,11,11
1150,8,2
1160,12,4
1170,10,8
1180,6,8
1190,8,3
1200,20,3
1210,12,4
1220,10,9
1230,8,4
1240,9,11
1250,9,4
1260,9,4
1270,9,9
1280,10,6
1290,4,4
1300,13,8
1310,6,6
1320,7,6
1330,8,8
1340,13,3
1350,4,3
1360,13,11
1370,8,10
1380,6,9
1390,7,5
1400,15,13
1410,11,7
1420,12,8
1430,13,5
1440,15,12
1450,13,6
1460,10,11
1470,14,11
1480,19,8
1490,12,6
1500,12,8
1510,12,8
1520,16,5
1530,10,6
1540,20,7
1550,11,8
1560,18,8
1570,16,7
1580,13,10
1590,16,5
1600,13,9
1610,15,3
1620,12,6
1630,9,8
1640,16,11
1650,11,10
1660,12,9
1670,9,3
1680,7,7
1690,15,8
1700,14,11
1710,16,6
1720,13,9
1730,12,13
1740,16,13
1750,11,7
1760,15,13
1770,25,9
1780,29,25
1790,35,22
1800,55,56
1810,46,45
1820,9032,9694
