Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,112,162
10,14,22
20,12,16
30,13,11
40,8,10
50,2,3
60,7,4
70,4,9
80,10,12
90,1,7
100,7,7
110,6,9
120,4,9
130,3,3
140,8,9
150,3,8
160,3,9
170,4,8
180,4,8
190,5,3
200,7,9
210,5,6
220,6,9
230,4,7
240,8,9
250,3,5
260,5,7
270,7,7
280,3,6
290,8,12
300,8,8
310,10,10
320,1,13
330,3,2
340,6,8
350,3,6
360,9,6
370,7,15
380,6,4
390,5,7
400,5,10
410,6,9
420,4,11
430,5,7
440,13,9
450,12,3
460,12,13
470,4,8
480,3,11
490,8,10
500,4,11
510,8,6
520,10,14
530,2,11
540,14,10
550,9,9
560,7,11
570,2,9
580,5,8
590,5,9
600,9,9
610,7,11
620,3,9
630,5,4
640,7,11
650,6,10
660,9,6
670,5,12
680,3,7
690,10,14
700,6,12
710,8,12
720,13,14
730,7,11
740,12,15
750,10,10
760,12,12
770,6,10
780,8,17
790,8,16
800,11,12
810,9,10
820,5,12
830,8,14
840,15,14
850,6,11
860,17,13
870,6,13
880,17,15
890,13,7
900,15,20
910,6,10
920,13,9
930,14,11
940,11,19
950,12,10
960,9,11
970,7,14
980,11,13
990,14,15
1000,6,19
1010,11,16
1020,6,19
1030,14,7
1040,10,16
1050,3,15
1060,19,15
1070,7,15
1080,12,19
1090,6,13
1100,9,9
1110,8,10
1120,16,10
1130,7,10
1140,11,22
1150,8,6
1160,12,16
1170,10,12
1180,6,19
1190,8,6
1200,20,14
1210,12,14
1220,10,15
1230,8,13
1240,9,19
1250,9,13
1260,9,9
1270,9,15
1280,10,10
1290,4,11
1300,13,20
1310,6,10
1320,7,14
1330,8,13
1340,13,15
1350,4,9
1360,13,20
1370,8,17
1380,6,19
1390,7,12
1400,15,21
1410,11,20
1420,12,18
1430,13,17
1440,15,28
1450,13,14
1460,10,25
1470,14,18
1480,19,11
1490,12,14
1500,12,17
1510,12,17
1520,16,14
1530,10,12
1540,20,14
1550,11,16
1560,18,18
1570,16,24
1580,13,25
1590,16,16
1600,13,20
1610,15,12
1620,12,12
1630,9,22
1640,16,21
1650,11,19
1660,12,22
1670,9,12
1680,7,12
1690,15,19
1700,14,24
1710,16,16
1720,13,20
1730,12,22
1740,16,23
1750,11,20
1760,15,25
1770,25,27
1780,29,43
1790,35,48
1800,55,127
1810,46,101
1820,9039,22828
