Outcome 3 Result 3b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,1,,,0.9998172347619481,0.999269424708685,0.9999542877102608
2,1,,,0.9996333772344088,0.9990234607749897,0.9998623848053229
3,,,,0.9995413469105973,0.998898421309179,0.9998090711436861
4,1,,,0.9992652305164234,0.9985312825445435,0.9996324772500743
5,1,,,0.9992652305164234,0.9985312825445435,0.9996324772500743
6,0.9999076809453481,0.9993448049206551,0.9999869950996509,0.9992652305164234,0.9985312825445435,0.9996324772500743
7,0.9999076809453481,0.9993448049206551,0.9999869950996509,0.9992652305164234,0.9985312825445435,0.9996324772500743
8,0.9999076809453481,0.9993448049206551,0.9999869950996509,0.9992652305164234,0.9985312825445435,0.9996324772500743
9,0.9999076809453481,0.9993448049206551,0.9999869950996509,,,
10,0.9998153021869451,0.9992617016145329,0.9999538043154867,0.9992652305164234,0.9985312825445435,0.9996324772500743
11,0.9998153021869451,0.9992617016145329,0.9999538043154867,0.9991730898773724,0.9984113508354528,0.9995696624909818
12,0.9998153021869451,0.9992617016145329,0.9999538043154867,,,
13,0.9998153021869451,0.9992617016145329,0.9999538043154867,0.9990809322413388,0.998292537923006,0.9995053877890883
14,0.9997228892742742,0.9991410489177143,0.9999106174776392,,,
15,0.9997228892742742,0.9991410489177143,0.9999106174776392,0.9990809322413388,0.998292537923006,0.9995053877890883
16,0.9997228892742742,0.9991410489177143,0.9999106174776392,0.9990809322413388,0.998292537923006,0.9995053877890883
17,0.9997228892742742,0.9991410489177143,0.9999106174776392,0.9990809322413388,0.998292537923006,0.9995053877890883
18,0.9997228892742742,0.9991410489177143,0.9999106174776392,,,
19,0.9997228892742742,0.9991410489177143,0.9999106174776392,0.9990809322413388,0.998292537923006,0.9995053877890883
21,0.9997228892742742,0.9991410489177143,0.9999106174776392,,,
22,0.9997228892742742,0.9991410489177143,0.9999106174776392,0.9990809322413388,0.998292537923006,0.9995053877890883
23,0.9997228892742742,0.9991410489177143,0.9999106174776392,,,
24,0.9997228892742742,0.9991410489177143,0.9999106174776392,0.9990809322413388,0.998292537923006,0.9995053877890883
25,0.9997228892742742,0.9991410489177143,0.9999106174776392,0.9990809322413388,0.998292537923006,0.9995053877890883
27,0.9997228892742742,0.9991410489177143,0.9999106174776392,0.9989887150609597,0.9981746555999472,0.9994398255420468
28,0.999630322340081,0.9990153302154171,0.9998612374298119,0.9988964978805779,0.998057715625046,0.9993731628357291
29,0.999630322340081,0.9990153302154171,0.9998612374298119,0.9988964978805779,0.998057715625046,0.9993731628357291
30,0.999537695364328,0.9988896581567129,0.9998075501431272,0.9988964978805779,0.998057715625046,0.9993731628357291
31,0.999537695364328,0.9988896581567129,0.9998075501431272,0.9988042466340064,0.9979415698731898,0.9993055060843951
32,0.999537695364328,0.9988896581567129,0.9998075501431272,0.9988042466340064,0.9979415698731898,0.9993055060843951
33,,,,0.9988042466340064,0.9979415698731898,0.9993055060843951
35,0.999537695364328,0.9988896581567129,0.9998075501431272,,,
36,0.999537695364328,0.9988896581567129,0.9998075501431272,,,
38,0.999537695364328,0.9988896581567129,0.9998075501431272,0.9988042466340064,0.9979415698731898,0.9993055060843951
39,0.9994449910705647,0.9987650360841656,0.9997506184611248,0.9988042466340064,0.9979415698731898,0.9993055060843951
40,0.9992595824830366,0.9985200002962122,0.999629650817135,,,
42,,,,0.9988042466340064,0.9979415698731898,0.9993055060843951
44,,,,0.9988042466340064,0.9979415698731898,0.9993055060843951
46,0.9992595824830366,0.9985200002962122,0.999629650817135,0.9987119271731841,0.9978260866004942,0.9992369375830855
