Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
43 patients in Cohort 1 and 268 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.56,36,25,27,25
0.58,128,214,128,130
0.6,155,275,155,155
0.62,1299,2249,1299,1299
0.64,1832,3547,1832,1832
0.66,1855,4057,1855,1855
0.68,1625,3471,1625,1625
0.7,1164,2705,1164,1164
0.72,1123,2586,1123,1123
0.74,629,1618,629,629
0.76,484,1568,484,484
0.78,282,1072,282,282
0.8,151,798,151,151
0.82,106,638,106,106
0.84,71,626,71,71
0.86,12,108,12,12
0.88,,2,,
