Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,29,50
1801.0,30,50
1802.0,29,35
1803.0,35,55
1804.0,46,36
1805.0,46,33
1806.0,42,53
1807.0,32,44
1808.0,38,40
1809.0,27,43
1810.0,41,44
1811.0,34,50
1812.0,35,44
1813.0,38,48
1814.0,44,50
1815.0,49,43
1816.0,32,38
1817.0,34,42
1818.0,38,40
1819.0,49,50
1820.0,38,53
1821.0,37,41
1822.0,40,43
1823.0,31,36
1824.0,34,39
1825.0,79713,156893
