Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
326 patients in Cohort 1 and 2899 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,22547,100%,11.876702,4.1078625,13,5,0,17,88001,100%,10.883695,4.783863,12,7,0,17,0,0.2227127,22547,100%,11.876702,4.1078625,13,5,0,17,22547,100%,11.877012,4.109442,13,5,0,17,0.99359864,0.00007556312
Age,Current Age,,22547,100%,22.107376,4.92508,23,6,5,37,88001,100%,21.540165,5.747664,22,8,5,37,4.661e-42,0.105977274,22547,100%,22.107376,4.92508,23,6,5,37,22547,100%,22.43988,5.1964054,23,7,5,37,3.1314248e-12,0.0656793
2186-5,Not Hispanic or Latino,,16711,74.116%,,,,,,,61845,70.278%,,,,,,,8.259792e-30,0.0857581,16711,74.116%,,,,,,,16711,74.116%,,,,,,,1,0
2106-3,White,,15405,68.324%,,,,,,,57493,65.332%,,,,,,,2.7297825e-17,0.06357369,15405,68.324%,,,,,,,15413,68.359%,,,,,,,0.93544805,0.00076280674
M,Male,,12874,57.099%,,,,,,,49917,56.723%,,,,,,,0.31011355,0.0075785187,12874,57.099%,,,,,,,12879,57.121%,,,,,,,0.9620552,0.0004480708
F,Female,,9659,42.839%,,,,,,,38030,43.215%,,,,,,,0.30909103,0.0075945794,9659,42.839%,,,,,,,9652,42.808%,,,,,,,0.94688624,0.00062742084
UN,Unknown Ethnicity,,3775,16.743%,,,,,,,16420,18.659%,,,,,,,3.0676708e-11,0.050217453,3775,16.743%,,,,,,,3777,16.752%,,,,,,,0.97987694,0.00023755836
2054-5,Black or African American,,3273,14.516%,,,,,,,14048,15.963%,,,,,,,9.636405e-8,0.040271997,3273,14.516%,,,,,,,3281,14.552%,,,,,,,0.9148756,0.0010067252
2135-2,Hispanic or Latino,,2061,9.141%,,,,,,,9736,11.064%,,,,,,,7.272509e-17,0.06383053,2061,9.141%,,,,,,,2059,9.132%,,,,,,,0.9739235,0.0003078628
UNK,Unknown Race,,1794,7.957%,,,,,,,7631,8.671%,,,,,,,0.0006057616,0.025891049,1794,7.957%,,,,,,,1802,7.992%,,,,,,,0.8893967,0.0013097748
2028-9,Asian,,870,3.859%,,,,,,,3405,3.869%,,,,,,,0.940912,0.0005534958,870,3.859%,,,,,,,863,3.828%,,,,,,,0.8638479,0.001615025
2131-1,Other Race,,821,3.641%,,,,,,,3843,4.367%,,,,,,,0.0000013212302,0.037021887,821,3.641%,,,,,,,824,3.655%,,,,,,,0.9399329,0.0007097059
1002-5,American Indian or Alaska Native,,117,0.519%,,,,,,,421,0.478%,,,,,,,0.43544412,0.005751392,117,0.519%,,,,,,,108,0.479%,,,,,,,0.5475053,0.005665129
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,1232,5.464%,,,,,,,3658,4.157%,,,,,,,1.6180819e-17,0.061124273,1232,5.464%,,,,,,,1103,4.892%,,,,,,,0.0061155097,0.025822524
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,990,4.391%,,,,,,,2577,2.928%,,,,,,,1.4398329e-28,0.07794533,990,4.391%,,,,,,,765,3.393%,,,,,,,4.2887844e-8,0.051615376
F01-F09,Mental disorders due to known physiological conditions,,801,3.553%,,,,,,,1447,1.644%,,,,,,,0,0.12016701,801,3.553%,,,,,,,441,1.956%,,,,,,,3.8201292e-25,0.097677454
F30-F39,Mood [affective] disorders,,565,2.506%,,,,,,,1671,1.899%,,,,,,,7.604134e-9,0.041371193,565,2.506%,,,,,,,507,2.249%,,,,,,,0.07298955,0.01688656
F80-F89,Pervasive and specific developmental disorders,,340,1.508%,,,,,,,1280,1.455%,,,,,,,0.55136466,0.004423147,340,1.508%,,,,,,,305,1.353%,,,,,,,0.16511066,0.013073638
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,144,0.639%,,,,,,,609,0.692%,,,,,,,0.38466537,0.0065650386,144,0.639%,,,,,,,171,0.758%,,,,,,,0.12685578,0.014378465
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,,,0,0%,,,,,,,,,0,0%,,,,,,,0,0%,,,,,,,,
9083,BMI,,8405,37.278%,22.558338,5.30581,21.62853,5.91,0.12,59.359467,25024,28.436%,22.365795,5.645715,21.379097,6.256955,0.11,66.87934,0.0060401773,0.0351457,8405,37.278%,22.558338,5.30581,21.62853,5.91,0.12,59.359467,8401,37.26%,22.661983,5.640972,21.62092,6,0.11,65.62,0.21988839,0.018927509
9083,BMI,,8411,37.304%,,,,,,,25053,28.469%,,,,,,,0,0.18890165,8411,37.304%,,,,,,,8408,37.291%,,,,,,,0.9766945,0.00027513754
