Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,0,10
1801.0,0,7
1802.0,4,6
1803.0,3,5
1804.0,5,15
1805.0,7,11
1806.0,2,11
1807.0,7,6
1808.0,8,10
1809.0,6,8
1810.0,9,15
1811.0,6,7
1812.0,5,4
1813.0,14,13
1814.0,7,8
1815.0,8,15
1816.0,10,7
1817.0,8,6
1818.0,9,7
1819.0,10,13
1820.0,11,8
1821.0,8,14
1822.0,13,13
1823.0,6,10
1824.0,10,7
1825.0,22371,22311
