Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,0,34
1801.0,0,30
1802.0,4,30
1803.0,3,39
1804.0,5,50
1805.0,7,48
1806.0,2,44
1807.0,7,33
1808.0,8,40
1809.0,6,29
1810.0,9,42
1811.0,6,37
1812.0,5,40
1813.0,14,42
1814.0,7,44
1815.0,8,54
1816.0,10,34
1817.0,8,35
1818.0,9,42
1819.0,10,53
1820.0,11,44
1821.0,8,37
1822.0,13,41
1823.0,6,34
1824.0,10,35
1825.0,22371,87010
