Outcome 5 Result 5b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.998314631658314,0.997684520625598,0.9987733760855227,0.9991573158291557,0.9986791912070101,0.9994624088731987
2,0.9965849115181609,0.9957320469423055,0.9972675821404111,0.998314631658314,0.997684520625598,0.9987733760855227
3,0.9956978755488527,0.9947530916095612,0.9964728387690243,0.9974719474874701,0.9967238206245695,0.998049404177821
4,0.9948551913780089,0.993831521562823,0.9957093482385435,0.9971614848982115,0.9963748984960926,0.9977775855725612
5,0.9941012108040967,0.9930123074417749,0.9950208542210882,0.9965849115181609,0.9957320469423055,0.9972675821404111
6,0.9928150086486008,0.9916238824186594,0.9938372773861612,0.9960526899365766,0.995143422631967,0.9967919951356798
7,0.9909078813145868,0.989581017478435,0.992066446172376,0.9952987093626634,0.9943156764684116,0.9961120714482219
8,0.9898434381514173,0.9884471278221545,0.9910717497238749,0.9949438949749405,0.9939282075310578,0.9957900385174915
9,0.9889564021821079,0.9875050282252803,0.9902400234794954,0.9944116733933558,0.9933490907822455,0.9953048938465582
10,0.988512884197454,0.9870348327793506,0.9898233049038543,0.9941012108040967,0.9930123074417749,0.9950208542210882
11,0.987980662615869,0.9864712906388399,0.9893225494010388,0.9937463964163734,0.9926282537372682,0.9946953931905078
12,0.9874484410342839,0.9859084577795711,0.9888210838334016,0.993258526633254,0.9921015161886265,0.9942465439751277
13,0.9865614050649741,0.9849718619645857,0.9879838474512167,0.9929037122455315,0.9917193218648654,0.993919218233285
14,0.9850534439171506,0.9833834065335882,0.9865567847303714,0.9924601942608765,0.9912425378079586,0.9935090998334404
15,0.9844325187386336,0.9827305745103897,0.9859679318042489,0.9917949172838948,0.9905291746137282,0.9928921052801774
16,0.9838115935601185,0.9820784021018006,0.9853784187790751,0.9915731582915673,0.9902918313031315,0.9926859950965882
17,0.9834567791723954,0.98170601397427,0.98504127217701,0.9912183439038453,0.9899125109895571,0.9923557890059006
18,0.9830576129862059,0.9812873123935945,0.9846617470306791,0.9907748259191899,0.9894390613722077,0.9919423293661827
19,0.9825697432030869,0.9807758919936218,0.984197556778382,0.9905974187253295,0.9892498881388033,0.9917767385479374
20,0.9821262252184322,0.9803112639543554,0.9837752658594112,0.9901539007406753,0.9887774433404151,0.9913622724398922
21,0.9811948374506579,0.9793364274901849,0.9828875720008229,0.9899321417483468,0.9885414715126317,0.9911547884330958
22,0.9807069676675392,0.9788262528852281,0.9824221352359687,0.9895773273606233,0.9881642469129578,0.9908224832207023
23,0.9802190978844184,0.9783163753790594,0.9819564012187137,0.9892225129729012,0.9877874111720967,0.9904897886137867
24,0.9796425245043681,0.9777141613474295,0.9814056196313291,0.9890451057790393,0.9875991332082714,0.9903233012192156
25,0.9794651173105061,0.9775289426270076,0.9812360704317791,0.9887789949882468,0.9873168849227029,0.9900734012530968
26,0.9790659511243175,0.9771123308964554,0.9808544542821086,0.988601587794385,0.9871288287861428,0.9899066917536435
27,0.9784450259458023,0.9764646171627237,0.9802604800459832,0.9882467734066618,0.986752970115051,0.9895730188511649
28,0.9776466935734235,0.975632441230949,0.9794961997612329,0.9878476072204724,0.986330517725043,0.9891972477775032
29,0.9773805827826306,0.9753551934379829,0.9792412954232749,0.9875371446312146,0.9860022159213772,0.9889047088128544
30,0.9769370647979774,0.974893268807526,0.9788162997748255,0.9873153856388864,0.9857678551439328,0.9886956117515623
31,0.9766266022087191,0.9745700343868173,0.9785186899572735,0.9870936266465604,0.9855336080515841,0.9884864008898583
32,0.9762274360225303,0.9741545805331749,0.9781359154552488,0.9869605712511641,0.9853931131677168,0.9883608209484179
33,0.9761387324255999,0.9740622774795985,0.9780508344225258,0.9868275158557668,0.985252657578306,0.9882352016743514
34,0.9752960482547565,0.9731857519792217,0.9772422109790484,0.986517053266509,0.9849250774325581,0.9879419403299976
35,0.9744977158823779,0.9723559295871128,0.9764755762853673,0.9860735352818547,0.9844574574422712,0.987522643583296
36,0.9739654943007927,0.9718030101089067,0.9759641909456718,0.9858961280879937,0.9842705214685395,0.9873548127631052
37,0.9737880871069312,0.9716187546554733,0.9757936781108232,0.985718720894132,0.9840836477306419,0.9871869196536537
38,0.9735663281146041,0.9713884706071697,0.9755805017882057,0.9854969619018052,0.9838501413523808,0.9869769674006386
39,0.9733002173238124,0.9711121808465176,0.9753246390886888,0.9852752029094781,0.9836167283069621,0.9867669217381194
40,0.973078458331484,0.9708819814120925,0.9751113781274547,0.9851421475140814,0.9834767244189914,0.9866408503659846
41,0.9727679957422263,0.9705597654794014,0.9748127494882419,0.9846542777309616,0.9829636510563148,0.9861783142275353
42,0.9722801259591074,0.9700535726155396,0.9743433294127799,0.9842994633432377,0.9825907690624781,0.9858416618408464
43,0.9717922561759876,0.9695475547500098,0.9738737342919294,0.9841220561493762,0.9824044082426854,0.9856732554119916
44,0.9714817935867287,0.9692256324828197,0.9735748119081946,0.9839890007539792,0.9822646719847561,0.9855469162089766
45,0.9711713309974717,0.9689037782141054,0.9732758215087292,0.9839002971570495,0.982171530640054,0.9854626739017023
46,0.9709495720051438,0.9686739233507056,0.9730622158846466,0.9837672417616526,0.9820318426028545,0.9853362864442892
47,0.9705060540204905,0.968214314572809,0.9726349036630538,0.9834567791723954,0.98170601397427,0.98504127217701
48,0.9701512396327661,0.9678467228436789,0.9722929585699913,0.9833237237769985,0.9815664195235232,0.9849147910699119
49,0.9698407770435084,0.9675251483185178,0.9719936883599793,0.9829245575908101,0.9811477990854952,0.9845351847283198
50,0.969574666252716,0.9672495629461799,0.9717371210908929,0.9826584468000179,0.9808688514560779,0.9842819810871071
51,0.9692198518649925,0.9668821864273247,0.9713949607389145,0.9825253914046213,0.9807294165414406,0.9841553403423535
52,0.9689093892757342,0.9665607972359506,0.9710955051542154,0.9824810396061556,0.9806829439277901,0.984113121066067
53,0.9688650374772688,0.9665148894117146,0.97105272086654,0.9823036324122945,0.9804970816486392,0.983944215768465
54,0.9683771676941494,0.9660099834298461,0.9705820136007227,0.9819488180245709,0.9801254901970026,0.9836062719876573
55,0.9681554087018219,0.9657805286883573,0.970368007765279,0.9818601144276388,0.9800326195965203,0.9835217587641638
56,0.9677118907171685,0.9653217075984021,0.9699399076838096,0.9816827072337776,0.9798469105640338,0.9833527001303394
57,0.9675344835233055,0.9651382117464791,0.9697686350608167,0.9813722446445202,0.9795220213874429,0.983056745833856
58,0.967179669135583,0.9647712750941007,0.9694260347529045,0.9813278928460553,0.9794756190588257,0.9830144562319996
59,0.9670466137401871,0.9646336925882452,0.9692975408951462,0.9812391892491232,0.979382822119114,0.9829298693065536
60,,,,0.9809730784583316,0.9791044924027392,0.9826760473945505
61,0.9668692065463251,0.9644502649920688,0.9691262000036054,0.9807069676675392,0.9788262528852281,0.9824221352359687
62,0.966691799352463,0.9642668552626009,0.9689548412421068,0.9805739122721421,0.9786871663805335,0.982295145885362
63,0.9664700403601364,0.9640376180166623,0.9687406178698728,0.9804852086752113,0.978594454209175,0.9822104741469647
64,0.9660265223754826,0.963579225577866,0.9683120890579134,0.9803965050782806,0.978501751694329,0.9821257927471595
65,0.965804763383154,0.9633500698689662,0.9680977841344729,0.9801747460859525,0.9782700372364913,0.9819140473973991
66,0.9655386525923623,0.9630751182006639,0.9678405830380663,0.9799529870936267,0.9780383817540609,0.981702243043117
67,0.96527254180157,0.9628002045097072,0.9675833439580579,0.9798199316982307,0.9778994163751897,0.981575132506402
68,0.9650507828092422,0.9625711384749054,0.9673689493457471,0.979686876302834,0.9777604716824354,0.9814480012736575
69,0.964829023816916,0.962342098283372,0.9671545288860686,0.9794651173105061,0.9775289426270076,0.9812360704317791
70,0.9644742094291919,0.9619756871462624,0.9668114029729632,0.9793320619151099,0.9773900521372968,0.9811088849705436
71,0.9640750432430034,0.9615635518079406,0.9664253091180819,0.9792433583181789,0.9772974695863609,0.9810240835490645
72,0.9637202288552794,0.9611972768832037,0.9660820469722233,0.9789772475273876,0.9770197746482776,0.9807696265459485
73,0.9634984698629526,0.960968386945643,0.9658674762360784,0.9787111367365949,0.9767421576475228,0.9805150915706734
74,0.963276710870625,0.9607395212816927,0.965652881222904,0.9786224331396641,0.976649635719739,0.9804302294989465
75,0.9631880072736948,0.9606479817653851,0.9655670364674264,0.9784450259458023,0.9764646171627237,0.9802604800459832
76,0.962966248281367,0.960419149730944,0.9653524078201065,0.9784006741473368,0.976418367756937,0.9802180374470274
77,0.9625670820951777,0.9600073118395606,0.9649660164762931,0.9782232669534748,0.9762333908797035,0.9800482462964764
78,0.9623896749013169,0.959824297191359,0.9647942625723108,0.9780902115580787,0.976094679832219,0.979920881314027
79,0.9616800461258694,0.9590923863996607,0.9641070991365003,0.9780015079611475,0.9760022159998564,0.9798359611221851
80,0.9615026389320089,0.9589094451586065,0.9639352718161851,0.9778684525657516,0.9758635354302256,0.9797085656492488
81,0.9613252317381463,0.9587265183068848,0.9637634301048116,0.9777353971703555,0.975724872933222,0.9795811520962988
82,0.9611034727458196,0.9584978798329441,0.9635486078725211,0.9774249345810974,0.9754013965080616,0.9792837843769605
83,0.960970417350423,0.9583607073933914,0.9634197038870994,0.9771588237903049,0.9751242071528432,0.9790288215782298
84,0.9606599547611653,0.9580406691624967,0.9631188971228859,0.9769814165964422,0.9749394526738832,0.9788588079396663
85,0.9604825475673032,0.9578578093838493,0.9629469883307524,0.9767153058056499,0.9746623777301849,0.978603730685484
86,0.9602164367765109,0.9575835456731223,0.9626890991824723,0.9765822504102529,0.9745238654988686,0.9784761668083979
87,0.9601277331795791,0.9574921313137831,0.9626031292547336,0.9764491950148576,0.9743853699085412,0.9783485862841734
88,0.9599059741872524,0.9572636103562278,0.9623881894930194,0.9763161396194606,0.974246890822117,0.9782209892500026
89,0.9597729187918564,0.9571265079726063,0.9622592154440155,0.9760943806271334,0.9740161286537999,0.9780082912042057
90,0.9595955115979955,0.9569437166086848,0.9620872382298904,0.9759613252317377,0.9738776929220113,0.9778806507998269
91,0.9592850490087372,0.9566238639729583,0.9617862458507819,0.975916973433273,0.9738315512438688,0.977838100431321
92,0.9590189382179446,0.9563497369520549,0.9615282199986382,0.9757395662394105,0.9736470022328959,0.9776678812494932
93,0.958885882822548,0.9562126845576248,0.961399195955474,0.9756508626424801,0.9735547382822799,0.9775827611000425
94,0.958531068434824,0.9558472474194547,0.9610550959233485,0.9754734554486182,0.9733702313042958,0.9774124998706997
95,0.9583093094424968,0.9556188755185014,0.9608400070904491,0.9750742892624291,0.972955191269793,0.9770293114046894
96,0.9581762540471003,0.9554818620135225,0.9607109441542507,0.9748525302701011,0.9727246727631106,0.9768163696136605
97,0.9579988468532401,0.9552991885135126,0.9605388490650419,0.9745864194793088,0.9724481055012083,0.9765607845005018
98,0.9577770878609128,0.9550708644871357,0.9603237123533436,0.9744090122854474,0.9722637602039735,0.9763903615372135
99,0.9575553288685853,0.9548425601535597,0.9601085559471723,0.9740985496961901,0.971941218320975,0.9760920589447714
100,0.9572892180777919,0.9545686207407554,0.9598503424701417,0.9739654943007927,0.9718030101089067,0.9759641909456718
101,0.9572005144808622,0.9544773138143657,0.9597642650994181,0.9738324389053963,0.9716648161560035,0.9758363086830755
102,0.9568900518916037,0.954157763847879,0.9594629700240734,0.9736550317115357,0.971480579550969,0.9756657769941667
103,0.9567126446977421,0.9539751807135267,0.9592907845617846,0.9734332727192081,0.9712503188042614,0.9754525773630525
104,0.9565352375038803,0.9537926097414479,0.9591185869362991,,,
105,0.9561804231161565,0.9534275040011528,0.9587741554787893,0.9729454029360892,0.9707438798877349,0.9749834034092444
106,0.955869960526898,0.9531080757141448,0.9584727387149077,0.9727679957422263,0.9705597654794014,0.9748127494882419
107,0.9556038497361058,0.9528343088933434,0.9582143526329545,0.9725018849514334,0.9702836383164236,0.9745567241448664
108,0.9554707943407101,0.9526974353947198,0.9580851496795358,0.9723688295560371,0.9701455945338161,0.9744286916688717
109,0.9553377389453132,0.9525605684663574,0.9579559401554212,0.9723244777575727,0.9700995828499261,0.9743860112657738
110,0.9551603317514517,0.9523780894007033,0.9577836506171177,0.9721470705637114,0.9699155505757655,0.9742152751880886
111,0.9550716281545218,0.9522868542089022,0.9576975015066661,0.9721027187652459,0.9698695461058222,0.9741725875691087
112,0.954805517363729,0.9520131658999761,0.9574390369077544,0.971880959772918,0.9696395451819632,0.9739591280426896
113,0.9546281101698668,0.9518307213355328,0.9572667128661027,,,
114,0.9544063511775399,0.9516026816145536,0.9570512918285212,0.9716592007805904,0.9694095796684835,0.9737456330966425
115,0.9543176475806091,0.9515114706738222,0.9569651184655423,0.9715261453851952,0.9692716171898552,0.9736175192952222
116,0.9541402403867468,0.9513290572310509,0.9567927633004151,0.9713487381913328,0.9690876866752658,0.9734466814314608
117,0.9540958885882809,0.9512834556227572,0.9567496727566357,0.9711713309974717,0.9689037782141054,0.9732758215087292
118,0.9538741295959551,0.9510554580475125,0.9565342095709515,0.9709495720051438,0.9686739233507056,0.9730622158846466
119,0.9536080188051613,0.9507818838569194,0.9562756308472047,0.9705947576174213,0.9683062256630556,0.9727203767752612
120,0.95334190801437,0.9505083344551988,0.9560170273333173,0.9705060540204905,0.968214314572809,0.9726349036630538
121,0.9530757972235763,0.9502348096411478,0.9557583992305416,0.9704173504235595,0.9681224087686494,0.9725494252635083
122,0.9527653346343191,0.9499157281696771,0.9554566356309288,0.9703729986250932,0.9680764578416615,0.9725066840881772
123,0.952632279238922,0.9497789890527937,0.9553272982883148,0.970239943229697,0.9679386129268157,0.972378452694232
124,0.9524992238435256,0.949642255952068,0.955197954929279,0.9701955914312319,0.967892667234452,0.9723357062830583
125,0.9524105202465951,0.9495511038820492,0.9551117226926469,0.9699294806404403,0.9676170203158793,0.9720792005741358
126,0.952144409455803,0.9492776635806772,0.9548530100733955,0.9695303144542512,0.9672036364878033,0.9716943554413796
127,0.9520113540604059,0.9491409523353564,0.9547236448580382,0.9693972590588547,0.9670658646655308,0.9715660509383155
128,0.95187829866501,0.9490042469957314,0.9545942737367532,0.9692642036634584,0.9669281041170837,0.9714377351589637
129,0.9516121878742179,0.9487308539408763,0.954335513869112,0.9691755000665272,0.9668362699797559,0.9713521850764086
130,0.9514347806803566,0.9485486048857088,0.9541629943088019,0.9690867964695964,0.9667444408008378,0.971266630034379
131,0.9512130216880291,0.9483208080761242,0.9539473303485237,0.9689537410741996,0.9666067062844416,0.9711382882173776
132,0.9510356144941676,0.9481385821709994,0.9537747876373661,0.968776333880338,0.9664230774259124,0.9709671486277501
133,0.9509025590987712,0.9480019194406415,0.9536453739052917,0.9686432784849425,0.9662853685662625,0.9708387811486103
134,0.9507695037033751,0.9478652624272914,0.9535159544560283,0.9684215194926146,0.9660558779520492,0.9706248111931832
135,0.9505033929125823,0.9475919654640121,0.953257098493558,0.9682884640972191,0.965918197966586,0.9704964148339298
136,,,,0.9680667051048909,0.9656887550860187,0.9702823971351824
137,,,,0.9678449461125646,0.9654593416494828,0.970068349986564
138,0.9504590411141169,0.9475464181726626,0.953213953630551,0.9677118907171685,0.9653217075984021,0.9699399076838096
139,0.9501929303233241,0.947273147567117,0.9529550713095857,0.9675788353217715,0.9651840839788998,0.9698114549474575
140,0.9499711713309967,0.9470454391860553,0.9527393189180927,0.9673570763294439,0.9649547342932062,0.9695973440356636
141,0.9498381159356006,0.9469088215856292,0.9526098600547966,0.9672240209340482,0.9648171381903773,0.9694688637774127
142,0.9497050605402044,0.9467722095307387,0.952480395645829,0.9670022619417206,0.9645878340066126,0.9692547073551556
143,0.9493502461524814,0.9464079376714277,0.952135130267563,0.9667805029493943,0.9643585579026274,0.969040522847966
144,0.9492171907570852,0.9462713457732135,0.952005645701468,0.9664700403601364,0.9640376180166623,0.9687406178698728
145,0.949084135361689,0.9461347593246056,0.9518761556856559,0.9663369849647401,0.9639000888559546,0.9686120706573428
146,0.9490397835632226,0.9460892317159338,0.9518329911394952,0.9660265223754826,0.963579225577866,0.9683120890579134
147,0.9485962655785684,0.9456339886460651,0.9514013126604581,0.9659378187785503,0.9634875600778943,0.9682263703054926
148,0.9484188583847063,0.9454519081238921,0.9512286245627879,0.9657604115846896,0.9633042419355605,0.9680549199408717
149,0.948285802989311,0.9453153539536591,0.9510991022680471,0.9655830043908268,0.9631209408299543,0.9678834525366657
150,0.948019692198518,0.9450422615270162,0.9508400417645171,0.9654499489954314,0.9629834761048486,0.9677548408775785
151,0.947886636803122,0.9449057232321441,0.9507105035942032,0.96527254180157,0.9628002045097072,0.9675833439580579
152,0.9475761742138635,0.9445871542751192,0.9504082274655642,0.9652281900031041,0.9627543892238912,0.9675404671147841
153,0.9473987670200023,0.9444051276208627,0.9502354854993175,0.9650507828092422,0.9625711384749054,0.9673689493457471
154,0.9471770080276747,0.9441776072596588,0.9500195450847828,0.9647846720184499,0.962296293325531,0.9671116417131823
155,0.9469996008338141,0.9439956012826624,0.9498467824411184,0.9647403202199847,0.9622504893901581,0.967068753517671
156,0.946777841841487,0.9437681066302511,0.9496308163176274,0.9645629130261218,0.962067283836326,0.9668971905463875
157,0.9466004346476244,0.9435861211110473,0.9494580332160614,0.9644298576307263,0.9619298903165461,0.9667685076707039
158,0.9465560828491587,0.9435406261427398,0.9494148360291712,0.964385505832261,0.961884094494619,0.9667256113605034
159,0.9464673792522277,0.9434496378952824,0.9493284399662291,0.9642968022353293,0.9617925058668992,0.9666398157235112
160,0.946201268461436,0.943176686618815,0.9490692383114724,0.9641637468399344,0.9616551304386882,0.9665111147535351
161,0.9458908058721784,0.9428582688436329,0.948766811000207,0.9639863396460716,0.9614719771510758,0.9663394995081591
162,0.9457133986783159,0.9426763280206839,0.948593983202337,0.9638976360491407,0.9613804064539943,0.9662536859378754
163,0.9455803432829197,0.9425398781907786,0.9484643565666422,0.9638089324522096,0.9612888397026799,0.9661678684212511
164,0.945358584290592,0.942312472780368,0.9482483012010862,0.9637202288552794,0.9611972768832037,0.9660820469722233
165,0.9452255288951967,0.9421760360901223,0.9481186614257824,0.9634984698629526,0.960968386945643,0.9658674762360784
166,0.9451368252982647,0.9420850810178807,0.9480322321876682,0.9633654144675555,0.9608310646480052,0.9657387221278447
167,0.9448263627090079,0.9417667553309357,0.9477297127884848,0.9632323590721598,0.9606937510431247,0.9656099593256453
168,0.9445602519182146,0.9414939257516535,0.9474703894369558,0.9631880072736948,0.9606479817653851,0.9655670364674264
169,0.9442054375304921,0.9411301829089659,0.9471245950388496,0.963010600079832,0.9604649142294449,0.965395335458216
170,0.9440723821350951,0.9409937881054654,0.9469949133771468,0.9627888410875057,0.9602361012296093,0.9651806877737202
171,0.9439836785381642,0.9409028608789015,0.9469084562936081,0.9626557856921089,0.9600988247753396,0.9650518878158759
172,0.9438506231427684,0.9407664739909237,0.946778766716484,0.9626114338936447,0.9600530678384821,0.9650089526151168
173,0.943761919545837,0.9406755520266743,0.9466923043706993,0.9624783784982469,0.9599158026491454,0.9648801413908576
174,0.94354016055351,0.9404482562791208,0.9464761393433022,0.9622122677074543,0.9596412974230958,0.96462249378647
175,0.9432740497627167,0.9401755185782609,0.9462167241144867,0.9620792123120587,0.9595040573014147,0.9644936574913424
176,0.9430079389719256,0.9399027995199709,0.9459572902434231,0.9618574533197322,0.9592753421259225,0.9642789119698528
177,0.9428748835765277,0.9397664469434696,0.9458275663553706,0.9617687497228007,0.9591838624461058,0.9641930073700844
178,0.9428305317780636,0.939720997110904,0.9457843240331083,0.9616356943274053,0.9590466497351737,0.9640641436608102
179,0.9426531245842016,0.9395392028970474,0.9456113496277441,0.961591342528939,0.9590009139745003,0.9640211872811931
180,0.9425644209872703,0.93944830885217,0.9455248593630734,0.9615026389320089,0.9589094451586065,0.9639352718161851
181,0.9422539583980128,0.9391301956953692,0.9452221274368062,0.9611478245442854,0.9585436057497175,0.9635915740972019
182,0.942032199405685,0.9389029871735142,0.9450058751853855,0.9609260655519568,0.95831498501231,0.963376734126319
183,0.9418991440102892,0.9387666680923936,0.9448761178026883,0.9608817137534925,0.9582692635115496,0.9633337634851211
184,0.9418104404133577,0.9386757912093152,0.9447896103766156,0.9607486583580964,0.9581321042768651,0.9632048462933281
185,0.9416330332194971,0.9384940434342698,0.9446165895335178,0.9606156029626998,0.9579949529136867,0.963075921229145
186,0.9414999778240997,0.938357737828414,0.9444868186759011,0.9605268993657691,0.9579035230257671,0.9629899668316743
