Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
326 patients in Cohort 1 and 2899 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.68,40,124,40,40
0.7,1509,4411,1509,1509
0.72,2599,6945,2599,2599
0.74,2262,6628,2262,2261
0.76,2804,9756,2804,2805
0.78,4397,16016,4397,4397
0.8,3878,15276,3878,3878
0.82,2646,12204,2646,2646
0.84,1601,10061,1601,1601
0.86,727,5647,727,727
0.88,84,926,84,84
0.9,,7,,
