Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
63 patients in Cohort 1 and 326 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,8913,100%,12.632111,3.3905146,13,4,0,17,23005,100%,11.914323,4.0947742,13,5,0,17,0,0.1909429,8911,100%,12.6340475,3.3884273,13,4,0,17,8911,100%,12.6305685,3.3991454,13,4,0,17,0.9454501,0.0010250622
Age,Current Age,,8913,100%,22.66779,4.2560725,23,5,6,36,23005,100%,22.103325,4.8968644,23,6,5,37,1.1256856e-21,0.1230392,8911,100%,22.669397,4.2551355,23,5,6,36,8911,100%,22.805073,4.4290442,23,6,6,37,0.03705903,0.031240214
2186-5,Not Hispanic or Latino,,6693,75.093%,,,,,,,17132,74.471%,,,,,,,0.25197887,0.014318649,6692,75.098%,,,,,,,6700,75.188%,,,,,,,0.88972074,0.0020772829
2106-3,White,,6332,71.042%,,,,,,,15792,68.646%,,,,,,,0.00003118175,0.05223332,6332,71.058%,,,,,,,6342,71.17%,,,,,,,0.86872905,0.0024760203
M,Male,,4942,55.447%,,,,,,,13108,56.979%,,,,,,,0.013254163,0.030879334,4940,55.437%,,,,,,,4939,55.426%,,,,,,,0.9879759,0.0002257778
F,Female,,3966,44.497%,,,,,,,9883,42.96%,,,,,,,0.012956725,0.030979877,3966,44.507%,,,,,,,3968,44.529%,,,,,,,0.97595185,0.00045160597
UN,Unknown Ethnicity,,1469,16.482%,,,,,,,3806,16.544%,,,,,,,0.89239717,0.0016882916,1469,16.485%,,,,,,,1467,16.463%,,,,,,,0.96778464,0.0006050524
2054-5,Black or African American,,1190,13.351%,,,,,,,3326,14.458%,,,,,,,0.010943618,0.031982776,1190,13.354%,,,,,,,1195,13.41%,,,,,,,0.91240335,0.0016480656
2135-2,Hispanic or Latino,,751,8.426%,,,,,,,2067,8.985%,,,,,,,0.114221096,0.019833503,750,8.417%,,,,,,,744,8.349%,,,,,,,0.87116694,0.002429628
UNK,Unknown Race,,647,7.259%,,,,,,,1805,7.846%,,,,,,,0.07725108,0.022218483,647,7.261%,,,,,,,648,7.272%,,,,,,,0.9769789,0.0004323128
2028-9,Asian,,296,3.321%,,,,,,,874,3.799%,,,,,,,0.04139579,0.025809,296,3.322%,,,,,,,287,3.221%,,,,,,,0.70469356,0.0056778505
2131-1,Other Race,,295,3.31%,,,,,,,823,3.577%,,,,,,,0.2431671,0.014681797,295,3.311%,,,,,,,300,3.367%,,,,,,,0.8348465,0.0031234692
1002-5,American Indian or Alaska Native,,31,0.348%,,,,,,,117,0.509%,,,,,,,0.057849776,0.024624733,29,0.325%,,,,,,,27,0.303%,,,,,,,0.788944,0.0040102554
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,515,5.778%,,,,,,,1239,5.386%,,,,,,,0.16767353,0.017088529,515,5.779%,,,,,,,485,5.443%,,,,,,,0.32882965,0.014629317
F01-F09,Mental disorders due to known physiological conditions,,439,4.925%,,,,,,,806,3.504%,,,,,,,3.957358e-9,0.07080914,439,4.926%,,,,,,,324,3.636%,,,,,,,0.000020870653,0.063783675
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,419,4.701%,,,,,,,1000,4.347%,,,,,,,0.16849238,0.017039523,419,4.702%,,,,,,,430,4.825%,,,,,,,0.6988705,0.005795506
F30-F39,Mood [affective] disorders,,219,2.457%,,,,,,,572,2.486%,,,,,,,0.87980235,0.0018891096,219,2.458%,,,,,,,233,2.615%,,,,,,,0.50476104,0.009992964
F80-F89,Pervasive and specific developmental disorders,,109,1.223%,,,,,,,343,1.491%,,,,,,,0.0690202,0.023169924,109,1.223%,,,,,,,123,1.38%,,,,,,,0.35486883,0.013860904
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,34,0.381%,,,,,,,148,0.643%,,,,,,,0.0053111003,0.036683787,34,0.382%,,,,,,,65,0.729%,,,,,,,0.0017822442,0.046819247
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,,,0,0%,,,,,,,,,0,0%,,,,,,,0,0%,,,,,,,,
9083,BMI,,3403,38.18%,22.798555,5.0440726,21.910162,5.497059,0.15,52.833164,8696,37.8%,22.605803,5.3064356,21.666878,5.897138,0.12,59.359467,0.068584144,0.037233114,3403,38.189%,22.798555,5.0440726,21.910162,5.497059,0.15,52.833164,3396,38.11%,22.836033,5.2014885,21.817453,5.667797,2.4,51.935364,0.762976,0.0073149893
9083,BMI,,3406,38.214%,,,,,,,8702,37.827%,,,,,,,0.522351,0.007978153,3406,38.222%,,,,,,,3399,38.144%,,,,,,,0.9140535,0.0016168973
