Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1802.0,0,2
1803.0,0,2
1804.0,0,2
1805.0,0,5
1806.0,1,0
1807.0,0,3
1808.0,1,3
1809.0,3,0
1810.0,3,4
1811.0,1,4
1812.0,1,3
1813.0,1,4
1814.0,2,2
1815.0,2,3
1816.0,2,3
1817.0,0,6
1818.0,1,5
1819.0,1,4
1820.0,1,5
1821.0,5,3
1822.0,3,7
1823.0,3,2
1824.0,2,4
1825.0,8878,8835
