Outcome 6 Result 6b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9977555829873189,0.9965232792271357,0.9985514211464017,0.9976433621366839,0.9963878399422931,0.998462823855108
2,0.9965211536303442,0.9950569322141427,0.9975521809988589,0.9964089327797104,0.9949257370084318,0.9974591472732844
3,0.9952867242733693,0.9936275818232748,0.9965146449264174,0.9956233868252714,0.994014660926564,0.9968004189102221
4,0.9943889574682971,0.9926034030506492,0.9957443993054497,0.9945011783189318,0.9927308516466853,0.9958412632163989
5,0.993940074065761,0.9920950638233489,0.9953554675037464,0.9941645157670289,0.9923489505272007,0.9955502202715886
6,0.992817865559421,0.9908331521971828,0.9943740890885878,0.9931545281113218,0.9912105057441829,0.9946697363740085
7,0.9912467736505438,0.989083724663149,0.992982737749817,0.9919200987543487,0.9898313255653526,0.9935812034353778
8,0.9905734485467392,0.9883389576095668,0.9923814170913858,0.9901245651442031,0.9878438751254388,0.9919790981720258
9,0.9897879025923015,0.9874732595917779,0.9916766583375011,0.9893390191897656,0.9869799801203631,0.991272525565898
10,0.9884412523846917,0.9859961975493426,0.9904614687639043,0.9888901357872296,0.9864876444889474,0.9908674437906155
11,0.987543485579621,0.9850157745356061,0.9896470361465811,0.9886656940859604,0.9862418131675874,0.9906645646647574
12,0.9868701604758151,0.9842824502367811,0.9890342100684762,0.9876557064302547,0.9851381561928184,0.9897490122105372
13,0.9860846145213769,0.9834288782337024,0.9883172655201645,0.9864212770732798,0.9837944452216382,0.9886247779946459
14,0.9852990685669388,0.9825772663778191,0.9875983537351003,0.9852990685669388,0.9825772663778191,0.9875983537351003
15,0.9844013017618669,0.9816062027847299,0.9867745258701127,0.9841768600605989,0.9813637825552594,0.9865682221667861
16,0.9837279766580631,0.9808793369827262,0.9861552187167557,0.9835035349567937,0.9806373063374785,0.9859485243040487
17,0.9827179890023566,0.9797911653618049,0.9852241249518391,0.9830546515542588,0.9801536167335186,0.9855347627719786
18,0.9822691055998193,0.9793083034551039,0.9848095335618965,0.98283020985299,0.9799119529836429,0.9853277004707585
19,0.9813713387947469,0.9783439106927948,0.9839790164891177,0.9826057681517223,0.9796704068696312,0.9851205202284535
20,0.9811468970934796,0.9781030783403902,0.9837711207644821,0.9817080013466494,0.9787053556341759,0.9842906632140487
21,0.9804735719896752,0.9773811901308797,0.9831468233976405,0.9813713387947469,0.9783439106927948,0.9839790164891177
22,0.9801369094377735,0.9770205779857515,0.9828343420457525,0.9809224553922108,0.9778623486244984,0.9835631221737585
23,0.9791269217820667,0.9759400052322456,0.9818956317523428,0.9805857928403097,0.9775014426679705,0.9832509352576344
24,0.9786780383795313,0.9754603336642449,0.9814778430635458,0.9803613511390408,0.977260961972823,0.9830426871070579
25,0.978229154976995,0.9749810052984909,0.9810597105423142,0.9799124677365058,0.9767802891186949,0.9826259016686989
26,0.9777802715744575,0.9745020098834655,0.9806412444792992,0.979800246885871,0.9766601798708962,0.9825216462231205
27,0.9773313881719224,0.9740233376768739,0.9802224546528372,0.9796880260352369,0.9765400938272855,0.9824173675268812
28,0.9765458422174829,0.9731864114100772,0.9794888211247955,0.9785658175288957,0.9753404698070925,0.981373341756444
29,0.9756480754124114,0.9722310423482748,0.9786492629528872,0.9776680507238233,0.9743823119009064,0.9805365770042833
30,0.9755358545617766,0.9721117020448329,0.978544237230545,0.9774436090225553,0.9741429759423663,0.9803271819457767
31,0.9751991920098753,0.9717537860416676,0.9782290550033876,0.9772191673212871,0.9739037190305045,0.9801177077081704
32,0.9747503086073395,0.9712768052286654,0.9778085711655207,0.9768825047693857,0.973544979410842,0.979803350364027
33,0.9744136460554368,0.9709192461399622,0.9774930315199951,0.9766580630681181,0.9733059152311754,0.9795936830802913
34,0.9737403209516323,0.9702045694840092,0.9768615101113292,0.9763214005162159,0.9729474596522979,0.9792790412418104
35,0.973291437549097,0.9697284366662712,0.9764401771362303,0.9756480754124114,0.9722310423482748,0.9786492629528872
36,0.9730669958478282,0.9694904634104006,0.9762294173772884,0.975423633711143,0.9719923793032538,0.9784391939206045
37,0.9727303332959253,0.9691336178650658,0.9759131632581647,0.9750869711592415,0.9716345152928978,0.9781239596255833
38,0.9723936707440245,0.9687769073511707,0.9755967739427505,0.9747503086073395,0.9712768052286654,0.9778085711655207
39,0.9721692290427556,0.9685391741815325,0.97538577380437,,,
40,0.9720570081921218,0.9684203294895433,0.9752802518164828,0.9744136460554368,0.9709192461399622,0.9774930315199951
41,0.9716081247895851,0.9679450947084927,0.9748580197106087,0.974301425204803,0.9708000928276999,0.9773878185423488
42,0.970934799685781,0.9672326655235858,0.9742242480854444,0.9738525418022665,0.9703236420617107,0.9769668039309533
43,0.9707103579845129,0.9669952993956366,0.9740128804883571,0.9735158792503638,0.9699664717703691,0.9766508749687146
44,0.9702614745819761,0.966520728889306,0.9735899833708848,0.973403658399731,0.9698474464400824,0.9765455338406197
45,0.9700370328807094,0.9662835233337269,0.9733784550304782,0.9731792166984626,0.9696094423542725,0.9763348049504724
46,0.9698125911794405,0.9660463701432269,0.9731668742707119,0.9730669958478282,0.9694904634104006,0.9762294173772884
47,0.9693637077769041,0.9655722186205691,0.9727435577351238,0.9727303332959253,0.9691336178650658,0.9759131632581647
48,0.968802603523734,0.9649798139780904,0.9722141270216413,0.9726181124452918,0.969014699475918,0.9758077150555441
49,0.9682414992705647,0.9643877180995346,0.9716843872463838,0.9721692290427556,0.9685391741815325,0.97538577380437
50,,,,0.9717203456402193,0.9680638819716844,0.9749635991938389
51,0.9681292784199291,0.9642693352791532,0.9715784029017539,0.9714959039389514,0.967826321597072,0.9747524260594906
52,0.9674559533161255,0.9635592877215601,0.9709422472403434,0.9710470205364159,0.9673513690692899,0.9743299113799158
53,0.9671192907642242,0.9632044215920655,0.9706240116186224,,,
54,0.9668948490629558,0.962967901506157,0.9704117971533703,,,
55,0.9666704073616866,0.9627314267648545,0.9701995373042727,,,
56,0.9663337448097858,0.9623767987148599,0.9698810633969887,0.9703736954326108,0.966639351482424,0.9736957277049957
57,0.9662215239591511,0.9622586115657604,0.969774883208297,0.9701492537313433,0.9664021195303633,0.9734842257887022
58,0.9661093031085176,0.962140435428562,0.9696686919985298,0.9700370328807094,0.9662835233337269,0.9733784550304782
59,0.965884861407249,0.9619041159803796,0.9694562767256466,0.9698125911794405,0.9660463701432269,0.9731668742707119
60,0.9654359780047126,0.961431606946193,0.9690313162119127,,,
61,0.9653237571540781,0.961313506446542,0.9689250493030978,0.9694759286275382,0.9656907373159079,0.9728494060736719
62,0.9649870946021759,0.9609592683739815,0.9686061851001695,0.9692514869262709,0.9654537126026218,0.9726376967065552
63,0.9644259903490071,0.9603690801028147,0.9680745360838433,0.9691392660756357,0.9653352191952831,0.9725318230548914
64,0.964201548647738,0.9601330766696814,0.9678618045473759,0.969027045225003,0.9652167383323778,0.9724259368464632
65,0.9640893277971037,0.9600150901695217,0.9677554235513645,0.9685781618224661,0.9647429390220378,0.9720022677509446
66,0.96397710694647,0.9598971137528927,0.9676490324643499,0.9683537201211979,0.9645061129556225,0.9717903595440632
67,0.9637526652452023,0.9596611909900998,0.9674362201977463,0.9682414992705647,0.9643877180995346,0.9716843872463838
68,0.9634160026932995,0.9593073813556191,0.9671169272340117,0.9680170575692951,0.9641509644333763,0.9714724065714115
69,0.9631915609920318,0.9590715574286087,0.9669040160603423,0.9679048367186625,0.964032605501628,0.9713663983160593
70,0.96285489844013,0.9587178944233612,0.9665845763632157,0.9676803950173934,0.9637959231405143,0.9711543462705097
71,0.9627426775894952,0.9586000260221685,0.9664780771835373,0.9672315116148571,0.9633226987785826,0.970730101692692
72,,,,0.9671192907642242,0.9632044215920655,0.9706240116186224
73,0.9625182358882269,0.9583643178711154,0.966265050153148,0.9667826282123206,0.9628496584950634,0.9703056728741128
74,0.9624060150375929,0.9582464780391642,0.9661585223846619,0.966445965660419,0.9624949969287682,0.9699872325115894
75,0.9621815733363258,0.9580108266594541,0.9659454385443984,0.9661093031085176,0.962140435428562,0.9696686919985298
76,0.9618449107844235,0.95765741970039,0.9656257426267193,,,
77,0.9612838065312524,0.9570685924496863,0.9650927316289553,0.9657726405566146,0.96178597256572,0.969350052766405
