Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
63 patients in Cohort 1 and 326 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.62,,7,,
0.64,266,613,266,266
0.66,912,2137,912,912
0.68,2086,4702,2086,2086
0.7,2101,4975,2101,2101
0.72,1674,3932,1674,1674
0.74,888,2494,888,888
0.76,505,1668,505,505
0.78,266,1090,266,266
0.8,145,952,145,145
0.82,60,408,60,60
0.84,10,25,8,8
0.86,,2,,
