Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
328 patients in Cohort 1 and 2896 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,21501,100%,11.85503,4.1174903,13,5,0,17,83166,100%,10.875778,4.7920775,12,7,0,17,0,0.21919279,21501,100%,11.85503,4.1174903,13,5,0,17,21501,100%,11.845495,4.1277323,13,5,0,17,0.81049174,0.0023127168
Age,Current Age,,21501,100%,22.09353,4.9338174,23,6,5,37,83166,100%,21.537022,5.75857,22,8,5,37,1.4683713e-38,0.103785984,21501,100%,22.09353,4.9338174,23,6,5,37,21501,100%,22.435236,5.2507854,23,7,5,37,3.5985535e-12,0.067069806
2186-5,Not Hispanic or Latino,,17127,79.657%,,,,,,,63104,75.877%,,,,,,,1.6522951e-31,0.09099085,17127,79.657%,,,,,,,17144,79.736%,,,,,,,0.8385121,0.0019655484
2106-3,White,,14589,67.853%,,,,,,,53963,64.886%,,,,,,,3.4311492e-16,0.062826954,14589,67.853%,,,,,,,14597,67.89%,,,,,,,0.93415815,0.00079678575
M,Male,,12285,57.137%,,,,,,,47114,56.651%,,,,,,,0.19947128,0.009820365,12285,57.137%,,,,,,,12283,57.128%,,,,,,,0.98445135,0.00018795994
F,Female,,9202,42.798%,,,,,,,35998,43.285%,,,,,,,0.19922163,0.009825863,9202,42.798%,,,,,,,9201,42.793%,,,,,,,0.9922237,0.000093999806
2054-5,Black or African American,,3116,14.492%,,,,,,,13056,15.699%,,,,,,,0.000012851159,0.03370187,3116,14.492%,,,,,,,3116,14.492%,,,,,,,1,0
UN,Unknown Ethnicity,,2359,10.972%,,,,,,,10532,12.664%,,,,,,,1.688023e-11,0.052439135,2359,10.972%,,,,,,,2353,10.944%,,,,,,,0.92619777,0.00089337945
2135-2,Hispanic or Latino,,2015,9.372%,,,,,,,9530,11.459%,,,,,,,3.0594282e-18,0.06837479,2015,9.372%,,,,,,,2004,9.32%,,,,,,,0.8553955,0.001757625
UNK,Unknown Race,,1736,8.074%,,,,,,,7391,8.887%,,,,,,,0.00016552802,0.029185647,1736,8.074%,,,,,,,1747,8.125%,,,,,,,0.8458413,0.0018751809
2028-9,Asian,,862,4.009%,,,,,,,3363,4.044%,,,,,,,0.81824243,0.0017603149,862,4.009%,,,,,,,858,3.991%,,,,,,,0.921585,0.00094939175
2131-1,Other Race,,823,3.828%,,,,,,,3869,4.652%,,,,,,,1.9142983e-7,0.04092264,823,3.828%,,,,,,,823,3.828%,,,,,,,1,0
1002-5,American Indian or Alaska Native,,109,0.507%,,,,,,,371,0.446%,,,,,,,0.23906927,0.008837151,109,0.507%,,,,,,,98,0.456%,,,,,,,0.4434385,0.0073916935
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,1148,5.339%,,,,,,,3383,4.068%,,,,,,,3.1738235e-16,0.06008531,1148,5.339%,,,,,,,1005,4.674%,,,,,,,0.0015666697,0.030500278
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,942,4.381%,,,,,,,2426,2.917%,,,,,,,2.1237948e-27,0.07814297,942,4.381%,,,,,,,702,3.265%,,,,,,,1.583125e-9,0.05823641
F01-F09,Mental disorders due to known physiological conditions,,724,3.367%,,,,,,,1311,1.576%,,,,,,,0,0.115538225,724,3.367%,,,,,,,405,1.884%,,,,,,,6.5183195e-22,0.0928912
F30-F39,Mood [affective] disorders,,527,2.451%,,,,,,,1547,1.86%,,,,,,,2.9900633e-8,0.04069702,527,2.451%,,,,,,,482,2.242%,,,,,,,0.15169133,0.01382671
F80-F89,Pervasive and specific developmental disorders,,320,1.488%,,,,,,,1224,1.472%,,,,,,,0.85761786,0.0013703688,320,1.488%,,,,,,,270,1.256%,,,,,,,0.038196873,0.019991772
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,133,0.619%,,,,,,,586,0.705%,,,,,,,0.1733436,0.010613206,133,0.619%,,,,,,,96,0.446%,,,,,,,0.01422364,0.023646098
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,,,0,0%,,,,,,,,,0,0%,,,,,,,0,0%,,,,,,,,
9083,BMI,,8195,38.115%,22.62993,5.3109303,21.67,5.820115,0.12,59.359467,23830,28.654%,22.452316,5.6284156,21.466589,6.2,0.11,66.87934,0.012440758,0.032458603,8195,38.115%,22.62993,5.3109303,21.67,5.820115,0.12,59.359467,8176,38.026%,22.64221,5.5090375,21.582312,5.929188,9.1,62.8,0.88455254,0.002269648
9083,BMI,,8201,38.142%,,,,,,,23858,28.687%,,,,,,,0,0.20146756,8201,38.142%,,,,,,,8183,38.059%,,,,,,,0.8581427,0.0017238719
