Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,0,10
1801.0,0,9
1802.0,3,11
1803.0,3,7
1804.0,3,14
1805.0,6,8
1806.0,2,11
1807.0,7,11
1808.0,8,8
1809.0,6,9
1810.0,9,12
1811.0,5,8
1812.0,5,6
1813.0,14,11
1814.0,8,15
1815.0,7,18
1816.0,8,8
1817.0,8,6
1818.0,9,7
1819.0,8,17
1820.0,12,8
1821.0,8,15
1822.0,10,11
1823.0,6,10
1824.0,10,6
1825.0,21336,21245
