Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1800.0,0,32
1801.0,0,30
1802.0,3,32
1803.0,3,37
1804.0,3,46
1805.0,6,44
1806.0,2,39
1807.0,7,31
1808.0,8,38
1809.0,6,25
1810.0,9,41
1811.0,5,29
1812.0,5,40
1813.0,14,36
1814.0,8,43
1815.0,7,51
1816.0,8,28
1817.0,8,35
1818.0,9,36
1819.0,8,46
1820.0,12,41
1821.0,8,40
1822.0,10,38
1823.0,6,33
1824.0,10,33
1825.0,21336,82242
