Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
328 patients in Cohort 1 and 2896 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.66,18,51,18,18
0.68,392,1180,392,392
0.7,1392,3928,1392,1392
0.72,2781,7298,2781,2781
0.74,1950,5278,1950,1950
0.76,2368,8678,2368,2368
0.78,3658,13534,3658,3658
0.8,4108,16097,4108,4108
0.82,2611,12073,2611,2611
0.84,1513,9351,1513,1513
0.86,630,4934,630,630
0.88,80,762,80,80
0.9,,2,,
