Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
62 patients in Cohort 1 and 328 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Median,Cohort 1 Before: IQR,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Median,Cohort 2 Before: IQR,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Median,Cohort 1 After: IQR,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Median,Cohort 2 After: IQR,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,8723,100%,12.61034,3.3938947,13,4,0,17,22702,100%,11.890846,4.0984297,13,5,0,17,0,0.19121803,8722,100%,12.610411,3.394083,13,4,0,17,8722,100%,12.596193,3.414992,13,4,0,17,0.7827322,0.0041758553
Age,Current Age,,8723,100%,22.648745,4.258336,23,5,6,36,22702,100%,22.089727,4.9038696,23,6,5,37,7.370966e-21,0.121724956,8722,100%,22.648819,4.2585745,23,5,6,36,8722,100%,22.774134,4.433652,23,6,6,37,0.056960285,0.02882803
2186-5,Not Hispanic or Latino,,6693,76.728%,,,,,,,17127,75.443%,,,,,,,0.01719028,0.030139677,6692,76.726%,,,,,,,6710,76.932%,,,,,,,0.74668956,0.004891261
2106-3,White,,6183,70.882%,,,,,,,15568,68.575%,,,,,,,0.00007311835,0.050210778,6183,70.89%,,,,,,,6205,71.142%,,,,,,,0.71350837,0.0055596856
M,Male,,4831,55.382%,,,,,,,12939,56.995%,,,,,,,0.009806297,0.03250734,4831,55.389%,,,,,,,4817,55.228%,,,,,,,0.8311674,0.003228524
F,Female,,3887,44.56%,,,,,,,9749,42.943%,,,,,,,0.009598444,0.032599926,3886,44.554%,,,,,,,3901,44.726%,,,,,,,0.8192895,0.0034595188
UN,Unknown Ethnicity,,1279,14.662%,,,,,,,3510,15.461%,,,,,,,0.07767148,0.02233462,1279,14.664%,,,,,,,1274,14.607%,,,,,,,0.91470647,0.0016218579
2054-5,Black or African American,,1153,13.218%,,,,,,,3263,14.373%,,,,,,,0.0083193155,0.033504546,1153,13.219%,,,,,,,1149,13.174%,,,,,,,0.92869836,0.0013550203
2135-2,Hispanic or Latino,,751,8.609%,,,,,,,2065,9.096%,,,,,,,0.17616417,0.017133987,751,8.61%,,,,,,,738,8.461%,,,,,,,0.7246388,0.005334321
UNK,Unknown Race,,643,7.371%,,,,,,,1790,7.885%,,,,,,,0.12724039,0.019343827,643,7.372%,,,,,,,640,7.338%,,,,,,,0.9306592,0.0013176616
2028-9,Asian,,297,3.405%,,,,,,,873,3.845%,,,,,,,0.06464133,0.02357837,297,3.405%,,,,,,,300,3.44%,,,,,,,0.90057236,0.0018919209
2131-1,Other Race,,294,3.37%,,,,,,,823,3.625%,,,,,,,0.27458188,0.013870623,294,3.371%,,,,,,,290,3.325%,,,,,,,0.86629736,0.0025495007
1002-5,American Indian or Alaska Native,,31,0.355%,,,,,,,117,0.515%,,,,,,,0.06358997,0.024301965,30,0.344%,,,,,,,22,0.252%,,,,,,,0.26654354,0.016825149
F90-F98,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,,509,5.835%,,,,,,,1224,5.392%,,,,,,,0.1229487,0.019270746,509,5.836%,,,,,,,455,5.217%,,,,,,,0.07355556,0.027098577
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,417,4.78%,,,,,,,999,4.4%,,,,,,,0.1459161,0.018157026,417,4.781%,,,,,,,411,4.712%,,,,,,,0.8308227,0.003235217
F01-F09,Mental disorders due to known physiological conditions,,376,4.31%,,,,,,,759,3.343%,,,,,,,0.000038768485,0.050427996,376,4.311%,,,,,,,302,3.463%,,,,,,,0.0037453852,0.043907303
F30-F39,Mood [affective] disorders,,219,2.511%,,,,,,,572,2.52%,,,,,,,0.96363103,0.00057462225,219,2.511%,,,,,,,207,2.373%,,,,,,,0.5561069,0.008913669
F80-F89,Pervasive and specific developmental disorders,,109,1.25%,,,,,,,342,1.506%,,,,,,,0.08640003,0.022038603,109,1.25%,,,,,,,122,1.399%,,,,,,,0.3892064,0.0130391205
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,34,0.39%,,,,,,,148,0.652%,,,,,,,0.00609792,0.03642512,33,0.378%,,,,,,,31,0.355%,,,,,,,0.8022317,0.0037926773
Z81,Family history of mental and behavioral disorders,,0,0%,,,,,,,0,0%,,,,,,,,,0,0%,,,,,,,0,0%,,,,,,,,
9083,BMI,,3398,38.954%,22.790934,5.0318236,21.91,5.497604,0.15,52.833164,8672,38.199%,22.600573,5.3059826,21.65961,5.908659,0.12,59.359467,0.07214689,0.036815315,3397,38.947%,22.792381,5.031857,21.91,5.494663,0.15,52.833164,3391,38.879%,22.741638,5.1807537,21.7,5.633163,0.12,51.935364,0.68231833,0.009936096
9083,BMI,,3401,38.989%,,,,,,,8678,38.226%,,,,,,,0.21297877,0.01567629,3400,38.982%,,,,,,,3392,38.89%,,,,,,,0.9011395,0.0018810735
