Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
1802.0,0,4
1803.0,0,3
1804.0,0,5
1805.0,0,7
1806.0,1,2
1807.0,0,7
1808.0,1,8
1809.0,3,6
1810.0,3,9
1811.0,1,5
1812.0,1,5
1813.0,1,14
1814.0,2,8
1815.0,2,8
1816.0,2,10
1817.0,0,8
1818.0,1,9
1819.0,1,9
1820.0,1,12
1821.0,5,9
1822.0,3,12
1823.0,3,6
1824.0,2,10
1825.0,8690,22526
