Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
62 patients in Cohort 1 and 328 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.62,12,23,12,12
0.64,232,531,232,232
0.66,883,2091,883,883
0.68,2073,4700,2073,2073
0.7,1919,4570,1919,1919
0.72,1645,3882,1645,1645
0.74,945,2598,945,945
0.76,479,1608,479,479
0.78,285,1197,285,285
0.8,163,994,163,163
0.82,74,474,74,74
0.84,12,29,12,12
0.86,,5,,
0.88,1,,,
