comparison,outcome,n_per_arm,p_control,p_exposed_at_MCID,power,meets_80pct_power
CX1_vs_CTLFX,Mood disorders,68375,0.03982449725776965,0.047789396709323584,1,TRUE
CX2_vs_CX1,Mood disorders,21501,0.13148225663922608,0.1577787079670713,1,TRUE
CX3_vs_CX2,Mood disorders,8722,0.16246273790415042,0.1949552854849805,1,TRUE
CX1_vs_CTLFX,Anxiety disorders,68375,0.0686508226691042,0.08238098720292504,1,TRUE
CX2_vs_CX1,Anxiety disorders,21501,0.19687456397376865,0.23624947676852237,1,TRUE
CX3_vs_CX2,Anxiety disorders,8722,0.24157303370786518,0.2898876404494382,1,TRUE
CX1_vs_CTLFX,ADHD,68375,0.03840585009140768,0.046087020109689215,1,TRUE
CX2_vs_CX1,ADHD,21501,0.10892516627133622,0.13071019952560345,1,TRUE
CX3_vs_CX2,ADHD,8722,0.12336620041274937,0.14803944049529924,1,TRUE
CX1_vs_CTLFX,Unspecified psychosis,68375,0.001287020109689214,0.0015444241316270567,0.21459893321885062,FALSE
CX2_vs_CX1,Unspecified psychosis,21501,0.00353471931538068,0.004241663178456816,0.999626424537172,TRUE
CX3_vs_CX2,Unspecified psychosis,8722,0.0038981884888786974,0.004677826186654437,0.9634132537482771,TRUE
CX1_vs_CTLFX,Generalized SUD,68375,0.020782449725776964,0.024938939670932355,1,TRUE
CX2_vs_CX1,Generalized SUD,21501,0.0552067345704851,0.06624808148458211,1,TRUE
CX3_vs_CX2,Generalized SUD,8722,0.05698234349919743,0.06837881219903691,1,TRUE
CX1_vs_CTLFX,Alcohol-related,68375,0.004109689213893967,0.00493162705667276,1,TRUE
CX2_vs_CX1,Alcohol-related,21501,0.008929817217803823,0.010715780661364587,1,TRUE
CX3_vs_CX2,Alcohol-related,8722,0.011235955056179775,0.013483146067415729,0.9999999999841412,TRUE
CX1_vs_CTLFX,Cannabis-related,68375,0.008321755027422304,0.009986106032906764,1,TRUE
CX2_vs_CX1,Cannabis-related,21501,0.023161713408678668,0.0277940560904144,1,TRUE
CX3_vs_CX2,Cannabis-related,8722,0.026828709011694565,0.03219445081403348,1,TRUE
CX1_vs_CTLFX,Opioid-related,68375,8.921389396709323e-4,0.0010705667276051187,0.1836748527923305,FALSE
CX2_vs_CX1,Opioid-related,21501,0.002092925910422771,0.002511511092507325,0.7603818161576809,FALSE
CX3_vs_CX2,Opioid-related,8722,0.0020637468470534283,0.002476496216464114,0.38150933319870883,FALSE
