comparison,outcome,outcome_code,family,family_order,outcome_order,cohort1_label,cohort2_label,n1,n2,events1,events2,risk1,risk2,rr,rr_lo,rr_hi,hr,hr_lo,hr_hi,logrank_p,comparison_label
CX1_vs_CTLFX,Mood disorders,F30-F39,Internalizing / neurodevelopmental,1,1,CX1,CTL-FX,68375,68375,6236,2723,0.09120292504570383,0.03982449725776965,2.2901211898641205,2.1920784243438574,2.3925490101178783,2.361891,2.257915,2.470655,0,"CX1 vs CTL-FX (n=68,375 per arm)"
CX1_vs_CTLFX,Anxiety disorders,F40-F48,Internalizing / neurodevelopmental,1,2,CX1,CTL-FX,68375,68375,10686,4694,0.1562851919561243,0.0686508226691042,2.276523221133362,2.203411458177484,2.352060917685382,2.408115,2.326864,2.492203,0,"CX1 vs CTL-FX (n=68,375 per arm)"
CX1_vs_CTLFX,ADHD,F90,Internalizing / neurodevelopmental,1,3,CX1,CTL-FX,68375,68375,6819,2626,0.09972943327239488,0.03840585009140768,2.5967250571210965,2.4855720265760985,2.712848772911678,2.700015,2.581169,2.824332,0,"CX1 vs CTL-FX (n=68,375 per arm)"
CX1_vs_CTLFX,Unspecified psychosis,F29,Internalizing / neurodevelopmental,1,4,CX1,CTL-FX,68375,68375,152,88,0.002223034734917733,0.001287020109689214,1.7272727272727273,1.3287198131468936,2.245372609680755,1.728395,1.329305,2.247301,3.530834105060775e-5,"CX1 vs CTL-FX (n=68,375 per arm)"
CX1_vs_CTLFX,Generalized SUD,F10-F19,Substance use,2,5,CX1,CTL-FX,68375,68375,2440,1421,0.035685557586837294,0.020782449725776964,1.717100633356791,1.6097782864842984,1.8315780563257411,1.731749,1.62211,1.848799,2.419159771052275e-62,"CX1 vs CTL-FX (n=68,375 per arm)"
CX1_vs_CTLFX,Alcohol-related,F10,Substance use,2,6,CX1,CTL-FX,68375,68375,446,281,0.006522851919561243,0.004109689213893967,1.587188612099644,1.3676046256854038,1.8420292261853533,1.589469,1.369057,1.845366,8.310750877586647e-10,"CX1 vs CTL-FX (n=68,375 per arm)"
CX1_vs_CTLFX,Cannabis-related,F12,Substance use,2,7,CX1,CTL-FX,68375,68375,1102,569,0.016117001828153565,0.008321755027422304,1.936731107205624,1.7513339378325365,2.1417545224185495,1.945274,1.758083,2.152396,2.250181902367896e-39,"CX1 vs CTL-FX (n=68,375 per arm)"
CX1_vs_CTLFX,Opioid-related,F11,Substance use,2,8,CX1,CTL-FX,68375,68375,106,61,0.001550274223034735,8.921389396709323e-4,1.737704918032787,1.2683969684664853,2.380657205295995,1.738441,1.268715,2.3820769999999998,4.922411454696737e-4,"CX1 vs CTL-FX (n=68,375 per arm)"
CX2_vs_CX1,Mood disorders,F30-F39,Internalizing / neurodevelopmental,1,1,CX2,CX1,21501,21501,3207,2827,0.14915585321612948,0.13148225663922608,1.1344181110718077,1.082444287758803,1.1888874700353025,1.148735,1.092094,1.208313,7.482829799960505e-8,"CX2 vs CX1 (n=21,501 per arm)"
CX2_vs_CX1,Anxiety disorders,F40-F48,Internalizing / neurodevelopmental,1,2,CX2,CX1,21501,21501,4976,4233,0.23143109622808242,0.19687456397376865,1.1755256319395229,1.1335485789952326,1.2190571599248825,1.210238,1.161642,1.260867,6.266645333143814e-20,"CX2 vs CX1 (n=21,501 per arm)"
CX2_vs_CX1,ADHD,F90,Internalizing / neurodevelopmental,1,3,CX2,CX1,21501,21501,2638,2342,0.12269196781545044,0.10892516627133622,1.1263877028181042,1.0689514606564334,1.1869100738032747,1.140977,1.07922,1.206267,3.3455499354170104e-6,"CX2 vs CX1 (n=21,501 per arm)"
CX2_vs_CX1,Unspecified psychosis,F29,Internalizing / neurodevelopmental,1,4,CX2,CX1,21501,21501,60,76,0.0027905678805636948,0.00353471931538068,0.7894736842105263,0.5630716571877059,1.1069083128316093,0.7889324,0.5623919,1.106727,0.16882401667339492,"CX2 vs CX1 (n=21,501 per arm)"
CX2_vs_CX1,Generalized SUD,F10-F19,Substance use,2,5,CX2,CX1,21501,21501,1136,1187,0.05283475187200595,0.0552067345704851,0.9570345408593092,0.8842277164853103,1.0358362391516425,0.9563937,0.8816715,1.037449,0.28264411278168755,"CX2 vs CX1 (n=21,501 per arm)"
CX2_vs_CX1,Alcohol-related,F10,Substance use,2,6,CX2,CX1,21501,21501,228,192,0.01060415794614204,0.008929817217803823,1.1875,0.9809833669136749,1.437492517774862,1.188932,0.9812538,1.440564,0.07690201257090305,"CX2 vs CX1 (n=21,501 per arm)"
CX2_vs_CX1,Cannabis-related,F12,Substance use,2,7,CX2,CX1,21501,21501,541,498,0.025161620389749315,0.023161713408678668,1.0863453815261044,0.9632707823182576,1.2251449017511937,1.087302,0.9626987,1.228034,0.1775863551916231,"CX2 vs CX1 (n=21,501 per arm)"
CX2_vs_CX1,Opioid-related,F11,Substance use,2,8,CX2,CX1,21501,21501,34,45,0.0015813217989860938,0.002092925910422771,0.7555555555555556,0.484192061272713,1.1790036293249646,0.7551642,0.483751,1.178856,0.21501236844864502,"CX2 vs CX1 (n=21,501 per arm)"
CX3_vs_CX2,Mood disorders,F30-F39,Internalizing / neurodevelopmental,1,1,CX3,CX2,8722,8722,1550,1417,0.17771153405182297,0.16246273790415042,1.0938602681721947,1.0243648847609925,1.1680703859395993,1.107419,1.030449,1.190138,0.005480778947894035,"CX3 vs CX2 (n=8,722 per arm)"
CX3_vs_CX2,Anxiety disorders,F40-F48,Internalizing / neurodevelopmental,1,2,CX3,CX2,8722,8722,2316,2107,0.26553542765420773,0.24157303370786518,1.0991931656383482,1.044539012412872,1.1567070267629997,1.118471,1.054382,1.186456,1.9839236876503097e-4,"CX3 vs CX2 (n=8,722 per arm)"
CX3_vs_CX2,ADHD,F90,Internalizing / neurodevelopmental,1,3,CX3,CX2,8722,8722,1162,1076,0.1332263242375602,0.12336620041274937,1.079925650557621,0.9994624668552886,1.1668666402268806,1.08823,1.001632,1.182315,0.04558792279918236,"CX3 vs CX2 (n=8,722 per arm)"
CX3_vs_CX2,Unspecified psychosis,F29,Internalizing / neurodevelopmental,1,4,CX3,CX2,8722,8722,28,34,0.0032102728731942215,0.0038981884888786974,0.823529411764706,0.4998421799873599,1.3568296538292808,0.8234927,0.4993842,1.357953,0.44595360523786687,"CX3 vs CX2 (n=8,722 per arm)"
CX3_vs_CX2,Generalized SUD,F10-F19,Substance use,2,5,CX3,CX2,8722,8722,520,497,0.05961935335932125,0.05698234349919743,1.0462776659959758,0.9285997443589458,1.178868464063282,1.048232,0.9269594,1.18537,0.45266997750829063,"CX3 vs CX2 (n=8,722 per arm)"
CX3_vs_CX2,Alcohol-related,F10,Substance use,2,6,CX3,CX2,8722,8722,106,98,0.01215317587709241,0.011235955056179775,1.0816326530612246,0.8231751572256166,1.4212396789418755,1.080931,0.8213232,1.422597,0.5785675486044534,"CX3 vs CX2 (n=8,722 per arm)"
CX3_vs_CX2,Cannabis-related,F12,Substance use,2,7,CX3,CX2,8722,8722,250,234,0.028663150653519834,0.026828709011694565,1.0683760683760684,0.8961463544977126,1.2737064852743525,1.069733,0.8950578,1.278497,0.45855042312602734,"CX3 vs CX2 (n=8,722 per arm)"
