comparison,comparison_label,outcome,outcome_code,cohort1_label,cohort2_label,n1,n2,events1,events2,rr,rr_lo,rr_hi,raw_p,fdr_p,fdr_significant_05,e_value_rr,e_value_ci_limit,hr,hr_lo,hr_hi
CX1_vs_CTLFX,"CX1 vs CTL-FX (n=68,375 per arm)",Mood disorders,F30-F39,CX1,CTL-FX,68375,68375,6236,2723,2.2901211898641205,2.192078424343858,2.3925490101178783,0,0,TRUE,4.008996948725282,3.808596099511684,2.361891,2.257915,2.470655
CX1_vs_CTLFX,"CX1 vs CTL-FX (n=68,375 per arm)",Anxiety disorders,F40-F48,CX1,CTL-FX,68375,68375,10686,4694,2.276523221133362,2.203411458177484,2.352060917685382,0,0,TRUE,3.98123280203741,3.8317881332285433,2.408115,2.326864,2.492203
CX1_vs_CTLFX,"CX1 vs CTL-FX (n=68,375 per arm)",ADHD,F90,CX1,CTL-FX,68375,68375,6819,2626,2.5967250571210965,2.4855720265760985,2.712848772911678,0,0,TRUE,4.632960791303036,4.407158941790062,2.700015,2.581169,2.824332
CX1_vs_CTLFX,"CX1 vs CTL-FX (n=68,375 per arm)",Unspecified psychosis,F29,CX1,CTL-FX,68375,68375,152,88,1.7272727272727273,1.3287198131468936,2.245372609680755,3.530834105060775e-5,8.474001852145861e-5,TRUE,2.848075273267087,1.9896105217381268,1.728395,1.329305,2.247301
CX1_vs_CTLFX,"CX1 vs CTL-FX (n=68,375 per arm)",Generalized SUD,F10-F19,CX1,CTL-FX,68375,68375,2440,1421,1.717100633356791,1.6097782864842984,1.8315780563257411,2.419159771052275e-62,1.4514958626313651e-61,TRUE,2.826755512910566,2.6005395317659383,1.731749,1.62211,1.848799
CX1_vs_CTLFX,"CX1 vs CTL-FX (n=68,375 per arm)",Alcohol-related,F10,CX1,CTL-FX,68375,68375,446,281,1.587188612099644,1.3676046256854038,1.8420292261853533,8.310750877586646e-10,2.84940030088685e-9,TRUE,2.5525792471687594,2.0766446714590607,1.589469,1.369057,1.845366
CX1_vs_CTLFX,"CX1 vs CTL-FX (n=68,375 per arm)",Cannabis-related,F12,CX1,CTL-FX,68375,68375,1102,569,1.936731107205624,1.7513339378325363,2.1417545224185495,2.2501819023678957e-39,1.0800873131365899e-38,TRUE,3.283652142163612,2.8984331593349664,1.945274,1.758083,2.152396
CX1_vs_CTLFX,"CX1 vs CTL-FX (n=68,375 per arm)",Opioid-related,F11,CX1,CTL-FX,68375,68375,106,61,1.737704918032787,1.2683969684664853,2.380657205295995,4.922411454696737e-4,9.844822909393473e-4,TRUE,2.8699210917922633,1.8518641064858299,1.738441,1.268715,2.3820770000000002
CX2_vs_CX1,"CX2 vs CX1 (n=22,547 per arm)",Mood disorders,F30-F39,CX2,CX1,22547,22547,3448,3023,1.14058881905392,1.0901682347594763,1.1933413694060189,5.265009339645055e-9,1.5795028018935166e-8,TRUE,1.5410311183891623,1.4036942230269824,1.156439,1.101321,1.214315
CX2_vs_CX1,"CX2 vs CX1 (n=22,547 per arm)",Anxiety disorders,F40-F48,CX2,CX1,22547,22547,5284,4466,1.1831616659202866,1.1421188115264589,1.2256794245708278,7.939160795430342e-23,3.1756643181721367e-22,TRUE,1.6486827307315164,1.5450041154482475,1.220897,1.173213,1.27052
CX2_vs_CX1,"CX2 vs CX1 (n=22,547 per arm)",ADHD,F90,CX2,CX1,22547,22547,2817,2463,1.143727161997564,1.0870550932274914,1.2033537483433228,7.606219791803266e-8,2.0283252778142043e-7,TRUE,1.5491709424325806,1.394680973940312,1.159721,1.098682,1.224151
CX2_vs_CX1,"CX2 vs CX1 (n=22,547 per arm)",Unspecified psychosis,F29,CX2,CX1,22547,22547,66,77,0.8571428571428571,0.6172920156678028,1.1901885313650284,0.3558855103603574,0.47451401381380987,FALSE,1.6076252185107653,1,0.8566607,0.6166286,1.190129
CX2_vs_CX1,"CX2 vs CX1 (n=22,547 per arm)",Generalized SUD,F10-F19,CX2,CX1,22547,22547,1224,1329,0.9209932279909706,0.8540854512705112,0.9931424598597592,0.03267438506881166,0.04901157760321749,TRUE,1.3909781246175916,1.0902869524517604,0.9188888,0.8502402,0.9930802
CX2_vs_CX1,"CX2 vs CX1 (n=22,547 per arm)",Alcohol-related,F10,CX2,CX1,22547,22547,242,237,1.021097046413502,0.854458123073438,1.2202343801754296,0.8163152877830249,0.8905257684905725,FALSE,1.1678694272651988,1,1.021456,0.8539469,1.221825
CX2_vs_CX1,"CX2 vs CX1 (n=22,547 per arm)",Cannabis-related,F12,CX2,CX1,22547,22547,580,562,1.0320284697508897,0.920343075435504,1.157267100502026,0.5935868177485164,0.7497938750507576,FALSE,1.213836865116652,1,1.032092,0.9190426,1.159048
CX2_vs_CX1,"CX2 vs CX1 (n=22,547 per arm)",Opioid-related,F11,CX2,CX1,22547,22547,39,79,0.4936708860759494,0.33654696226458264,0.724151369898312,2.261277377385732e-4,4.933696096114324e-4,TRUE,3.4670224946210455,2.106207350101452,0.493164,0.3360544,0.7237243
CX3_vs_CX2,"CX3 vs CX2 (n=8,911 per arm)",Mood disorders,F30-F39,CX3,CX2,8911,8911,1559,1445,1.078892733564014,1.010720005016253,1.151663690003358,0.02046777950669336,0.03508762201147433,TRUE,1.370640564701139,1.1148109437371692,1.088286,1.013118,1.169032
CX3_vs_CX2,"CX3 vs CX2 (n=8,911 per arm)",Anxiety disorders,F40-F48,CX3,CX2,8911,8911,2332,2194,1.0628988149498633,1.0106971767992905,1.1177966227229068,0.01369316147016467,0.02527968271415016,TRUE,1.321462300136694,1.1146760515324101,1.076055,1.015121,1.140647
CX3_vs_CX2,"CX3 vs CX2 (n=8,911 per arm)",ADHD,F90,CX3,CX2,8911,8911,1176,1117,1.052820053715309,0.97533767972516,1.136457750527438,0.170958124500536,0.24135264635369788,FALSE,1.288637804933908,1,1.058856,0.975604,1.149213
CX3_vs_CX2,"CX3 vs CX2 (n=8,911 per arm)",Unspecified psychosis,F29,CX3,CX2,8911,8911,28,25,1.12,0.6536459385334601,1.9190817628491816,0.6795035468713122,0.7765754821386425,FALSE,1.4866060555964675,1,1.120325,0.6533195,1.921157
CX3_vs_CX2,"CX3 vs CX2 (n=8,911 per arm)",Generalized SUD,F10-F19,CX3,CX2,8911,8911,523,537,0.9739292364990688,0.8665860695586752,1.094568896302152,0.6575191949315053,0.7765754821386425,FALSE,1.1925552603208058,1,0.973127,0.8627323,1.097648
CX3_vs_CX2,"CX3 vs CX2 (n=8,911 per arm)",Alcohol-related,F10,CX3,CX2,8911,8911,107,109,0.981651376146789,0.7530440720566722,1.2796587345267136,0.8828258612336711,0.9212095943307872,FALSE,1.1566805893479757,1,0.9801377,0.7506686,1.279752
CX3_vs_CX2,"CX3 vs CX2 (n=8,911 per arm)",Cannabis-related,F12,CX3,CX2,8911,8911,250,248,1.0080645161290325,0.8477605508088122,1.198680532738817,0.9281708678908696,0.9281708678908696,FALSE,1.0982285474798317,1,1.008109,0.8457076,1.201696
CX3_vs_CX2,"CX3 vs CX2 (n=8,911 per arm)",Opioid-related,F11,CX3,CX2,8911,8911,30,15,2,1.0768463270999002,3.7145504417260415,0.025120477051967,0.0401927632831472,TRUE,3.414213562373095,1.3645122532862408,2.002074,1.077225,3.720949
