Outcome 5 Result 5b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
546 patients in Cohort 1 and 174 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9985693848354793,0.9898881594324674,0.9997983546286877,1,,
2,0.9985693848354793,0.9898881594324674,0.9997983546286877,0.9990662931839401,0.9933903919357635,0.9998684220207117
3,0.9985693848354793,0.9898881594324674,0.9997983546286877,0.9971988795518211,0.9913404537713795,0.9990957204416849
4,0.9971221828284719,0.9885424433830737,0.9992795078189475,,,
5,0.9956707677151844,0.9866374457314429,0.9986017200856004,0.9971988795518211,0.9913404537713795,0.9990957204416849
6,0.9942151086980572,0.9846603055965694,0.9978249615998458,0.9971988795518211,0.9913404537713795,0.9990957204416849
7,0.9942151086980572,0.9846603055965694,0.9978249615998458,0.9962607808880849,0.990068128486025,0.9985949678546173
8,0.9942151086980572,0.9846603055965694,0.9978249615998458,0.9962607808880849,0.990068128486025,0.9985949678546173
9,0.9942151086980572,0.9846603055965694,0.9978249615998458,0.9962607808880849,0.990068128486025,0.9985949678546173
10,0.9942151086980572,0.9846603055965694,0.9978249615998458,0.9962607808880849,0.990068128486025,0.9985949678546173
11,0.9942151086980572,0.9846603055965694,0.9978249615998458,0.994375708454995,0.987523981924648,0.9974693355304715
12,0.9927465487147515,0.9826610864222576,0.9969746414758242,0.994375708454995,0.987523981924648,0.9974693355304715
13,0.9912779887314458,0.9806885809777581,0.9960722936583956,0.994375708454995,0.987523981924648,0.9974693355304715
14,0.9898094287481396,0.9787426093888649,0.9951290411895658,,,
15,0.988336498050598,0.9768122661626685,0.9941503218109423,0.994375708454995,0.987523981924648,0.9974693355304715
16,0.988336498050598,0.9768122661626685,0.9941503218109423,0.994375708454995,0.987523981924648,0.9974693355304715
17,0.9868591639727936,0.9748960429018781,0.993141335896157,0.9924725970512536,0.985004290677802,0.9962285732850145
18,0.9868591639727936,0.9748960429018781,0.993141335896157,,,
19,0.9868591639727936,0.9748960429018781,0.993141335896157,,,
20,0.9868591639727936,0.9748960429018781,0.993141335896157,,,
