Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,CX1 7.0
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
10,1,0
40,2,0
50,2,0
60,5,0
70,3,0
80,4,0
90,3,0
100,5,0
110,5,0
120,3,0
130,4,0
140,4,0
150,5,0
160,7,0
170,5,0
180,10,0
190,6,0
200,9,0
210,12,0
220,7,0
230,14,0
240,14,0
250,8,0
260,14,0
270,10,0
280,18,0
290,14,0
300,18,0
310,11,0
320,14,0
330,13,0
340,18,0
350,15,0
360,22,0
370,19,0
380,20,0
390,19,0
400,20,0
410,14,0
420,24,0
430,21,0
440,24,0
450,30,0
460,29,0
470,19,0
480,22,0
490,12,0
500,27,0
510,14,0
520,25,0
530,21,0
540,29,0
550,25,0
560,23,0
570,33,0
580,22,0
590,24,0
600,29,0
610,27,0
620,33,0
630,34,0
640,32,0
650,27,0
660,39,0
670,31,0
680,43,0
690,24,0
700,44,0
710,33,0
720,41,0
730,38,0
740,36,0
750,38,0
760,28,0
770,29,0
780,39,0
790,29,0
800,52,0
810,33,0
820,49,0
830,46,0
840,34,0
850,30,0
860,33,0
870,36,0
880,49,0
890,44,0
900,57,0
910,38,0
920,48,0
930,34,0
940,59,0
950,48,0
960,62,0
970,38,0
980,59,0
990,50,0
1000,43,0
1010,34,0
1020,55,0
1030,46,0
1040,54,0
1050,42,0
1060,51,0
1070,31,0
1080,51,0
1090,42,0
1100,55,0
1110,51,0
1120,55,0
1130,39,0
1140,49,0
1150,62,0
1160,62,0
1170,41,0
1180,63,0
1190,48,0
1200,59,0
1210,43,0
1220,58,0
1230,52,0
1240,49,0
1250,48,0
1260,67,0
1270,41,0
1280,64,0
1290,50,0
1300,55,0
1310,40,0
1320,66,0
1330,48,0
1340,70,0
1350,48,0
1360,54,0
1370,62,0
1380,35,0
1390,66,0
1400,54,0
1410,41,0
1420,69,0
1430,36,0
1440,63,0
1450,42,0
1460,50,0
1470,46,0
1480,49,0
1490,52,0
1500,58,0
1510,49,0
1520,62,0
1530,45,0
1540,46,0
1550,43,0
1560,39,0
1570,54,0
1580,54,0
1590,39,0
1600,48,0
1610,42,0
1620,69,0
1630,57,0
1640,63,0
1650,48,0
1660,66,0
1670,52,0
1680,71,0
1690,54,0
1700,76,0
1710,45,0
1720,54,0
1730,56,0
1740,75,0
1750,52,0
1760,74,0
1770,71,0
1780,60,0
1790,51,0
1800,63,0
1810,45,0
1820,21220,0
1825.00000,0,4203730
