Outcome 3 Result 3b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
164 patients in Cohort 1 and 55 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9999640054711677,0.9997445003170544,0.9999949296065013,0.9998207307016608,0.9995693541938281,0.999925379227267
2,0.9998920164135053,0.9996652273790773,0.9999651717066459,0.9997848768419926,0.9995212249917813,0.9999033478947439
3,,,,0.9996773152629895,0.9993799200786335,0.9998320893702594
4,,,,0.9996414614033202,0.9993337417048686,0.9998070706414827
6,,,,0.9996056075436526,0.9992879565199723,0.9997815661730262
7,,,,0.9995697536839848,0.9992425276386925,0.9997556362317328
8,0.9998200273558409,0.9995676648097571,0.9999250864444731,,,
14,0.9998200273558409,0.9995676648097571,0.9999250864444731,,,
15,0.999784031531123,0.9995193439288805,0.9999029680847555,,,
16,0.9997480357064055,0.999471551235514,0.999879872154293,0.9994980459646485,0.9991526124444434,0.9997026860971865
18,0.9997120398816889,0.9994242750819583,0.999855981457206,,,
20,,,,0.9994621921049816,0.9991080725551004,0.9996757393378779
21,0.999676044056971,0.9993774776581447,0.9998314278405698,,,
22,0.9996400482322525,0.9993311160692635,0.9998063101521378,,,
24,0.9995680565828183,0.99923954028869,0.9997546722522453,,,
26,,,,0.9994263382453125,0.9990637808767376,0.9996485174468276
29,0.999532060758101,0.9991942563175219,0.9997282614519724,,,
30,0.9994960649333821,0.9991492686911262,0.9997015125863685,,,
31,0.9994600691086641,0.9991045522973396,0.9996744591822301,,,
35,0.9993880774592306,0.9990158477929544,0.9996195478584506,0.9993904843856447,0.9990197181245898,0.9996210444950326
37,0.9993520816345117,0.9989718232183501,0.9995917349328015,,,
39,0.999316084513208,0.9989279942006075,0.9995637080470198,0.9993546305259765,0.99897586726959,0.999593341226698
41,,,,0.9993187766663095,0.9989322132109346,0.9995654256704228
