Outcome 8 Result 8b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9999642167036431,0.9997459995432559,0.9999949593623636,0.9999642167036431,0.9997459995432559,0.9999949593623636
2,,,,0.9999284334072855,0.9997138761059812,0.9999821008828039
3,,,,0.9998926501109285,0.9996671917575038,0.9999653761025461
8,0.9999284334072855,0.9997138761059812,0.9999821008828039,,,
14,0.9999284334072855,0.9997138761059812,0.9999821008828039,,,
22,0.9998926488303465,0.9996671877876524,0.9999653756895232,,,
37,0.9998926488303465,0.9996671877876524,0.9999653756895232,,,
43,0.9998926488303465,0.9996671877876524,0.9999653756895232,,,
50,0.9998926488303465,0.9996671877876524,0.9999653756895232,,,
52,,,,0.9998568668145712,0.9996186801831943,0.999946277157733
57,,,,0.9998210835182146,0.99957020163344,0.9999255260946847
58,0.9998926488303465,0.9996671877876524,0.9999653756895232,,,
60,0.9998926488303465,0.9996671877876524,0.9999653756895232,,,
62,0.9998568565677167,0.9996186528845439,0.9999462733120338,,,
63,0.9998568565677167,0.9996186528845439,0.9999462733120338,,,
64,0.9998568565677167,0.9996186528845439,0.9999462733120338,,,
67,0.9998568565677167,0.9996186528845439,0.9999462733120338,,,
70,0.9998568565677167,0.9996186528845439,0.9999462733120338,,,
73,0.9998210566158184,0.9995701370063341,0.9999255148976356,,,
74,,,,0.9997853002218564,0.9995221671359115,0.9999035381251917
76,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
78,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
84,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
85,,,,0.9997495169254994,0.9994746573934574,0.9998805783944322
86,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
88,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
91,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
95,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
99,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
100,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
104,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
106,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
108,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
112,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
114,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
115,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
120,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
121,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
129,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
130,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
132,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
136,0.9997852566639193,0.9995220701942638,0.9999035185565249,,,
