Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,CX2 V12
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,207,0
10,31,0
20,12,0
30,16,0
40,12,0
50,9,0
60,9,0
70,10,0
80,15,0
90,7,0
100,7,0
110,11,0
120,11,0
130,6,0
140,7,0
150,2,0
160,10,0
170,7,0
180,10,0
190,7,0
200,16,0
210,9,0
220,11,0
230,9,0
240,14,0
250,7,0
260,8,0
270,10,0
280,7,0
290,8,0
300,10,0
310,10,0
320,14,0
330,6,0
340,8,0
350,11,0
360,28631,0
365.00000,0,2626138
