Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
268 patients in Cohort 1 and 178240 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.12,60,21,22,21
0.14,7,9,4,9
0.16,79,14,18,14
0.18,111,49,40,49
0.2,60,21,30,21
0.22,116,48,51,48
0.24,62,24,20,24
0.26,64,34,29,34
0.28,136,57,61,57
0.3,39,16,20,16
0.32,128,61,64,61
0.34,61,40,39,40
0.36,27,32,22,32
0.38,83,40,44,40
0.4,49,26,30,26
0.42,35,33,28,33
0.44,54,35,38,35
0.46,41,40,38,39
0.48,19,24,19,24
0.5,48,35,41,35
0.52,19,27,19,19
0.54,29,25,25,25
0.56,32,36,32,32
0.58,24,39,24,25
0.6,34,43,34,31
0.62,21,30,21,23
0.64,8,22,8,9
0.66,28,31,28,30
0.68,18,26,18,17
0.7,12,24,12,10
0.72,12,37,12,12
0.74,10,22,10,10
0.76,9,27,9,9
0.78,12,24,12,12
0.8,14,26,14,13
0.82,7,29,7,8
0.84,6,19,6,6
0.86,12,36,12,12
0.88,22,232,22,22
0.9,1128,15639,1128,1128
0.92,3460,53777,3460,3460
0.94,5198,99039,5198,5198
0.96,8517,264003,8517,8517
0.98,9284,2192266,9284,9284
