Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,CX2 7.0
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
60,3,0
70,1,0
80,1,0
90,3,0
100,2,0
110,1,0
120,2,0
130,3,0
140,1,0
150,2,0
160,3,0
170,3,0
180,4,0
190,2,0
200,4,0
210,4,0
220,6,0
230,6,0
240,5,0
250,3,0
260,3,0
270,6,0
280,6,0
290,1,0
300,10,0
310,12,0
320,6,0
330,5,0
340,7,0
350,7,0
360,7,0
370,4,0
380,10,0
390,4,0
400,7,0
410,6,0
420,12,0
430,4,0
440,3,0
450,8,0
460,11,0
470,12,0
480,16,0
490,11,0
500,13,0
510,10,0
520,14,0
530,9,0
540,3,0
550,13,0
560,14,0
570,11,0
580,14,0
590,11,0
600,19,0
610,11,0
620,12,0
630,10,0
640,15,0
650,22,0
660,12,0
670,13,0
680,20,0
690,17,0
700,12,0
710,16,0
720,15,0
730,14,0
740,21,0
750,14,0
760,16,0
770,15,0
780,27,0
790,13,0
800,21,0
810,20,0
820,23,0
830,20,0
840,21,0
850,12,0
860,17,0
870,14,0
880,21,0
890,18,0
900,26,0
910,12,0
920,27,0
930,21,0
940,22,0
950,22,0
960,21,0
970,28,0
980,16,0
990,22,0
1000,25,0
1010,16,0
1020,16,0
1030,17,0
1040,14,0
1050,22,0
1060,22,0
1070,16,0
1080,22,0
1090,12,0
1100,25,0
1110,16,0
1120,19,0
1130,20,0
1140,14,0
1150,28,0
1160,26,0
1170,20,0
1180,31,0
1190,23,0
1200,26,0
1210,17,0
1220,23,0
1230,26,0
1240,31,0
1250,20,0
1260,24,0
1270,22,0
1280,14,0
1290,32,0
1300,23,0
1310,23,0
1320,35,0
1330,22,0
1340,23,0
1350,28,0
1360,17,0
1370,29,0
1380,23,0
1390,20,0
1400,21,0
1410,21,0
1420,17,0
1430,19,0
1440,34,0
1450,11,0
1460,25,0
1470,27,0
1480,34,0
1490,19,0
1500,28,0
1510,24,0
1520,21,0
1530,15,0
1540,31,0
1550,27,0
1560,28,0
1570,19,0
1580,35,0
1590,21,0
1600,21,0
1610,25,0
1620,30,0
1630,19,0
1640,23,0
1650,29,0
1660,39,0
1670,32,0
1680,29,0
1690,22,0
1700,29,0
1710,21,0
1720,31,0
1730,24,0
1740,30,0
1750,19,0
1760,24,0
1770,22,0
1780,19,0
1790,24,0
1800,28,0
1810,23,0
1820,8111,0
1825.00000,0,4164666
