Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,CX2 V12
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,205,0
10,30,0
20,11,0
30,16,0
40,12,0
50,9,0
60,9,0
70,10,0
80,15,0
90,7,0
100,7,0
110,11,0
120,11,0
130,6,0
140,7,0
150,2,0
160,10,0
170,7,0
180,10,0
190,6,0
200,16,0
210,9,0
220,11,0
230,9,0
240,14,0
250,7,0
260,8,0
270,10,0
280,7,0
290,8,0
300,10,0
310,10,0
320,14,0
330,6,0
340,8,0
350,11,0
360,10,0
370,15,0
380,7,0
390,11,0
400,14,0
410,13,0
420,14,0
430,8,0
440,9,0
450,6,0
460,10,0
470,4,0
480,15,0
490,5,0
500,11,0
510,13,0
520,10,0
530,10,0
540,17,0
550,13,0
560,15,0
570,9,0
580,11,0
590,13,0
600,14,0
610,13,0
620,12,0
630,9,0
640,12,0
650,10,0
660,11,0
670,10,0
680,12,0
690,12,0
700,25,0
710,15,0
720,20,0
730,9,0
740,15,0
750,11,0
760,14,0
770,15,0
780,19,0
790,22,0
800,16,0
810,12,0
820,12,0
830,14,0
840,9,0
850,10,0
860,11,0
870,12,0
880,13,0
890,8,0
900,21,0
910,15,0
920,16,0
930,17,0
940,27,0
950,15,0
960,16,0
970,14,0
980,10,0
990,19,0
1000,24,0
1010,15,0
1020,18,0
1030,14,0
1040,20,0
1050,14,0
1060,13,0
1070,17,0
1080,19,0
1090,19,0
1100,17,0
1110,12,0
1120,16,0
1130,13,0
1140,24,0
1150,12,0
1160,14,0
1170,10,0
1180,27,0
1190,8,0
1200,16,0
1210,14,0
1220,15,0
1230,14,0
1240,13,0
1250,15,0
1260,19,0
1270,16,0
1280,19,0
1290,16,0
1300,25,0
1310,18,0
1320,19,0
1330,19,0
1340,24,0
1350,14,0
1360,26,0
1370,13,0
1380,24,0
1390,14,0
1400,24,0
1410,22,0
1420,15,0
1430,14,0
1440,22,0
1450,13,0
1460,23,0
1470,22,0
1480,16,0
1490,19,0
1500,21,0
1510,16,0
1520,21,0
1530,13,0
1540,18,0
1550,21,0
1560,20,0
1570,23,0
1580,27,0
1590,19,0
1600,24,0
1610,15,0
1620,18,0
1630,23,0
1640,24,0
1650,22,0
1660,27,0
1670,14,0
1680,22,0
1690,24,0
1700,28,0
1710,19,0
1720,34,0
1730,24,0
1740,28,0
1750,24,0
1760,34,0
1770,29,0
1780,51,0
1790,59,0
1800,142,0
1800.0,0,5
1801.0,0,5
1802.0,0,11
1803.0,0,11
1804.0,0,6
1805.0,0,7
1806.0,0,12
1807.0,0,8
1808.0,0,7
1809.0,0,9
1810,126,0
1810.0,0,6
1811.0,0,4
1812.0,0,8
1813.0,0,14
1814.0,0,7
1815.0,0,8
1816.0,0,8
1817.0,0,10
1818.0,0,7
1819.0,0,7
1820,25302,0
1820.0,0,8
1821.0,0,8
1822.0,0,3
1823.0,0,8
1824.0,0,11
1825.0,0,28372
