Outcome 3 Result 3b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9998949947497366,0.9996744598512918,0.9999661323531768,0.9997199859993005,0.9994401597043423,0.9998599558560052
2,0.9997893348348285,0.999531143482884,0.9999053513086271,0.9996849842492124,0.9993946548746068,0.9998360802674595
3,0.9997188501977361,0.9994378871772609,0.9998593882661562,0.9995799789989493,0.999260526992467,0.9997614443541819
4,0.9996131157873489,0.9993015080040951,0.9997857255554056,0.9995449772488623,0.9992164935440527,0.9997357629456084
5,0.9996131157873489,0.9993015080040951,0.9997857255554056,0.9994749737486872,0.9991292666041723,0.9996834465814739
6,0.9996131157873489,0.9993015080040951,0.9997857255554056,,,
7,0.9996131157873489,0.9993015080040951,0.9997857255554056,0.9994049702485117,0.9990430114687231,0.9996300518370067
8,0.9996131157873489,0.9993015080040951,0.9997857255554056,0.999369968498425,0.9990002024973934,0.9996030070824048
10,0.9996131157873489,0.9993015080040951,0.9997857255554056,,,
11,0.9995073030303058,0.9991682354242972,0.9997081704092832,,,
12,0.9994720283769436,0.9991243807492522,0.9996816712487303,,,
13,0.9994720283769436,0.9991243807492522,0.9996816712487303,,,
14,0.9994720283769436,0.9991243807492522,0.9996816712487303,,,
15,0.9994720283769436,0.9991243807492522,0.9996816712487303,,,
16,0.9994720283769436,0.9991243807492522,0.9996816712487303,,,
17,0.9994720283769436,0.9991243807492522,0.9996816712487303,,,
18,0.9994720283769436,0.9991243807492522,0.9996816712487303,,,
19,0.9994367313000831,0.9990807374116728,0.9996548867046643,,,
20,,,,0.9993349667483373,0.998957585640466,0.9995757550899225
22,0.9994367313000831,0.9990807374116728,0.9996548867046643,0.9992999649982496,0.9989151477693926,0.9995483112710631
23,0.9994367313000831,0.9990807374116728,0.9996548867046643,,,
24,0.9994367313000831,0.9990807374116728,0.9996548867046643,0.9992649632481623,0.9988728771430782,0.9995206892124023
25,0.9994367313000831,0.9990807374116728,0.9996548867046643,,,
26,0.9994367313000831,0.9990807374116728,0.9996548867046643,,,
27,0.9994014254949651,0.9990373094608455,0.9996278484817428,,,
28,0.9993661171951771,0.9989940899593177,0.9996005808401317,0.9991949597479867,0.9987887964918198,0.9994649572768808
29,0.9993308076478787,0.9989510655824272,0.99957310239244,,,
30,0.9993308076478787,0.9989510655824272,0.99957310239244,,,
31,0.9992954918614827,0.9989082149478107,0.9995454255473698,0.9991599579978996,0.9987469683639588,0.9994368677830477
32,0.9992954918614827,0.9989082149478107,0.9995454255473698,,,
33,0.9992954918614827,0.9989082149478107,0.9995454255473698,0.9991249562478124,0.9987052710275816,0.9994086411600407
34,0.9992954918614827,0.9989082149478107,0.9995454255473698,0.9990899544977255,0.9986636973706186,0.9993802852547886
35,0.9992954918614827,0.9989082149478107,0.9995454255473698,,,
36,,,,0.9990549527476381,0.9986222408941771,0.9993518071916612
38,0.9992954918614827,0.9989082149478107,0.9995454255473698,0.999019950997549,0.9985808956422041,0.9993232134624275
39,0.9992954918614827,0.9989082149478107,0.9995454255473698,,,
40,,,,0.9989149457472866,0.9984574746012327,0.9992367952260377
41,0.9992954918614827,0.9989082149478107,0.9995454255473698,0.9988799439972003,0.9984165235904281,0.9992077935343338
42,0.9992954918614827,0.9989082149478107,0.9995454255473698,0.9988449422471125,0.9983756603120014,0.9991787014492386
43,0.9992954918614827,0.9989082149478107,0.9995454255473698,,,
44,0.9992954918614827,0.9989082149478107,0.9995454255473698,,,
45,0.9992601535952726,0.998865501202854,0.9995175533966473,,,
46,0.9992248140793019,0.998822946663836,0.999489511710845,,,
47,0.9992248140793019,0.998822946663836,0.999489511710845,0.9988099404970243,0.9983348810441438,0.9991495229282417
48,0.9992248140793019,0.998822946663836,0.999489511710845,,,
49,0.9992248140793019,0.998822946663836,0.999489511710845,,,
52,0.9991541200459738,0.9987382597855716,0.9994329547427158,,,
53,0.9991541200459738,0.9987382597855716,0.9994329547427158,,,
54,0.9991541200459738,0.9987382597855716,0.9994329547427158,,,
55,0.9991541200459738,0.9987382597855716,0.9994329547427158,0.998774938746938,0.9982941823191883,0.9991202616476599
56,0.9991187680267237,0.9986961143928812,0.9994044596191894,0.9987399369968492,0.9982535609001468,0.9990909210298539
59,0.9990834147565613,0.9986540941132134,0.9993758323524976,0.9987049352467622,0.9982130137599566,0.9990615042671656
60,0.9990834147565613,0.9986540941132134,0.9993758323524976,,,
61,0.9990480577330014,0.9986121885617936,0.9993470784652844,,,
62,0.9990480577330014,0.9986121885617936,0.9993470784652844,,,
63,0.9990480577330014,0.9986121885617936,0.9993470784652844,,,
64,0.9990126957034908,0.9985703898369059,0.999318203651304,,,
65,0.9989773336739801,0.9985286995946231,0.9992892173638505,0.9986699334966744,0.9981725380630206,0.9990320143430024
66,0.9989419716444692,0.9984871125885154,0.9992601251487941,,,
67,0.9989419716444692,0.9984871125885154,0.9992601251487941,,,
68,0.9989066033548621,0.9984456150720332,0.9992309277070835,,,
69,0.9989066033548621,0.9984456150720332,0.9992309277070835,,,
70,,,,0.9986349317465865,0.9981321311487898,0.9990024540505199
72,0.9989066033548621,0.9984456150720332,0.9992309277070835,,,
73,0.9989066033548621,0.9984456150720332,0.9992309277070835,,,
74,0.9988712300554058,0.9984042044883901,0.9992016305510057,,,
75,0.9988358542504024,0.9983628803208692,0.9991722397532572,0.9985649282464122,0.9980515138149744,0.9989431326796057
76,0.9988358542504024,0.9983628803208692,0.9991722397532572,,,
77,0.9988004771924486,0.9983216405130684,0.9991427602146277,,,
78,0.9988004771924486,0.9983216405130684,0.9991427602146277,,,
79,0.9987650963749783,0.9982804779984166,0.9991131938711146,,,
80,0.998729713050631,0.9982393912306256,0.999083545076154,,,
82,0.998729713050631,0.9982393912306256,0.999083545076154,,,
83,0.998694325965166,0.9981983753846446,0.9990538161520416,,,
84,0.998694325965166,0.9981983753846446,0.9990538161520416,,,
86,0.998694325965166,0.9981983753846446,0.9990538161520416,0.9985299264963239,0.9980112988249449,0.9989133763765878
88,0.998694325965166,0.9981983753846446,0.9990538161520416,,,
89,0.9986235367444412,0.9981165399851477,0.9989941270016119,,,
90,0.9985881408795304,0.9980757237990324,0.9989641768037558,0.9984949247462372,0.997971143454328,0.9988835592810861
92,0.9985881408795304,0.9980757237990324,0.9989641768037558,,,
93,0.9985881408795304,0.9980757237990324,0.9989641768037558,,,
94,0.9985881408795304,0.9980757237990324,0.9989641768037558,,,
95,,,,0.9984599229961496,0.9979310457256989,0.9988536834507363
97,0.9985881408795304,0.9980757237990324,0.9989641768037558,,,
99,0.9985527374851861,0.9980349629051747,0.9989341546585597,,,
100,0.9985527374851861,0.9980349629051747,0.9989341546585597,,,
101,0.9985527374851861,0.9980349629051747,0.9989341546585597,,,
102,0.9985527374851861,0.9980349629051747,0.9989341546585597,,,
105,0.9985527374851861,0.9980349629051747,0.9989341546585597,,,
106,0.9985173265579365,0.9979942551127414,0.9989040628641347,,,
107,0.9985173265579365,0.9979942551127414,0.9989040628641347,0.9984249212460617,0.9978910037682338,0.9988237508294296
108,0.9985173265579365,0.9979942551127414,0.9989040628641347,,,
109,0.9985173265579365,0.9979942551127414,0.9989040628641347,0.9983899194959747,0.997851015809866,0.9987937632559293
112,0.9985173265579365,0.9979942551127414,0.9989040628641347,,,
113,0.9985173265579365,0.9979942551127414,0.9989040628641347,,,
114,0.9984819030682756,0.9979535915719079,0.9988738998609422,0.9983549177458874,0.997811080170166,0.998763722471666
115,0.9984464795786157,0.9979129872942644,0.9988436769965051,,,
116,0.9984464795786157,0.9979129872942644,0.9988436769965051,0.9983199159957991,0.9977711952538684,0.9987336301278096
117,0.9984464795786157,0.9979129872942644,0.9988436769965051,,,
118,,,,0.9982849142457125,0.9977313595449756,0.9987034877916935
